,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Training a Diverse Student Body for a Multicultural Society [article],"Calleros, Charles R. (Cited 323 times)","La Raza Law Journal, Vol. 8, Issue 2 (Fall 1995), pp. 140-165",49,na,13," Legal Education, Race and Ethnicity, Criminal Law and Procedure"
0,The Meaning of Sex: Homosexual and Bisexual Harassment under Title VII [article],"Calleros, Charles R. (Cited 323 times)","Vermont Law Review, Vol. 20, Issue 1 (Fall 1995), pp. 55-80",39,1,10," Labor Law, Sexuality and the Law, Employment Discrimination, Civil Rights, Employment Practice"
0,Title VII and Rule 52(a): Standards of Appellate Review in Disparate Treatment Cases--Limiting the Reach of Pullman-Standard v. Swint [article],"Calleros, Charles Richard (Cited 323 times)","Tulane Law Review, Vol. 58, Issue 2 , pp. 403-443",29,1,2," Courts, Practice and Procedure"
0,"Paternalism, Counterspeech, and Campus Hate-Speech Codes: A Reply to Delgado and Yun [article]","Calleros, Charles R. (Cited 323 times)","Arizona State Law Journal, Vol. 27, Issue 4 (Winter 1995), pp. 1249-1280",26,na,44," Constitutional Law, Education, Jurisprudence"
0,Title VII and Free Speech: The First Amendment is Not Hostile to a Content-Neutral Hostile-Environment Theory [article],"Calleros, Charles R. (Cited 323 times)","Utah Law Review, Vol. 1996, Issue 1 (1996), pp. 227-264",20,na,2," Constitutional Law, Employment Discrimination, Civil Rights, Employment Practice"
0,"Title VII and the First Amendment: Content-Neutral Regulation, Disparate Impact, and the Reasonable Person [article]","Calleros, Charles R. (Cited 323 times)","Ohio State Law Journal, Vol. 58, Issue 4 (1997), pp. 1217-1280",18,2,2," Employment Discrimination, Civil Rights, Employment Practice"
0,"Reconciliation of Civil Rights and Civil Liberties after R.A.V. v. City of St. Paul: Free Speech, Antiharassment Policies, Multicultural Education, and Political Correctness at Arizona State University [article]","Calleros, Charles R. (Cited 323 times)","Utah Law Review, Vol. 1992, Issue 4 (1992), pp. 1205-1334",17,na,8," Constitutional Law, Education"
0,"In the Spirit of Regina Austin's Contextual Analysis: Exploring Racial Context in Legal Method, Writing Assignments and Scholarship [article]","Calleros, Charles R. (Cited 323 times)","John Marshall Law Review, Vol. 34, Issue 1 (Fall 2000), pp. 281-320",16,na,1," Legislation, Legal Education, Legal Profession"
0,Variations on the Problem Method in First-Year and Upper-Division Classes [article],"Calleros, Charles Richard (Cited 323 times)","University of San Francisco Law Review, Vol. 20, Issue 3 (Winter 1986), pp. 455-490",15,na,20, Legal Education
0,"Punitive Damages, Liquidated Damages, and Clauses Penales in Contract Actions: A Comparative Analysis of the American Common Law and the French Civil Code [article]","Calleros, Charles (Cited 323 times)","Brooklyn Journal of International Law, Vol. 32, Issue 1 (2006), pp. 67-120",14,na,22," Comparative Law, Contracts, Practice and Procedure, Punitive Damages, Remedies"
0,"Same-Sex Harassment, Textualism, Free Speech, and Oncale: Laying the Groundwork for a Coherent and Constitutional Theory of Sexual Harassment Liability [article]","Calleros, Charles R. (Cited 323 times)","George Mason Law Review, Vol. 7, Issue 1 (Fall 1998), pp. 1-44",13,na,3," Employment Discrimination, Sexuality and the Law"
0,Reconciling the Goals of Federalism with the Policy of Title VII: Subject-Matter Jurisdiction in Judicial Enforcement of EEOC Conciliation Agreements [article],"Calleros, Charles R. (Cited 323 times)","Hofstra Law Review, Vol. 13, Issue 2 (Winter 1985), pp. 257-308",10,2,na," Civil Rights, Labor Law"
0,Introducing Students to Legislative Process and Statutory Analysis through Experiential Learning in a Familiar Context [article],"Calleros, Charles R. (Cited 323 times)","Gonzaga Law Review, Vol. 38, Issue 1 (2002-2003), pp. 33-56",7,na,3," Legislation, Legal Education, Legal Analysis and Writing"
0,"Law, Policy, and Strategies for Affirmative Action Admissions in Higher Education [article]","Calleros, Charles R. (Cited 323 times)","California Western Law Review, Vol. 43, Issue 1 (Fall 2006), pp. 151-172",7,na,1," Legal Education, Education, Fourteenth Amendment, Law and Society"
0,Enhancing the Pipeline of Diverse K-12 and College Students to Law School: The HNBA Multi-Tier Mentoring Program [article],"Calleros, Charles R. (Cited 323 times)","Journal of Legal Education, Vol. 58, Issue 3 (2008), pp. 327-340",6,na,3," Legal Education, Dispute Resolution, Banking, Oil, Gas and Mineral"
0,"Conflict, Apology, and Reconciliation at Arizona State University: A Second Case Study in Hateful Speech [comments]","Calleros, Charles R. (Cited 323 times)","Cumberland Law Review, Vol. 27, Issue 1 (1997), pp. 91-138",6,na,3," Communications Law, Education, Civil Rights"
0,"Aguilar v. Avis Rent a Car System, Inc.: The California Supreme Court Takes a Divided Freeway to Content-Oriented Regulation of Workplace Speech [article]","Calleros, Charles R. (Cited 323 times)","University of San Francisco Law Review, Vol. 34, Issue 2 (Winter 2000), pp. 237-294",5,na,2," Constitutional Law, Labor Law, Employment Practice, Remedies"
0,Toward Harmonization and Certainty in Choice-of-Law Rules for International Contracts: Should the U.S. Adopt the Equivalent of Rome I [article],"Calleros, Charles R. (Cited 323 times)","Wisconsin International Law Journal, Vol. 28, Issue 4 (2010-2011), pp. 639-704",5,na,15," Commercial Law, Conflict of Laws, Contracts, Jurisdiction"
0,Introducing Civil Law Students to Common Law Legal Method through Contract Law [article],"Calleros, Charles R. (Cited 323 times)","Journal of Legal Education, Vol. 60, Issue 4 (May 2011), pp. 641-663",5,na,34," Legislation, Civil Law, Comparative Law"
0,Patching Leaks in the Diversity Pipeline to Law School and the Bar [article],"Calleros, Charles R. (Cited 323 times)","California Western Law Review, Vol. 43, Issue 1 (Fall 2006), pp. 131-150",5,na,6," Legal Education, Legal Profession, Economics"
0,Using Classroom Demonstrations in Familiar Nonlegal Contexts to Introduce New Students to Unfamiliar Concepts of Legal Method and Analysis [article],"Calleros, Charles R. (Cited 323 times)","Legal Writing: The Journal of the Legal Writing Institute, Vol. 7, pp. 37-62",4,na,3," Legislation, Legal Education"
0,Advocacy for Marriage Equality: The Power of a Broad Historical Narrative during a Transitional Period in Civil Rights [article],"Calleros, Charles R. (Cited 323 times)","Michigan State Law Review, Vol. 2015, Issue 4 (2015), pp. 1249-1326",4,na,10," Domestic Relations, Sexual Orientation, First Amendment, Religion, Supreme Court of the United States, State and Local Government Law"
0,"Cause, Consideration, Promissory Estoppel, and Promises under Deed: What Our Students Should Know about Enforcement of Promises in a Historical and International Context [article]","Calleros, Charles (Cited 323 times)","Chicago-Kent Journal of International and Comparative Law, Vol. 13, Issue 2 (Spring 2013), pp. 83-121",3,na,21," Contracts, Remedies"
0,"Preparing for the Worst - and Striving for the Best: Training University Employees to Respond Clearly, Constructively, and Constitutionally to Hateful Speech on Campus [article]","Calleros, Charles R. (Cited 323 times)","Journal of Law & Education, Vol. 26, Issue 4 (October 1997), pp. 41-68",1,na,10," Communications Law, Education, Education Law, First Amendment"
0,The Robinson Case [article],"Calleros, Charles (Cited 323 times)","FIU Law Review, Vol. 9, Issue 1 (Fall 2013), pp. 41-42",na,na,2," Education, First Amendment, Religion, Constitutional Law, Appeal, Colleges and Universities"
0,U.S. Unconscionability and Article 1171 of the New French Civil Code: Achieving Balance in Statutory Regulation and Judicial Intervention [article],"Calleros, Charles R. (Cited 323 times)","Georgia Journal of International and Comparative Law, Vol. 45, Issue 2 (2017), pp. 259-298",na,na,15," Civil Law, Commercial Law, Contracts, Comparative Law"
0,"Judge Procter Hug, Jr.: Jurist, Mentor, and Stellar Human Being [comments]","Calleros, Charles R. (Cited 323 times)","Nevada Law Journal, Vol. 3, Issue 1 (Fall 2002), pp. 21-22",na,na,1," Biography, Judges, Courts"
0,"Diversity in the Legal Writing Curriculum, Fostered by Faculty with Color [article]","Calleros, Charles R. (Cited 323 times)","Second Draft, Vol. 25, Issue 2 (Fall 2011), pp. 4-6",na,na,na," Legal Education, Psychiatry and Psychology"
0,Marriage Equality on the Arc of Civil Rights History: A Broad Historical Narrative [article],"Calleros, Charles R. (Cited 323 times)","Second Draft, Vol. 28, Issue 2 (Fall 2015), pp. 7-13",na,na,3," Legal History, Domestic Relations, Sexuality and the Law"
0,The Best and Worst of Contracts Decisions: An Anthology [article],"Arnow-Richman, Rachel (Cited 237 times); Barnhizer, Daniel D. (Cited 181 times); Burnham, Scott J. (Cited 188 times); Calleros, Charles (Cited 323 times); Carlson, Richard R. (Cited 278 times); Garvin, Larry T. (Cited 220 times); Gergen, Mark P. (Cited 1101 times); Grossman, Nadelle (Cited 48 times); Guerra-Pujol, F. E. (Cited 19 times); Harrison, Jeffrey L. (Cited 838 times)","Florida State University Law Review, Vol. 45, Issue 4 (Summer 2018), pp. 887-1020",na,na,na,na
