,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Does Kant Have a Theory of Punishment [article],"Murphy, Jeffrie G. (Cited 272 times)","Columbia Law Review, Vol. 87, Issue 3 (April 1987), pp. 509-532",83,na,29," Criminology, Jurisprudence, Philosophy, Criminals, Penology"
0,"Consent, Coercion, and Hard Choices [article]","Murphy, Jeffrie G. (Cited 272 times)","Virginia Law Review, Vol. 67, Issue 1 (February 1981), pp. 79-96",44,na,18," Restitution, Contracts, Jurisprudence, Law and Society, Criminal Law and Procedure"
0,Legal Moralism and Liberalism [article],"Murphy, Jeffrie G. (Cited 272 times)","Arizona Law Review, Vol. 37, Issue 1 (Spring 1995), pp. 73-94",40,na,49," Criminal Law and Procedure, Law and Society, Boxing, Comparative and Foreign Law"
0,"Retributivism, Moral Education, and the Liberal State [article]","Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 4, Issue 1 (Winter/Spring 1985), pp. 3-11",24,na,26," Criminology, Jurisprudence, Philosophy, Politics, Sentencing"
0,"Remorse, Apology, and Mercy [article]","Murphy, Jeffrie G. (Cited 272 times)","Ohio State Journal of Criminal Law , Vol. 4, Issue 2 (Spring 2007), pp. 423-454",17,na,48," Judges, Psychiatry and Psychology, Criminal Law and Procedure, Sentencing and Punishment, Civil Rights, Trials"
0,"Well Excuse Me - Remorse, Apology, and Criminal Sentencing [article]","Murphy, Jeffrie G. (Cited 272 times)","Arizona State Law Journal, Vol. 38, Issue 2 (Summer 2006), pp. 371-386",15,1,24," Criminal Law and Procedure, Law and Society, Psychiatry and Psychology, Dispute Resolution"
0,Bias Crimes: What Do Haters Deserve [article],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 11, Issue 2 (Summer/Fall 1992), pp. 20-23",8,na,3," Hate Crimes, Jurisprudence, Judges"
0,The State's Interest in Retribution [article],"Murphy, Jeffrie G. (Cited 272 times)","Journal of Contemporary Legal Issues, Vol. 5, pp. 283-298",7,na,11," Criminology, Jurisprudence, Philosophy, Law Enforcement and Corrections, Correctional Institutions, Privatization"
0,Freedom of Expression and the Arts [article],"Murphy, Jeffrie G. (Cited 272 times)","Arizona State Law Journal, Vol. 29, Issue 2 (Summer 1997), pp. 549-568",7,na,21," Administration Law, Arts, Constitutional Law"
0,Law like Love [comments],"Murphy, Jeffrie G. (Cited 272 times)","Syracuse Law Review, Vol. 55, Issue 1 (2004), pp. 15-32",7,na,12," Jurisprudence, Religion, Law and Ethics, Philosophy"
0,Total Institutions and the Possibility of Consent to Organic Therapies [article],"Murphy, Jeffrie G. (Cited 272 times)","Human Rights, Vol. 5, Issue 1 (Fall 1975), pp. 25-46",6,na,2," Aids, Breast Cancer, Informed Consent, Sterilization, Women, Medical Jurisprudence, Science and Technology"
0,"Forgiveness, Mercy, and the Retributive Emotions [article]","Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 7, Issue 2 (Summer/Fall 1988), pp. 3-14",6,na,14," Psychiatry and Psychology, Criminal Law and Procedure, Legal Profession, Professional Ethics"
0,Rights and Borderline Cases [article],"Murphy, Jeffrie G. (Cited 272 times)","Arizona Law Review, Vol. 19, Issue 1 (1977), pp. 228-241",3,na,3," Animals, Philosophy, Education, Slavery, Language Policy, Minorities"
0,Criminal Punishment and Psychiatric Fallacies [comments],"Murphy, Jeffrie G. (Cited 272 times)","Law & Society Review, Vol. 4, Issue 1 (August 1969), pp. 111-122",2,na,2," Law and Society, Indian Law, Comparative and Foreign Law, Courts"
0,Gorr on Actus Reus [article],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 10, Issue 1 (Winter/Spring 1991), pp. 18-19",2,na,38," Law Enforcement and Corrections, Criminal Law and Procedure, Jurisprudence, International Courts and Tribunals, International Criminal Law"
0,"Human Dignity and the Law: A Brief Comment on Jeremy Waldron's Dignity, Rights, and Responsibilities [article]","Murphy, Jeffrie G. (Cited 272 times)","Arizona State Law Journal, Vol. 43, Issue 4 (Winter 2011), pp. 1273-1286",1,na,23," Domestic Relations, Human Rights Law, Jurisprudence"
0,Moral Reasons and the Limitation of Liberty [article],"Murphy, Jeffrie G. (Cited 272 times)","William and Mary Law Review, Vol. 40, Issue 3 (March 1999), pp. 947-958",1,na,21," Criminal Law and Procedure, Discrimination, Homosexuality, Right of Privacy, Sexuality and the Law, Constitutional Law"
0,A Rejoinder to Morris [article],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 7, Issue 2 (Summer/Fall 1988), pp. 20-22",1,na,1," Comparative Law, Jurisprudence, Psychiatry and Psychology"
0,Joshua Dressler as Educator [comments],"Murphy, Jeffrie G. (Cited 272 times)","Ohio State Journal of Criminal Law, Vol. 15, Issue 2 (Spring 2018), pp. 297-300",na,na,8," Jurisprudence, Legal Analysis and Writing, Legal Education, Criminal Law and Procedure, Juveniles"
0,Cognitive and Moral Obstacles to Imputation [article],"Murphy, Jeffrie G. (Cited 272 times)","Jahrbuch fur Recht und Ethik, Vol. 2, pp. 67-80",na,na,2," Agency, Defamation, Jurisdiction"
0,Introduction: Order of the Coif Lecture [comments],"Murphy, Jeffrie G. (Cited 272 times)","Arizona State Law Journal, Vol. 29, Issue 2 (Summer 1997), pp. 351-352",na,na,13," Jurisprudence, Human Rights Law"
0,"Response to Neu, Zipursky, and Steiker [article]",Symposium: The Work of Jeffrie G. Murphy,"Criminal Justice Ethics, Vol. 27, Issue 2 (Summer/Fall 2008), pp. 55-63",na,na,1," Comparative Law, Criminal Law and Procedure, Psychiatry and Psychology"
0,People We Hire as Executioners: Who Are They - Who Are We [article],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 35, Issue 2 (August 2016), pp. 87-99",na,na,na," Law Enforcement and Corrections, Psychiatry and Psychology, Human Rights Law, International Law"
0,Reply to Susan Bandes [comments],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 35, Issue 3 (December 2016), pp. 201-204",na,na,na," Jurisdiction, Criminal Law and Procedure, Sentencing and Punishment"
0,In the Penal Colony and Why I Am Now Reluctant to Teach Criminal Law [article],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 33, Issue 2 (2014), pp. 72-82",na,na,5," Administration of Justice, Sentencing, Criminal Law, Law Reform"
0,Reply to Bennett [comments],"Murphy, Jeffrie G. (Cited 272 times)","Criminal Justice Ethics, Vol. 36, Issue 1 (April 2017), pp. 117-119",na,na,na," Constitutional Law, Legal History, Politics"
