,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Innovation and International Commons: The Case of Desalination under International Law [article],"Larson, Rhett B. (Cited 58 times)","Utah Law Review, Vol. 2012, Issue 2 (2012), pp. 759-814",15,na,10," Water, Environment"
0,Reconciling Energy and Food Security [article],"Larson, Rhett B. (Cited 58 times)","University of Richmond Law Review, Vol. 48, Issue 3 (March 2014), pp. 929-958",12,na,25," Agriculture Law, Comparative Law, Water"
0,The New Right in Water [article],"Larson, Rhett B. (Cited 58 times)","Washington and Lee Law Review, Vol. 70, Issue 4 (Fall 2013), pp. 2181-2268",9,na,41," Comparative Law, Constitutional Law, Water, Human Rights Law"
0,Holy Water and Human Rights: Indigenous Peoples' Religious-Rights Claims to Water Resources [article],"Larson, Rhett B. (Cited 58 times)","Arizona Journal of Environmental Law and Policy, Vol. 2, Issue 1 (Fall 2011), pp. 81-110",8,na,33," Human Rights Law, Water, Indian Law, Domestic Relations"
0,Interstitial Federalism [article],"Larson, Rhett B. (Cited 58 times)","UCLA Law Review, Vol. 62, Issue 4 (2015), pp. 908-968",5,na,23," Economics, Property, Jurisprudence, Law and Society, Environment"
0,Adapting Human Rights [article],"Larson, Rhett B. (Cited 58 times)","Duke Environmental Law & Policy Forum, Vol. 26, Issue 1 (Fall 2015), pp. 1-51",3,na,32," Comparative Law, Constitutional Law, Water, Judges, Politics, Social Welfare Law"
0,Orphaned Pollution [article],"Larson, Rhett B. (Cited 58 times)","Arizona State Law Journal, Vol. 45, Issue 3 (Fall 2013), pp. 991-1032",2,na,10," Environment, Remedies, Comparative Law, Corporations"
0,Law in the Time of Cholera [article],"Larson, Rhett B. (Cited 58 times)","Notre Dame Law Review, Vol. 92, Issue 3 (January 2017), pp. 1271-1322",2,na,33," Environment, Health Law, Water, International Law, Torts, Human Rights Law, Remedies"
0,"Water, Worship, and Wisdom: Indigenous Traditional Ecological Knowledge and the Human Right to Water [article]","Larson, Rhett B. (Cited 58 times)","ILSA Journal of International and Comparative Law, Vol. 19, Issue 1 (Fall 2012), pp. 43-68",1,na,55," Human Rights Law, Water, Comparative Law, Indian Law"
0,The Energy/Water/Food/Nexus - An Introduction [article] *new*,"Larson, Rhett B. (Cited 58 times); Holley, Cameron (Cited 8 times); Bowman, Diana M. (Cited 20 times)","Jurimetrics, Vol. 59, Issue 1 (Fall 2018), pp. 1-14",na,na,na, Water
0,Colorado River Lessons for International Water Law [article] *new*,"Larson, Rhett B. (Cited 58 times)","Jurimetrics, Vol. 59, Issue 1 (Fall 2018), pp. 83-98",na,na,na," Water, Jurisdiction, Natural Resources Law"
0,Overcoming Constitutional Obstacles to the Resolution of General Stream Adjudiations [article],"Larson, Rhett B. (Cited 58 times)","Arizona Journal of Environmental Law and Policy, Vol. 8, Issue 3 (Summer 2018), pp. [i]-68",na,na,na,na
0,Water Security [article],"Larson, Rhett B. (Cited 58 times)","Northwestern University Law Review, Vol. 112, Issue 2 (2017), pp. 139-200",na,na,56,na
