,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Innocent Misrepresentation As the Basis of an Action for Deceit [article],"Miller, Robert (Cited 21 times)","Texas Law Review, Vol. 6, Issue 2 (February 1928), pp. 151-164",12,na,2," Legal Profession, Torts, Domestic Relations"
0,Charting the Future of Historic Shipwreck Legislation in California: Application of the English Model in the Salvage of the Brother Jonathan [notes],"Miller, Robert (Cited 21 times)","Hastings International and Comparative Law Review, Vol. 17, Issue 4 (Summer 1994), pp. 793-818",4,na,3," Cultural Property, Maritime Law, Space Law, Admiralty Law"
0,Fleshing out the Skeleton: Defining the Prongs of Stern v. Marshall [article],"Miller, Robert (Cited 21 times)","DePaul Business & Commercial Law Journal, Vol. 11, Issue 1 (Fall 2012), pp. 1-74",3,na,4," Bankruptcy Law, Constitutional Law, Courts, Jurisdiction, Practice and Procedure"
0,Taxation - Assessing Property for Tax Purposes - Interpretation of True Cash Value under Oregon Revised Statutes. Potland Canning Co. v. States Tax Comm'n [case],"Miller, Robert (Cited 21 times)","Oregon Law Review, Vol. 45, Issue 2 (February 1966), pp. 149-153",1,na,na," Constitutional Law, Taxation-Federal Income, Property"
0,"Noting New: Consent, Forfeiture, and Bankruptcy Court Final Judgments [article]","Miller, Robert (Cited 21 times)","Drake Law Review, Vol. 65, Issue 1 (2017), pp. 89-178",1,na,6," Bankruptcy Law, Practice and Procedure, Courts, Jurisdiction, Constitutional Law, Judges"
0,Some Factors Affecting the Role of the Public Employment Service [article],"Miller, Glenn; Zeller, Frederick A. (Cited 5 times); Miller, Robert (Cited 21 times)","Labor Law Journal, Vol. 16, Issue 4 (April 1965), pp. 203-211",na,na,na," Labor Law, Social Welfare Law, Corporations, Retirement"
0,Sixth Amendment Exclusionary Rule: Stepchild of the Right to Counsel [comments],"Miller, Robert (Cited 21 times)","Houston Law Review, Vol. 24, Issue 4 (July 1987), pp. 765-800",na,2,5," Criminal Law and Procedure, Misconduct, Police"
0,Court Awareded Attorney's Fees in Title VII Actions and the Public Defendant [notes],"Miller, Robert (Cited 21 times)","Law and Inequality: A Journal of Theory and Practice, Vol. 1, Issue 2 (November 1983), pp. 355-388",na,na,1," Remedies, Professional Ethics"
0,The Future of the Federal Income Tax [article],"Miller, Robert (Cited 21 times)","Central Law Journal, Vol. 92, Issue - May 20, 1921 (May 20, 1921), pp. 354-361",na,na,1," Jurisprudence, Statute of Limitations, Taxation-State and Local"
0,United Nations Fact-Finding Missions in the Field of Human Rights [article],"Miller, Robert (Cited 21 times)","Australian Year Book of International Law, Vol. 1970-1973, pp. 40-50",na,na,5," Securities, United Nations, Human Rights, Human Rights Law"
0,27 ALI-ABA Bus. L. Course Materials J. 5 (2003),"Hausman, Alan; Miller, Robert (Cited 21 times)",na,na,na,na,na
