,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Reinventing the Double Helix: A Novel and Nonobvious Reconceptualization of the Biotechnology Patent [article],"Demaine, Linda J. (Cited 262 times); Fellmeth, Aaron Xavier","Stanford Law Review, Vol. 55, Issue 2 (November 2002), pp. 303-462",115,na,8," Intellectual Property Law, Science and Technology"
0,Civil and Criminal Sanctions in the Constitution and Courts [article],"Fellmeth, Aaron Xavier","Georgetown Law Journal, Vol. 94, Issue 1 (November 2005), pp. 1-66",58,3,22," Jurisprudence, Practice and Procedure, Criminal Law and Procedure"
0,Don't Judge a Sale by Its License: Software Transfers under the First Sale Doctrine in the United States and the European Community [article],"Determann, Lothar (Cited 104 times); Fellmeth, Aaron Xavier","University of San Francisco Law Review, Vol. 36, Issue 1 (Fall 2001), pp. 1-108",32,na,13," Science and Technology, Computer Law, Intellectual Property Law, Contracts"
0,Copyright Misuse and the Limits of the Intellectual Property Monopoly [article],"Fellmeth, Aaron Xavier","Journal of Intellectual Property Law, Vol. 6, Issue 1 (Fall 1998), pp. 1-40",28,na,15," Torts, Intellectual Property Law, Trade Regulation"
0,State Regulation of Sexuality in International Human Rights Law and Theory [article],"Fellmeth, Aaron Xavier","William and Mary Law Review, Vol. 50, Issue 3 (December 2008), pp. 797-936",26,na,85," Education, Fair Credit, Fair Employment, Fair Housing, Gay Men and Lesbians, Human Rights Law, International Law, Public Accommodations, Real Estate"
0,"Secrecy, Monopoly, and Access to Pharmaceuticals in International Trade Law: Protection of Marketing Approval Data under the TRIPs Agreement [article]","Fellmeth, Aaron Xavier","Harvard International Law Journal, Vol. 45, Issue 2 (Summer 2004), pp. 443-502",20,na,39," Food and Drug, Intellectual Property Law, International Trade, Food and Drug Law, International Law, Medical Jurisprudence, World Trade Organization"
0,U.S. State Legislation to Limit Use of International and Foreign Law [article],"Fellmeth, Aaron (Cited 376 times)","American Journal of International Law, Vol. 106, Issue 1 (January 2012), pp. 107-117",14,na,11," Legislation, Comparative Law, Terrorism"
0,Questioning Civilian Immunity [article],"Fellmeth, Aaron Xavier","Texas International Law Journal, Vol. 43, Issue 3 (Summer 2008), pp. 453-502",13,na,9," Crimes Against Humanity, Military, War and Peace, Victims, War, Damages, Personal Injury, Restitution, Law and Society"
0,Challenges and Implications of a Systemic Social Effect Theory [article],"Fellmeth, Aaron Xavier","University of Illinois Law Review, Vol. 2006, Issue 4 (2006), pp. 691-750",10,1,1," Jurisprudence, Practice and Procedure, Criminal Law, Criminology"
0,Introductory Note to the Anti-Counterfeiting Trade Agreement [notes],"Fellmeth, Aaron X.","International Legal Materials, Vol. 50, Issue 2 (2011), pp. 239-257",10,na,5," Intellectual Property Law, International Trade, Communications Law, Science and Technology"
0,"A Divorce Waiting to Happen: Franklin Roosevelt and the Law of Neutrality, 1935-1941 [article]","Fellmeth, Aaron Xavier","Buffalo Journal of International Law, Vol. 3, Issue 2 (Winter 1997), pp. 413-518",10,na,20," Legal History, Politics, Legal Profession, President/Executive Department, Professional Ethics, Constitutional Law, National Defense"
0,"Feminism and International Law: Theory, Methodology, and Substantive Reform [article]","Fellmeth, Aaron Xavier","Human Rights Quarterly, Vol. 22, Issue 3 (2000), pp. 658-733",9,na,61," Feminism, International Law, Women"
0,"Control without Interest: State Law of Assignment, Federal Preemption, and the Intellectual Property License [article]","Fellmeth, Aaron Xavier","Virginia Journal of Law & Technology, Vol. 6, Issue 1 (Spring 2001), pp. 1-39",7,na,4," Intellectual Property Law, Arbitration, Industrial and Intellectual Property, International Trade, Communications Law"
0,Wiwa v. Royal Dutch Petroleum Co.: A New Standard for the Enforcement of International Law in U.S. Courts [notes],"Fellmeth, Aaron Xavier","Yale Human Rights & Development Law Journal, Vol. 5, pp. 241-254",6,na,7," International Law, Jurisdiction, Torts, Human Rights Law"
0,Cure without a Disease: The Emerging Doctrine of Successor Liability in International Trade Regulation [article],"Fellmeth, Aaron Xavier","Yale Journal of International Law, Vol. 31, Issue 1 (Winter 2006), pp. 127-188",4,na,4," International Trade, Bankruptcy Law, Corporations"
