,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,"Deconstructing Equity: Public Ownership, Agency Costs, and Complete Capital Markets [article]","Gilson, Donald J. (Cited 70 times); Whitehead, Charles K. (Cited 318 times)","Columbia Law Review , Vol. 108, Issue 1 (January 2008), pp. 231-264",70,na,42," Agency, Costs, Equity, Ownership, Corporations, Economics"
0,Reframing Financial Regulation [article],"Whitehead, Charles K. (Cited 318 times)","Boston University Law Review, Vol. 90, Issue 1 (February 2010), pp. 1-50",59,2,52, Regulation
0,Destructive Coordination [article],"Whitehead, Charles K. (Cited 318 times)","Cornell Law Review, Vol. 96, Issue 2 (January 2011), pp. 323-364",49,na,20," Banking, Economics, Jurisprudence, Securities, Antitrust, Consumer Protection, Administration Law, Agency, President/Executive Department"
0,"What's Your Sign - International Norms, Signals, and Compliance [article]","Whitehead, Charles K. (Cited 318 times)","Michigan Journal of International Law, Vol. 27, Issue 3 (Spring 2006), pp. 695-742",35,na,14," International Law, Politics"
0,"The Evolution of Debt: Covenants, the Credit Market, and Corporate Governance [article]","Whitehead, Charles K. (Cited 318 times)","Journal of Corporation Law, Vol. 34, Issue 3 (Spring 2009), pp. 641-678",30,na,45," Covenants, Credit, Debt, Bonds, Corporations, Securities, Legal Profession"
0,The Goldilocks Approach: Financial Risk and Staged Regulation [article],"Whitehead, Charles K. (Cited 318 times)","Cornell Law Review, Vol. 97, Issue 5 (July 2012), pp. 1267-1308",24,na,21," Regulation, Banking, Economics, Securities"
0,The Volcker Rule and Evolving Financial Markets [article],"Whitehead, Charles K. (Cited 318 times)","Harvard Business Law Review, Vol. 1, Issue 1 (Spring 2011), pp. 39-74",16,na,156," Consumer Protection, Economics, Bonds, Government, Obligations, Banking, Comparative Law, Conflict of Laws"
0,Sandbagging: Default Rules and Acquisition Agreements [misc],"Whitehead, Charles K. (Cited 318 times)","Delaware Journal of Corporate Law, Vol. 36, Issue 3 (2011), pp. 1081-1116",10,2,50,na
0,Why Not a CEO Term Limit [article],"Whitehead, Charles K. (Cited 318 times)","Boston University Law Review, Vol. 91, Issue 3 (May 2011), pp. 1263-1288",10,na,19," Corporations, Compensation, Health, S Corporations"
0,Lawyers and Fools: Lawyer-Directors in Public Corporations [article],"Litov, Lubomir P. (Cited 9 times); Sepe, Simon M. (Cited 9 times); Whitehead, Charles K. (Cited 318 times)","Georgetown Law Journal, Vol. 102, Issue 2 (January 2014), pp. 413-480",9,na,30," Corporations, Legal Profession, Corporations"
0,"Paying for Risk: Bankers, Compensation, and Competition [article]","Sepe, Simone M. (Cited 106 times); Whitehead, Charles K. (Cited 318 times)","Cornell Law Review, Vol. 100, Issue 3 (March 2015), pp. 655-702",2,na,18," Banking, Compensation, Regulation, Corporations, Taxation-Federal Income"
0,"Rethinking Chutes: Incentives, Investment and Innovation [article]","Sepe, Simone M. (Cited 106 times); Whitehead, Charles K. (Cited 318 times)","Boston University Law Review, Vol. 95, Issue 6 (December 2015), pp. 2027-2082",2,na,11," Investment, Appeals, Courts, Liability"
0,Size Matters: Commercial Banks and the Capital Markets [article],"Whitehead, Charles K. (Cited 318 times)","Ohio State Law Journal, Vol. 76, Issue 4 (2015), pp. 765-812",1,na,11," Banking, Real Estate, History, Investment, Regulation"
0,Regulating for the Next Financial Crisis [article],"Whitehead, Charles K. (Cited 318 times)","Pacific McGeorge Global Business & Development Law Journal, Vol. 24, Issue 1 (2011), pp. 3-34",1,na,11," Regulation, Banking"
0,Hon. Ellsworth A. Van Graafeiland [comments],"Whitehead, Charles K. (Cited 318 times)","Cornell Law Review, Vol. 97, Issue 2 (January 2012), pp. [iii]-[xii]",na,na,na," Organizations, Exclusionary Rule, Rico"
0,Regulating for the Next Financial Crisis [article],"Whitehead, Charles K. (Cited 318 times)","Cornell Law Forum, Vol. 37, Issue 1 (Spring 2011), pp. 20-25",na,na,5," Commercial Code, Uniform Commercial Code, Ethics, Government"
