,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Arbitration's Summer Soldiers: An Empirical Study of Arbitration Clauses in Consumer and Nonconsumer Contracts [article],"Eisenberg, Theodore (Cited 6193 times); Miller, Geoffrey P. (Cited 4589 times); Sherwin, Emily (Cited 705 times)","University of Michigan Journal of Law Reform, Vol. 41, Issue 4 (Summer 2008), pp. 871-896",154,2,39," Arbitration, Contracts, Consumer Protection Law"
0,Deceptive Nature of Rules [article],"Alexander, Larry (Cited 2614 times); Sherwin, Emily (Cited 705 times)","University of Pennsylvania Law Review, Vol. 142, Issue 4 (April 1994), pp. 1191-1226",65,na,14," Jurisprudence, Courts, Judges"
0,Restitution and Equity: An Analysis of the Principle of Unjust Enrichment [article],"Sherwin, Emily (Cited 705 times)","Texas Law Review, Vol. 79, Issue 7 (June 2001), pp. 2083-2114",54,6,72," Equity, Restitution, Money, Remedies"
0,A Defense of Analogical Reasoning in Law [article],"Sherwin, Emily (Cited 705 times)","University of Chicago Law Review, Vol. 66, Issue 4 (Fall 1999), pp. 1179-1198",52,na,22," Common Law, Jurisprudence, Legal Analysis and Writing, Legal Education"
0,A Comparative View of Standards of Proof [article],"Clermont, Kevin M. (Cited 2349 times); Sherwin, Emily (Cited 705 times)","American Journal of Comparative Law, Vol. 50, Issue 2 (Spring 2002), pp. 243-276",45,na,34," Practice and Procedure, Comparative Law, Civil Procedure, Common Law"
0,Clear and Convincing Evidence of Testamentary Intent: The Search for a Compromise between Formality and Adjudicative Justice [article],"Sherwin, Emily (Cited 705 times)","Connecticut Law Review, Vol. 34, Issue 2 (Winter 2002), pp. 453-476",43,2,22," Estate Planning, Evidence, Probate, Probate Law, Uniform Probate Code"
0,Two- and Three-Dimensional Property Rights [article],"Sherwin, Emily (Cited 705 times)","Arizona State Law Journal, Vol. 29, Issue 4 (Winter 1997), pp. 1075-1102",38,na,14," Property, Ownership"
0,"Love, Money, and Justice: Restitution between Cohabitants [article]","Sherwin, Emily (Cited 705 times)","University of Colorado Law Review, Vol. 77, Issue 3 (2006), pp. 711-738",26,na,10," Money, Remedies, Restitution, Liability, Equity"
0,"The Jurisprudence of Pleading: Rights, Rules, and Conley v. Gibson [article]","Sherwin, Emily (Cited 705 times)","Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 73-98",26,na,9," Jurisprudence, Practice and Procedure, Civil Procedure, Civil Rights, Procedure"
0,Introduction: Property Rules as Remedies [article],"Sherwin, Emily (Cited 705 times)","Yale Law Journal, Vol. 106, Issue 7 (May 1997), pp. 2083-2090",23,na,9," Property, Remedies, Intellectual Property Law, Liability, Law and Society"
0,Reparations and Unjust Enrichment [article],"Sherwin, Emily (Cited 705 times)","Boston University Law Review, Vol. 84, Issue 5 (December 2004), pp. 1443-1466",20,na,33," Remedies, Legal History, Slavery"
0,Judges as Rulemakers [article],"Sherwin, Emily (Cited 705 times)","University of Chicago Law Review, Vol. 73, Issue 3 (Summer 2006), pp. 919-932",20,na,45," Judges, Dispute Resolution, Economics, Law and Economics"
0,Mandatory Arbitration for Customers but not for Peers: A Study of Arbitration Clauses in Consumer and Non-Consumer Contracts [article],"Eisenberg, Theodore (Cited 6193 times); Miller, Geoffrey P. (Cited 4589 times); Sherwin, Emily (Cited 705 times)","Judicature , Vol. 92, Issue 3 (November-December 2008), pp. 118-123",18,na,17," Arbitration, Contracts, Consumer Protection Law"
0,Rules and Judicial Review [article],"Sherwin, Emily (Cited 705 times)","Legal Theory, Vol. 6, Issue 3 (September 2000), pp. 299-322",17,3,9," Judicial Review, Common Law, General, Contracts, Legislation, Statutes"
0,Legal taxonomy [article],"Sherwin, Emily (Cited 705 times)","Legal Theory, Vol. 15, Issue 1 (March 2009), pp. 25-54",13,na,17," Property, Restitution"
0,Rule-Oriented Realism [comments],"Sherwin, Emily (Cited 705 times)","Michigan Law Review, Vol. 103, Issue 6 (May 2005), pp. 1578-1594",13,na,5," Remedies, Professional Ethics, Restitution"
0,Interpreting Tort Law [article],"Sherwin, Emily (Cited 705 times)","Florida State University Law Review, Vol. 39, Issue 1 (Fall 2011), pp. 227-242",11,na,10," Jurisprudence, Torts"
0,Three Reasons Why Even Good Property Rights Cause Moral Anxiety [comments],"Sherwin, Emily (Cited 705 times)","William and Mary Law Review , Vol. 48, Issue 5 (April 2007), pp. 1927-1952",9,na,11, Property
0,Infelicitous Sex [article],"Sherwin, Emily (Cited 705 times)","Legal Theory, Vol. 2, Issue 3 (September 1996), pp. 209-232",9,na,16," Sex, Consent, Rape"
0,Why Is Corrective Justice Just [article],"Sherwin, Emily (Cited 705 times)","Harvard Journal of Law & Public Policy, Vol. 15, Issue 3 (Summer 1992), pp. 839-848",7,na,6," Torts, Jurisprudence, Contracts, Liability, Strict Liability"
0,Ducking Dred Scott: A Response to Alexander and Schauer [article],"Sherwin, Emily (Cited 705 times)","Constitutional Commentary, Vol. 15, Issue 1 (Spring 1998), pp. 65-72",6,na,1," Research, Constitutional Law"
0,"Nonmaterial Misrepresentation: Damages, Rescission, and the Possibility of Efficient Fraud [article]","Sherwin, Emily (Cited 705 times)","Loyola of Los Angeles Law Review, Vol. 36, Issue 2 (Winter 2003), pp. 1017-1026",6,na,15," Damages, Fraud, Contracts, Insurance Law"
0,Why in re Omegas Group Was Right: An Essay on the Legal Status of Equitable Rights [article],"Sherwin, Emily (Cited 705 times)","Boston University Law Review, Vol. 92, Issue 3 (May 2012), pp. 885-898",6,na,4," Bankruptcy Law, Contracts, Creditors, Estates and Trusts"
0,Unjust Enrichment and Creditors [notes],"Sherwin, Emily (Cited 705 times)","Review of Litigation, Vol. 27, Issue 1 (Fall 2007), pp. 141-154",5,na,11," Bankruptcy Law, Contracts, Creditors, Bankruptcy, Restitution"
0,Epstein and Levmore: Objections from the Right [comments],"Sherwin, Emily (Cited 705 times); Schwarzschild, Maimon (Cited 292 times)","Southern California Law Review, Vol. 67, Issue 6 (September 1994), pp. 1451-1464",4,na,1," Intellectual Property, Property, Restitution, Torts, Remedies, Equity"
0,Legal Rules and Social Reform [article],"Sherwin, Emily (Cited 705 times)","San Diego Law Review, Vol. 36, Issue 2 (Spring 1999), pp. 455-488",4,na,7, Jurisprudence
0,Epstein's Property [article],"Sherwin, Emily (Cited 705 times)","QLR, Vol. 19, Issue 4 (2000), pp. 697-714",3,na,6," Property, Employment, Natural Law, Economics, Jurisprudence"
0,A Comment on Cass Sunstein's Equality [article],"Sherwin, Emily (Cited 705 times)","Constitutional Commentary, Vol. 9, Issue 2 (Summer 1992), pp. 189-198",2,na,4," Courts, Intellectual Property Law, Abortion, Constitutional Law, Neutrality, Pornography"
0,"Comments on Stephen Smith's Duties, Liabilities, and Damages [comments]","Sherwin, Emily (Cited 705 times)","Harvard Law Review Forum, Vol. 125, pp. 164-172",2,na,20," Damages, Remedies, Duty of Care"
0,The Truth about Property Rules: Some Obstacles to the Economic Analysis of Remedies [article],"Sherwin, Emily (Cited 705 times)","Washington University Jurisprudence Review, Vol. 2, Issue 1 (March 2010), pp. 39-74",2,na,6," Property, Remedies, Intellectual Property Law, Liability, Law and Society"
0,How Liberal is Liberal Equality [article],"Sherwin, Emily (Cited 705 times)","Legal Theory, Vol. 1, Issue 2 (June 1995), pp. 227-[iii]",1,na,10," Neutrality, Jurisprudence, Constitutional Rights, Sexuality and the Law"
0,Why We Write: Reflections on Legal Scholarship [article],"Sherwin, Emily (Cited 705 times)","San Diego Law Review, Vol. 41, Issue 4 (November-December 2004), pp. 1739-1740",1,na,6," Legal Analysis and Writing, Corporations, Electronics"
0,The Rationality of Promising [article],"Sherwin, Emily (Cited 705 times)","Cornell Journal of Law and Public Policy, Vol. 27, Issue 3 (Spring 2018), pp. 533-552",na,na,2," Sovereignty, Contracts, Breach of Contract, Compensation, Damages"
0,Legality and rationality: a comment on scott shapiro's [article],"Sherwin, Emily (Cited 705 times)","Legal Theory, Vol. 19, Issue 4 (December 2013), pp. 403-[vi]",na,na,2," Environment, Administration Law, International Law"
0,Compensation and Revenge [article],"Sherwin, Emily (Cited 705 times)","San Diego Law Review, Vol. 40, Issue 4 (November-December 2003), pp. 1387-1414",na,na,na,na
0,Introduction [comments],"Sherwin, Emily (Cited 705 times)","San Diego Law Review, Vol. 37, Issue 3 (Summer 2000), pp. 727-730",na,na,2," Jurisprudence, Precedents"
0,The Importance of the Gap [article],"Sherwin, Emily (Cited 705 times)","University of Queensland Law Journal, Vol. 35, Issue 1 (2016), pp. 47-56",na,na,8," Commitment, Economics, Jurisprudence, Legislation"
