,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Translating Yonnondio by Precedent and Evidence: The Mashpee Indian Case [article],"Torres, Gerald (Cited 723 times); Milun, Kathryn (Cited 105 times)","Duke Law Journal , Vol. 1990, Issue 4 (September 1990), pp. 625-659",104,na,34," Evidence, Indian Law, History, Legal History, Sovereignty, Jurisdiction"
0,Introduction: Understanding Environmental Racism [comments],"Torres, Gerald (Cited 723 times)","University of Colorado Law Review, Vol. 63, Issue 4 (1992), pp. 839-848",74,na,106," Civil Rights, Environment, Racial Profiling, Ethics, Legal Ethics, Race"
0,"Local Knowledge, Local Color: Critical Legal Studies and the Law of Race Relations [article]","Torres, Gerald (Cited 723 times)","San Diego Law Review, Vol. 25, Issue 5 (October 1988), pp. 1043-1070",56,na,19," Race, Affirmative Action, Civil Rights, Legal Education, Jury"
0,Changing the Wind: Notes toward a Demosprudence of Law and Social Movements [article],"Guinier, Lani (Cited 1960 times); Torres, Gerald (Cited 723 times)","Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 2740-2805",51,na,47," Law and Society, Constitutional Law"
0,Critical Race Theory: The Decline of the Universalist Ideal and the Hope of Plural Justice--Some Observations and Questions of an Emerging Phenomenon [article],"Torres, Gerald (Cited 723 times)","Minnesota Law Review, Vol. 75, Issue 3 (February 1991), pp. 993-1008",47,na,14," Civil Rights, Race, Human Rights, Human Rights Law, States"
0,Environmental Burdens and Democratic Justice [article],"Torres, Gerald (Cited 723 times)","Fordham Urban Law Journal, Vol. 21, Issue 3 (Spring 1994), pp. 431-460",46,na,11," Civil Rights, Environmental Justice, Environment, Liberty"
0,Environmental Justice: The Legal Meaning of a Social Movement [article],"Torres, Gerald (Cited 723 times)","Journal of Law and Commerce, Vol. 15, Issue 2 (1996), pp. 597-622",31,na,5," Civil Rights, Environmental Justice, Environment, Corporations, Equal Rights"
0,"Taking and Giving: Police Power, Public Value, and Private Right [article]","Torres, Gerald (Cited 723 times)","Environmental Law, Vol. 26, Issue 1 (Spring 1996), pp. 1-26",30,na,12," Jurisprudence, Police, Police Power, Property, Land Use, Zoning, Economics"
0,Wetlands and Agriculture: Environmental Regulation and the Limits of Private Property [article],"Torres, Gerald (Cited 723 times)","University of Kansas Law Review, Vol. 34, Issue 3 (Spring 1986), pp. 539-576",28,na,7," Agriculture, Property, Regulation, Wetlands, Engineers, Pollution, Water, Water Pollution"
0,Grutter v. Bollinger/Gratz v. Bollinger: View from a Limestone Ledge [article],"Torres, Gerald (Cited 723 times)","Columbia Law Review, Vol. 103, Issue 6 (October 2003), pp. 1596-1609",27,na,11," Affirmative Action, Education, Race"
0,Translation and Stories [article],"Torres, Gerald (Cited 723 times)","Harvard Law Review, Vol. 115, Issue 5 (March 2002), pp. 1362-1395",21,na,9," Sociology, Evidence, Judges, Legal Profession"
0,Who Owns the Sky [comments],"Torres, Gerald (Cited 723 times)","Pace Environmental Law Review, Vol. 19, Issue 2 (2002), pp. 515-574",20,na,6," Economics, Pollution, Air Pollution"
0,Legal Change [comments],"Torres, Gerald (Cited 723 times)","Cleveland State Law Review, Vol. 55, Issue 2 (2007), pp. 135-146",19,na,24," Jurisprudence, Law and Society, Courts, Comparative Law"
0,Merit and Diversity after Hopwood [article],"Forbath, William E. (Cited 928 times); Torres, Gerald (Cited 723 times)","Stanford Law & Policy Review, Vol. 10, Issue 2 (Spring 1999), pp. 185-190",18,na,18," Affirmative Action, Education, Race, Civil Rights"
0,Social Movements and the Ethical Construction of Law [article],"Torres, Gerald (Cited 723 times)","Capital University Law Review, Vol. 37, Issue 3 (Spring 2009), pp. 535-582",15,na,12," Law and Society, Politics, Comparative Law, Constitutional Law, Jurisprudence, Legal Analysis and Writing"
0,The New Property [reviews],"Torres, Gerald (Cited 723 times)","Stanford Law Review, Vol. 56, Issue 3 (December 2003), pp. 741-754",14,na,5," Economics, Organizations, Property, Economic Development, Social Welfare Law, Women"
0,The Public Trust: The Law's DNA [article],"Torres, Gerald (Cited 723 times); Bellinger, Nathan (Cited 15 times)","Wake Forest Journal of Law & Policy, Vol. 4, Issue 2 (May 2014), pp. 281-318",14,na,17," Constitutional Law, Standing, Takings, Takings Clause, Water"
0,Theoretical Problems with the Environmental Regulation of Agriculture [article],"Torres, Gerald (Cited 723 times)","Virginia Journal of Natural Resources Law, Vol. 8, Issue 2 (Spring 1989), pp. 191-214",14,na,1," Agriculture, Regulation, Conservation, States, Environment, Natural Resources"
0,Helping Farmers and Saving Farmland [article],"Torres, Gerald (Cited 723 times)","Oklahoma Law Review, Vol. 37, Issue 1 (Spring 1984), pp. 31-66",13,na,3," Farmland, Right to Farm, Agriculture, Agriculture Law, Environment, Land Use, States, Zoning"
0,Who Owns the Sky [comments],"Torres, Gerald (Cited 723 times)","Pace Environmental Law Review, Vol. 18, Issue 2 (Summer 2001), pp. 227-286",13,2,1," Economics, Pollution, Air Pollution"
0,Changing the Way Government Views Environmental Justice [comments],"Torres, Gerald (Cited 723 times)","St. John's Journal of Legal Commentary, Vol. 9, Issue 2 (Spring 1994), pp. 543-552",12,na,3," Environmental Justice, Government"
0,Teaching and Writing: Curriculum Reform as an Exercise in Critical Education [article],"Torres, Gerald (Cited 723 times)","Nova Law Journal, Vol. 10, Issue 2 (Winter 1986), pp. 867-878",10,na,na," Legal Analysis and Writing, Legal Education, Colleges and Universities"
0,The Constitutional Imaginary: Just Stories about We the People [article],"Torres, Gerald (Cited 723 times); Guinier, Lani (Cited 1960 times)","Maryland Law Review, Vol. 71, Issue 4 (2012), pp. 1052-1072",9,na,3," Reclamation, Constitutional Law, Jurisprudence, Politics, Religion"
0,Perfect Good Faith [article],"Ruble, Erin (Cited 6 times); Torres, Gerald (Cited 723 times)","Nevada Law Journal, Vol. 5, Issue 1 (Fall 2004), pp. 93-125",6,na,11," International Law, Water"
0,Understanding Patriarchy as an Expression of Whiteness: Insights from the Chicana Movement [comments],"Torres, Gerald (Cited 723 times); Pace, Katie (Cited 6 times)","Washington University Journal of Law & Policy, Vol. 18, pp. 129-172",6,na,11," Gender, Race, Research, Environment"
0,Sex Lex: Creating a Discourse [article],"Torres, Gerald (Cited 723 times)","Tulsa Law Review, Vol. 46, Issue 1 (Fall 2010), pp. 45-58",4,na,8," Law and Society, Sex, Rape, Remedies, Commitment, Politics"
0,Some Observations on the Role of Social Change on the Courts [article],"Torres, Gerald (Cited 723 times)","Drake Law Review, Vol. 54, Issue 4 (2006), pp. 895-908",3,na,4," Courts, Jurisprudence, Law and Society, Environmental Law, Nuisance"
0,Luncheon Address [comments],"Torres, Gerald (Cited 723 times)","Northern Illinois University Law Review, Vol. 14, Issue 3 (Summer 1994), pp. 799-806",3,na,1," Property, States, Agriculture"
0,Law and the Creation of Meaning: A Brief Reflection on the Work of Jane Larson [comments],"Torres, Gerald (Cited 723 times)","Wisconsin Journal of Law, Gender and Society, Vol. 28, Issue 2 (Summer 2013), pp. 105-110",2,na,1," Jurisprudence, Sociological Jurisprudence, Politics, Sexuality and the Law"
0,American Blood: Who Is Counting and for What [comments],"Torres, Gerald (Cited 723 times)","Saint Louis University Law Journal, Vol. 58, Issue 4 (Summer 2014), pp. 1017-1046",2,na,6," Blood, Indian Law, States"
0,"We Are on the Move - Second Annual Dr. Martin Luther King, Jr. Lecture, January 20, 2009 [comments]","Torres, Gerald (Cited 723 times)","Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 355-370",2,na,1," Martin Luther King, Jr, Futures"
0,Joe Sax and the Public Trust [article],"Torres, Gerald (Cited 723 times)","Environmental Law, Vol. 45, Issue 2 (Spring 2015), pp. 379-398",2,na,9," Biography, Natural Resources Law, Environment, Legal Analysis and Writing"
0,Visions of Guadalupe: Traces of the Ghost Panel [comments],"Torres, Gerald (Cited 723 times)","Yale Journal of Law & the Humanities, Vol. 18, Supplement - Special Issue 2006 (2006), pp. 161-170",1,na,2," Property, Economics, Federalism, Takings"
0,Liquid Assets: Groundwater in Texas [article],"Torres, Gerald (Cited 723 times)","Yale Law Journal Forum, Vol. 122, pp. 143-166",1,na,4," Groundwater, Regulation, Water"
0,The Evolution of Equality in American Law [comments],"Torres, Gerald (Cited 723 times)","Hastings Constitutional Law Quarterly, Vol. 31, Issue 1 (Fall 2003), pp. 613-626",1,na,1," Neutrality, Segregation"
0,"Excerpt from The Miner's Canary: Enlisting Race, Resisting Power, Transforming Democracy [article]","Guinier, Lani (Cited 1960 times); Torres, Gerald (Cited 723 times)","New York University Review of Law & Social Change, Vol. 27, Issue 1 (2001-2002), pp. 1-4",1,na,6," Politics, Law and Society, Criminal Law and Procedure"
0,Judges and Juries: Separate Moments in the Same Phenomenon [article],"Torres, Gerald (Cited 723 times); Brewster, Donald P. (Cited 5 times)","Law and Inequality: A Journal of Theory and Practice, Vol. 4, Issue 1 (May 1986), pp. 171-188",1,na,6," Constitutional Law, Criminal Law and Procedure, Politics, Corporations, Courts, Practice and Procedure, Taxation-Federal Income"
0,Integrating Transnational Legal Perspectives into the First Year Curriculum [article],"Torres, Gerald (Cited 723 times)","Penn State International Law Review, Vol. 23, Issue 4 (Spring 2005), pp. 801-808",1,na,6," International Law, Indian Law, Jurisprudence, Politics, State and Local Government Law"
0,Translating Climate Change [article],"Torres, Gerald (Cited 723 times)","New Zealand Journal of Public and International Law, Vol. 13, Special Conference Issue: New Thinking on Sustainability (June 2015), pp. 137-152",1,na,22," Climate Change, Obligations, Death"
0,No Ordinary Lawsuit: The Public Trust and the Duty to Confront Climate Disruption: Commentary on Blumm and Wood [comments],"Torres, Gerald (Cited 723 times)","American University Law Review Forum, Vol. 67, Issue 3 (August 2018), pp. 49-74",na,na,21," Civil Rights, Constitutional Law, Environmental Law, Oil, Gas, and Mineral Law, Estates and Trusts, Natural Resources Law"
0,The Evolution of American Culture: The Problematic Place of Race and the Right to Have Rights [article],"Torres, Gerald (Cited 723 times)","Law and Inequality: A Journal of Theory and Practice, Vol. 9, Issue 3 (August 1991), pp. 457-468",na,na,na," Race, Jurisprudence, South Africa, States, Civil Rights"
0,Introduction [comments],"Torres, Gerald (Cited 723 times)","Texas International Law Journal, Vol. 41, Issue 3 (Summer 2006), pp. 423-426",na,na,4," Developing Countries, Legal History, International Law, International Relations, Sovereignty, Jurisprudence"
0,Normal Farming and Adjacency: A Last Minute Gift for the Farm Bureau [article],"Johnston, Craig N. (Cited 53 times); Torres, Gerald (Cited 723 times)","Environmental Law, Vol. 46, Issue 2 (Spring 2016), pp. 395-414",na,na,3," Agriculture Law, Agency, Legislation, States, Water"
0,Synecdoche [article],"Torres, Gerald (Cited 723 times)","Harvard Latino Law Review, Vol. 14, Issue 1 (Spring 2011), pp. 263-276",na,na,1," Education, Judges, Immigration Law"
0,Pennsylvania Land Use Law: Land Reform [article],"Torres, Gerald (Cited 723 times)","Temple Environmental Law & Technology Journal, Vol. 3, pp. 49-72",na,na,5," Land Use, Zoning, Standing"
0,"Indians, Natural Resources, and the Trust Responsibility [article]","Torres, Gerald (Cited 723 times)","Journal of Energy, Natural Resources, & Environmental Law, Vol. 14, Issue 2 (1994), pp. 279-294",na,na,1," Natural Resources, Constitutional Law, Mineral Law, Regulation"
