,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,AEDPA: The Hype and the Bite [article],"Blume, John H. (Cited 907 times)","Cornell Law Review, Vol. 91, Issue 2 (January 2006), pp. 259-302",114,5,47," Constitutional Law, Legislation, Criminal Law and Procedure"
0,"Killing the Willing: Volunteers, Suicide and Competency [article]","Blume, John H. (Cited 907 times)","Michigan Law Review, Vol. 103, Issue 5 (March 2005), pp. 939-1009",75,7,26," Criminal Law and Procedure, Psychiatry and Psychology, Appeals, Capital Punishment, Judicial Review"
0,Post-McCleskey Racial Discrimination Claims in Capital Cases [article],"Blume, John H. (Cited 907 times); Eisenberg, Theodore (Cited 6193 times); Johnson, Sheri Lynn (Cited 1948 times)","Cornell Law Review, Vol. 83, Issue 6 , pp. 1771-1810",54,4,24," Constitutional Law, Law and Society, Criminal Law and Procedure"
0,Future Dangerousness in Capital Cases: Always at Issue [article],"Blume, John H. (Cited 907 times); Garvey, Stephen P. (Cited 1033 times); Johnson, Sheri Lynn (Cited 1948 times)","Cornell Law Review, Vol. 86, Issue 2 (January 2001), pp. 397-410",47,2,21, Criminal Law and Procedure
0,"It's Like Deja Vu all over again: Williams v. Taylor, Wiggins v. Smith, Rompilla v. Beard and a (Partial) Return to the Guidelines Approach to the Effective Assistance of Counsel [article]","Blume, John H. (Cited 907 times); Neumann, Stacey D. (Cited 43 times)","American Journal of Criminal Law, Vol. 34, Issue 2 (Spring 2007), pp. 127-164",43,na,7," Legal Profession, Criminal Law and Procedure, Law Enforcement and Corrections"
0,Ten Years of Payne: Victim Impact Evidence in Capital Cases [article],"Blume, John H. (Cited 907 times)","Cornell Law Review, Vol. 88, Issue 2 (January 2003), pp. 257-281",43,8,11," Evidence, Capital Punishment, Sentencing, Victim Impact Statements, Felony Murder, Robbery, Trials"
0,Probing Life Qualification through Expanded Voir Dire [comments],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Threlkeld, A. Brian (Cited 42 times)","Hofstra Law Review, Vol. 29, Issue 4 (Summer 2001), pp. 1209-1264",42,2,14," Capital Punishment, Voir Dire, Practice and Procedure"
0,In Defense of Noncapital Habeas: A Response to Hoffmann and King [article],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Weyble, Keir M. (Cited 39 times)","Cornell Law Review, Vol. 96, Issue 3 (March 2011), pp. 435-480",39,3,31," Criminal Law and Procedure, Sentencing"
0,Of Atkins and Men: Deviations from Clinical Definitions of Mental Retardation in Death Penalty Cases [article],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Seeds, Christopher (Cited 125 times)","Cornell Journal of Law and Public Policy, Vol. 18, Issue 3 (Summer 2009), pp. 689-734",35,na,26," Capital Punishment, Mentally Retarded, Psychiatry and Psychology, Criminal Law and Procedure, Fourteenth Amendment, Mentally Disabled, Retardation"
0,An Empirical Look at Atkins v. Virginia and Its Application in Capital Cases [article],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Seeds, Christopher (Cited 125 times)","Tennessee Law Review , Vol. 76, Issue 3 (Spring 2009), pp. 625-640",31,2,22," Capital Punishment, Mentally Retarded, Psychiatry and Psychology, Criminal Law and Procedure"
0,The Dilemma of the Criminal Defendant with a Prior Record - Lessons from the Wrongfully Convicted [article],"Blume, John H. (Cited 907 times)","Journal of Empirical Legal Studies, Vol. 5, Issue 3 (2008), pp. 477-506",29,na,26," Criminal Law and Procedure, Criminal Records, Evidence, Federal Rules of Evidence"
0,"Every Juror Wants a Story: Narrative Relevance, Third Party Guilt and the Right to Present a Defense [article]","Blume, John H. (Cited 907 times); Johnson, Sheri L. (Cited 38 times); Paavola, Emily C. (Cited 68 times)","American Criminal Law Review, Vol. 44, Issue 3 (Summer 2007), pp. 1069-1114",27,9,14," Criminal Law and Procedure, Law and Society, Medical Jurisprudence, Courts"
0,Competent Capital Representation: The Necessity of Knowing and Heeding What Jurors Tell Us about Mitigation [article],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Sundby, Scott E. (Cited 1132 times)","Hofstra Law Review, Vol. 36, Issue 3 (Spring 2008), pp. 1035-1066",26,7,25," Legal Profession, Professional Ethics, Criminal Law and Procedure, Psychiatry and Psychology"
0,The Unexonerated: Factually Innocent Defendants Who Plead Guilty [article],"Blume, John H. (Cited 907 times); Helm, Rebecca K. (Cited 26 times)","Cornell Law Review, Vol. 100, Issue 1 (November 2014), pp. 157-192",24,6,108," Criminal Law and Procedure, Sentencing, Evidence, Medical Jurisprudence, Law Enforcement"
0,"Life, Death, and Neuroimaging: The Advantages and Disadvantages of the Defense's Use of Neuroimages in Capital Cases - Lessons from the Front [article]","Blume, John H. (Cited 907 times); Paavola, Emily C. (Cited 68 times)","Mercer Law Review, Vol. 62, Issue 3 (2011), pp. 909-932",20,na,38," Criminal Law and Procedure, Evidence, Science and Technology, Disability Law, Psychiatry and Psychology, Sexuality and the Law"
0,Harmless Error in Federal Habeas Corpus after Brecht v. Abrahamson [article],"Blume, John H. (Cited 907 times); Garvey, Stephen P. (Cited 1033 times)","William and Mary Law Review, Vol. 35, Issue 1 (Fall 1993), pp. 163-196",19,na,4, Habeas Corpus
0,An Introduction to Federal Habeas Corpus Practice and Procedure [comments],"Blume, John H. (Cited 907 times); Voisin, David P. (Cited 19 times)","South Carolina Law Review, Vol. 47, Issue 2 (Winter 1996), pp. 271-304",19,na,2," Criminal Law and Procedure, Practice and Procedure, Jurisdiction"
0,Twenty-Five Years of Death: A Report of the Cornell Death Penalty Project in the Modern Era of Capital Punishment in South Carolina [article],"Blume, John H. (Cited 907 times)","South Carolina Law Review, Vol. 54, Issue 2 (Winter 2002), pp. 285-370",17,na,16," Criminal Law and Procedure, Capital Punishment"
0,Education and Interrogation: Comparing Brown and Miranda [article],"Blume, John H. (Cited 907 times); Johnson, Sheri Lynn (Cited 1948 times); Feldmann, Ross (Cited 16 times)","Cornell Law Review, Vol. 90, Issue 2 (January 2005), pp. 321-346",16,na,4, Criminal Law and Procedure
0,The Delaware Death Penalty: An Empirical Study [article],"Johnson, Sheri Lynn (Cited 1948 times); Blume, John H. (Cited 907 times); Eisenberg, Theodore (Cited 6193 times); Hans, Valerie P. (Cited 1020 times)","Iowa Law Review, Vol. 97, Special Issue (October 2012), pp. 1925-1964",16,7,35," Criminal Law and Procedure, Sentencing, Judges, Women, Constitutional Law, Law and Society"
