,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Trial by Jury or Judge: Transcending Empiricism [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Cornell Law Review, Vol. 77, pp. 1124-1177",214,2,125," Judges, Jury, Practice and Procedure, Trial by Jury, Liability, Products Liability Law"
0,Improving on the Contingent Fee [article],"Clermont, Kevin M. (Cited 2349 times); Currivan, John D. (Cited 198 times)","Cornell Law Review, Vol. 63, Issue 4 , pp. 529-640",174,9,21," Economics, Ethics, Fees, Legal Services, Contracts, Regulation"
0,Do Case Outcomes Really Reveal Anything About the Legal System? Win Rates and Removal Jurisdiction [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Cornell Law Review, Vol. 83, Issue 3 , pp. 581-607",151,1,40," Jurisdiction, Intellectual Property, Property, States, Technology, Government"
0,"Inventing Tests, Destabilizing Systems [article]","Clermont, Kevin M. (Cited 2349 times); Yeazell, Stephen C. (Cited 1397 times)","Iowa Law Review, Vol. 95, Issue 3 (March 2010), pp. 821-862",149,6,15," Practice and Procedure, Supreme Court of the United States"
0,Litigation Realities [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Cornell Law Review, Vol. 88, Issue 1 (November 2002), pp. 119-154",141,1,20," Practice and Procedure, Law and Society"
0,Employment Discrimination Plaintiffs in Federal Court: From Bad to Worse [article],"Clermont, Kevin M. (Cited 2349 times); Schwab, Stewart J. (Cited 1523 times)","Harvard Law & Policy Review, Vol. 3, Issue 1 (Winter 2009), pp. 103-132",134,na,51," Discrimination, Employment, Employment Discrimination, Employment Practice, Plaintiffs, Summary Judgment"
0,Exorcising the Evil of Forum-Shopping [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Cornell Law Review, Vol. 80, Issue 6 , pp. 1507-1535",115,4,46," Courts, Jurisdiction, Federal Courts"
0,Xenophilia in American Courts [comments],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Harvard Law Review, Vol. 109, Issue 5 (March 1996), pp. 1120-1143",105,2,9," Courts, Judges, International Law, Law and Society"
0,How Employment Discrimination Plaintiffs Fare in Federal Court [article],"Clermont, Kevin M. (Cited 2349 times); Schwab, Stewart J. (Cited 1523 times)","Journal of Empirical Legal Studies, Vol. 1, Issue 2 (2004), pp. 429-458",105,2,12," Discrimination, Employment, Employment Discrimination, Employment Practice, Plaintiffs, Appeals, Courts, Federal Courts"
0,Restating Territorial Jurisdiction and Venue for State and Federal Courts [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 66, Issue 3 , pp. 411-463",94,2,22," Courts, Federal Courts, Jurisdiction, Judgments"
0,Plaintiphobia in the Appellate Courts: Civil Rights Really Do Differ from Negotiable Instruments [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","University of Illinois Law Review, Vol. 2002, Issue 4 (2002), pp. 947-978",84,na,7," Appellate Courts, Civil Rights, Courts, Negotiable Instruments, Practice and Procedure, Torts, Trials, Defendants, Jury"
0,Jurisdictional Salvation and the Hague Treaty [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review , Vol. 85, Issue 1 (1999-2000), pp. 89-133",78,3,16," International Law, Jurisdiction, Foreign Judgments, Practice and Procedure, Remedies"
0,Litigation Realities Redux [article],"Clermont, Kevin M. (Cited 2349 times)","Notre Dame Law Review, Vol. 84, Issue 5 (July 2009), pp. 1919-1974",73,na,17," Law and Society, Practice and Procedure"
0,Appeal from Jury or Judge Trial: Defendants' Advantage [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","American Law and Economics Review, Vol. 3, Issue 1 (Spring 2001), pp. 125-164",56,na,na," Practice and Procedure, Courts, Judges"
0,Reverse-Erie [article],"Clermont, Kevin M. (Cited 2349 times)","Notre Dame Law Review , Vol. 82, Issue 1 (November 2006), pp. 1-58",54,3,16," Constitutional Law, Judges, Conflict of Laws, Indian Law"
0,Procedure's Magical Number Three Psychological Bases for Standards of Decision [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 72, Issue 6 , pp. 1115-1156",50,3,8," Jurisprudence, Procedure, Civil Law, Evidence, Practice and Procedure, Proof, Civil Procedure"
0,How Employment-Discrimination Plaintiffs Fare in the Federal Courts of Appeals [comments],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times); Schwab, Steward J. (Cited 50 times)","Employee Rights and Employment Policy Journal, Vol. 7, Issue 2 (2003), pp. 547-568",50,na,9," Appeals, Courts, Discrimination, Employment, Employment Discrimination, Federal Courts, Plaintiffs, Employment Practice, Appellate Courts"
0,Cafa Judicata: A Tale of Waste and Politic [notes],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","University of Pennsylvania Law Review, Vol. 156, Issue 6 (June 2008), pp. 1553-1592",49,1,5," Judges, Law and Society, Choice of Law, Class Actions, Jurisdiction, Legislation, Practice and Procedure"
0,A Comparative View of Standards of Proof [article],"Clermont, Kevin M. (Cited 2349 times); Sherwin, Emily (Cited 705 times)","American Journal of Comparative Law, Vol. 50, Issue 2 (Spring 2002), pp. 243-276",45,na,34," Practice and Procedure, Comparative Law, Civil Procedure, Common Law"
0,Jurisdictional Fact [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 91, Issue 5 (July 2006), pp. 973-1020",43,7,24," Jurisdiction, Practice and Procedure, Proof, Comparative Law, States"
0,Anti-Plaintiff Bias in the Federal Appellate Courts [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Judicature, Vol. 84, Issue 3 (November-December 2000), pp. 128-134",36,4,6," Appellate Courts, Courts, Appeals, Discrimination, Employment, Employment Discrimination, Federal Courts, Plaintiffs, Judges"
0,Three Myths about Twombly-Iqbal [article],"Clermont, Kevin M. (Cited 2349 times)","Wake Forest Law Review, Vol. 45, Issue 5 (2010), pp. 1337-1372",35,1,10," Practice and Procedure, Supreme Court of the United States"
0,The Repressible Myth of Shady Grove [article],"Clermont, Kevin M. (Cited 2349 times)","Notre Dame Law Review, Vol. 86, Issue 3 (July 2011), pp. 987-1040",35,na,11," Insurance, Practice and Procedure, Federalism, Jurisdiction"
0,Exorbitant Jurisdiction [article],"Clermont, Kevin M. (Cited 2349 times); Palmer, John R. B. (Cited 184 times)","Maine Law Review, Vol. 58, Issue 2 (2006), pp. 474-507",29,4,23," Jurisdiction, Civil Procedure, European Union, Judgments, International Law"
0,Surveying Work Product [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 68, Issue 6 , pp. 755-759",28,1,7," Civil Procedure, Discovery, Federal Rules of Civil Procedure, Legal Profession, Practice and Procedure, Immunity"
0,Trial by Jury or Judge: Which is Speedier [article],"Eisenberg, Theodore (Cited 6193 times); Clermont, Kevin M. (Cited 2349 times)","Judicature, Vol. 79, Issue 4 (January-February 1996), pp. 176-180",23,2,17," Jury, Trial by Jury, Courts, Trials"
0,Sequencing the Issues for Judicial Decisionmaking: Limitations from Jurisdictional Primacy and Intrasuit Preclusion [article],"Clermont, Kevin M. (Cited 2349 times)","Florida Law Review, Vol. 63, Issue 2 (April 2011), pp. 301-344",20,na,21," Judges, Practice and Procedure, Antitrust, Economics, Trade Regulation, Evidence"
0,Standards of Proof in Japan and the United States [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell International Law Journal, Vol. 37, Issue 2 (2004), pp. 263-284",18,na,6," Comparative Law, Practice and Procedure, Proof, States, Liability"
0,Standards of Proof Revisited [article],"Clermont, Kevin M. (Cited 2349 times)","Vermont Law Review, Vol. 33, Issue 3 (Spring 2009), pp. 469-488",18,na,28," Practice and Procedure, Proof, Comparative Law, States"
0,Courts in Cyberspace [article],"Eisenberg, Theodore (Cited 6193 times); Clermont, Kevin M. (Cited 2349 times)","Journal of Legal Education, Vol. 46, Issue 1 (March 1996), pp. 94-100",18,na,2," Courts, Appellate Courts, Civil Rights, Negotiable Instruments, Liability, Products Liability Law"
0,Plaintiphobia in the Supreme Court [article],"Eisenberg, Theodore (Cited 6193 times); Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 100, Issue 1 (November 2014), pp. 193-212",16,na,18," Practice and Procedure, Supreme Court of the United States, Summary Judgment, Civil Procedure, Procedure"
0,Xenophilia or Xenophobia in U.S. Courts - Before and after 9/11 [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Journal of Empirical Legal Studies , Vol. 4, Issue 2 (2007), pp. 441-464",14,na,20," International Law, Judges, Courts, Law and Society"
0,Judge Harry Edwards: A Case in Point [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Washington University Law Quarterly, Vol. 80, Issue 4 (2002), pp. 1275-1290",13,na,2," Biography, Legal Analysis and Writing, Judges, Appellate Courts, Civil Rights, Courts, Negotiable Instruments"
