,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,A Constitution of Democratic Experimentalism [article],"Dorf, Michael C. (Cited 3356 times); Sabel, Charles F. (Cited 1528 times)","Columbia Law Review, Vol. 98, Issue 2 (March 1998), pp. 267-473",749,na,94," Separation, Separation of Powers, European Union, Health"
0,Levels of Generality in the Definition of Rights [article],"Tribe, Laurence H. (Cited 7044 times); Dorf, Michael C. (Cited 3356 times)","University of Chicago Law Review, Vol. 57, Issue 4 (Fall 1990), pp. 1057-1108",259,3,38, Constitutional Law
0,Facial Challenges to State and Federal Statutes [article],"Dorf, Michael C. (Cited 3356 times)","Stanford Law Review, Vol. 46, Issue 2 (January 1994), pp. 235-304",248,96,31," Constitutional Law, Courts, Statutes, Statutory Construction, Abortion, Sexuality and the Law, Women, Remedies"
0,Dicta and Article III [article],"Dorf, Michael C. (Cited 3356 times)","University of Pennsylvania Law Review, Vol. 142, Issue 6 (June 1994), pp. 1997-2070",199,22,45," Constitutional Law, Judges, Legal Analysis and Writing"
0,The Limits of Socratic Deliberation [comments],"Dorf, Michael C. (Cited 3356 times)","Harvard Law Review, Vol. 112, Issue 1 (November 1998), pp. 4-83",198,2,24," Judges, Jurisprudence, Legislation, Statutory Interpretation, Constitutional Law, Liberty"
0,Incidental Burdens of Fundamental Rights [article],"Dorf, Michael C. (Cited 3356 times)","Harvard Law Review, Vol. 109, Issue 6 (April 1996), pp. 1175-1251",155,3,34," Constitutional Law, Jurisprudence, Second Amendment, Criminal Law and Procedure"
0,Legal Indeterminacy and Institutional Design [article],"Dorf, Michael C. (Cited 3356 times)","New York University Law Review, Vol. 78, Issue 3 (June 2003), pp. 875-981",153,na,60," Jurisprudence, Judges, Titles"
0,Integrating Normative and Descriptive Constitutional Theory: The Case of Original Meaning [article],"Dorf, Michael C. (Cited 3356 times)","Georgetown Law Journal, Vol. 85, Issue 6 (June 1997), pp. 1765-1822",134,na,33," Jurisprudence, Legislation, Legal Analysis and Writing"
0,Prediction and the Rule of Law [article],"Dorf, Michael C. (Cited 3356 times)","UCLA Law Review, Vol. 42, Issue 3 (February 1995), pp. 651-716",109,3,20," Rule of Law, Law and Society, Law Enforcement and Corrections, Taxation"
0,Equal Protection Incorporation [article],"Dorf, Michael C. (Cited 3356 times)","Virginia Law Review, Vol. 88, Issue 5 (September 2002), pp. 951-1024",98,na,9," Constitutional Law, Equal Protection, Incorporation, Jurisprudence, Equal Rights, Sexuality and the Law, Constitutional Rights"
0,Shared Constitutional Interpretation [article],"Dorf, Michael C. (Cited 3356 times); Friedman, Barry (Cited 3814 times)","Supreme Court Review, Vol. 2000, pp. 61-108",77,na,9," Criminal Law and Procedure, Judges"
0,What Does the Second Amendment Mean Today [article],"Dorf, Michael C. (Cited 3356 times)","Chicago-Kent Law Review, Vol. 76, Issue 1 (2000), pp. 291-348",66,7,74," Second Amendment, Constitutional Law, Interest"
0,Constiutional Existence Conditions and Judicial Review [article],"Adler, Matthew D. (Cited 1349 times); Dorf, Michael C. (Cited 3356 times)","Virginia Law Review, Vol. 89, Issue 6 (October 2003), pp. 1105-1202",66,na,10," Constitutional Law, Judicial Review, Jurisprudence, Legislation"
0,"Same-Sex Marriage, Second-Class Citizenship, and Law's Social Meanings [article]","Dorf, Michael C. (Cited 3356 times)","Virginia Law Review, Vol. 97, Issue 6 (October 2011), pp. 1267-1346",52,na,29," Citizenship, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law, Civil Unions, Conflict of Laws, Domestic Partnerships, Domestic Relations, History"
0,Problem-Solving Courts: From Innovation to Institutionalization [comments],"Dorf, Michael C. (Cited 3356 times); Fagan, Jeffrey A. (Cited 60 times)","American Criminal Law Review, Vol. 40, Issue 4 (Fall 2003), pp. 1501-1512",51,na,104," Courts, Health Law"
0,Fallback Law [article],"Dorf, Michael C. (Cited 3356 times)","Columbia Law Review, Vol. 107, Issue 2 (March 2007), pp. 303-373",43,na,10," Legislation, Constitutional Law, Common Law, General"
0,"Truth, Justice, and the American Constitution [reviews]","Dorf, Michael C. (Cited 3356 times)","Columbia Law Review, Vol. 97, Issue 1 (January 1997), pp. 133-177",42,na,13," Constitutional Law, Jurisprudence"
0,Can Process Theory Constrain Courts [article],"Dorf, Michael C. (Cited 3356 times); Issacharoff, Samuel (Cited 5178 times)","University of Colorado Law Review, Vol. 72, Issue 4 (2001), pp. 923-952",37,na,5," Courts, Reapportionment, Redistricting, State Agencies, State Legislatures, Constitutional Law, Discipline"
0,How to Choose the Least Unconstitutional Option: Lessons for the President (and Others) from the Debt Ceiling Standoff [article],"Buchanan, Neil H. (Cited 160 times); Dorf, Michael C. (Cited 3356 times)","Columbia Law Review, Vol. 112, Issue 6 (October 2012), pp. 1175-1243",35,1,15," Banking, Debt, Politics, President/Executive Department, Congress"
0,The Relevance of Federal Norms for State Separation of Powers [article],"Dorf, Michael C. (Cited 3356 times)","Roger Williams University Law Review, Vol. 4, Issue 1 (Fall 1998), pp. 51-78",33,1,6," Separation, Separation of Powers, Attorneys, Constitutional Law, Governors, Judges, Legal History, Public Officials, State Agencies"
0,Dynamic Incorporation of Foreign Law [article],"Dorf, Michael C. (Cited 3356 times)","University of Pennsylvania Law Review, Vol. 157, Issue 1 (November 2008), pp. 103-170",32,na,14," Comparative Law, Incorporation, Practice and Procedure, Criminal Law, General, Administration Law"
0,Create Your Own Constitutional Theory [article],"Dorf, Michael C. (Cited 3356 times)","California Law Review, Vol. 87, Issue 3 (May 1999), pp. 593-612",32,na,7," Constitutional Law, Legal Analysis and Writing, Commerce, Judges"
0,Does Heller Protect a Right to Carry Guns Outside the Home [article],"Dorf, Michael C. (Cited 3356 times)","Syracuse Law Review , Vol. 59, Issue 2 (2008), pp. 225-234",28,2,22," Jurisprudence, Schools, Second Amendment, States, Constitutional Law, History, Judges, Legal History"
0,The Coherentism of Democracy and Distrust [article],"Dorf, Michael C. (Cited 3356 times)","Yale Law Journal, Vol. 114, Issue 6 (April 2005), pp. 1237-1278",27,na,18," Democracy, Judicial Review, Accounting, Citizenship, Judges"
0,"The Good Society, Commerce, and the Rehnquist Court [article]","Dorf, Michael C. (Cited 3356 times)","Fordham Law Review, Vol. 69, Issue 5 (April 2001), pp. 2161-2188",24,na,2," Commerce, Judges, Jurisprudence, Law and Society, Natural Law"
0,No Federalists Here: Anti-Federalism and Nationalism on the Rehnquist Court [article],"Dorf, Michael C. (Cited 3356 times)","Rutgers Law Journal, Vol. 31, Issue 3 (Spring 2000), pp. 741-752",23,na,2," Jurisdiction, Criminal Law and Procedure, Constitutional Law"
0,"Interpretive Holism and the Structural Method, or How Charles Black Might Have Thought about Campaign Finance Reform and Congressional Timidity [article]","Dorf, Michael C. (Cited 3356 times)","Georgetown Law Journal, Vol. 92, Issue 4 (April 2004), pp. 833-858",23,na,7," Campaign Finance, Politics, Constitutional Law, Federalism, Jurisdiction, Sovereignty, Segregation"
0,The Domain of Reflexive Law [article],"Dorf, Michael C. (Cited 3356 times)","Columbia Law Review, Vol. 103, Issue 2 (March 2003), pp. 384-402",22,na,6," Sexuality and the Law, Agriculture Law, Environment, International Law, Jurisprudence"
0,Identity Politics and the Second Amendment [comments],"Dorf, Michael C. (Cited 3356 times)","Fordham Law Review, Vol. 73, Issue 2 (November 2004), pp. 549-572",21,na,26," Politics, Second Amendment"
0,"Recipe for Trouble: Some Thoughts on Meaning, Translation and Normative Theory [comments]","Dorf, Michael C. (Cited 3356 times)","Georgetown Law Journal, Vol. 85, Issue 6 (June 1997), pp. 1857-1870",20,na,19," Administration Law, State, The, Constitutions, Constitutional Law, Judges, Jurisprudence"
0,The Aspirational Constitution [article],"Dorf, Michael C. (Cited 3356 times)","George Washington Law Review, Vol. 77, Issues 5-6 (September 2009), pp. 1631-1672",20,na,23," Constitutional Rights, Democracy, Labor, Labor Disputes"
0,Iqbal and Bad Apples [article],"Dorf, Michael C. (Cited 3356 times)","Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 217-230",18,na,3," Employment Practice, Liability, Torts"
0,Coming off the Bench: Legal and Policy Implications of Proposals to Allow Retired Justices to Sit by Designation on the Supreme Court [article],"McElroy, Lisa T. (Cited 100 times); Dorf, Michael C. (Cited 3356 times)","Duke Law Journal, Vol. 61, Issue 1 (October 2011), pp. 81-122",18,na,7," Judges, Recusal"
0,God and Man in the Yale Dormitories [article],"Dorf, Michael C. (Cited 3356 times)","Virginia Law Review, Vol. 84, Issue 5 (August 1998), pp. 843-870",18,na,6," Courts, Neutrality"
0,Instrumental and Non-Instrumental Federalism [article],"Dorf, Michael C. (Cited 3356 times)","Rutgers Law Journal, Vol. 28, Issue 4 (Summer 1997), pp. 825-834",17,na,2," Federalism, Democracy, Legal History, States"
0,The Paths to Legal Equality: A Reply to Dean Sullivan [article],"Dorf, Michael C. (Cited 3356 times)","California Law Review, Vol. 90, Issue 3 (May 2002), pp. 791-812",17,na,4," Law and Society, Biography, Legal Education, Agency, Constitutional Law, Equal Protection, Legal History"
0,"Nonoriginalist Perspective on the Lessons of History, A [article]","Dorf, Michael C. (Cited 3356 times)","Harvard Journal of Law & Public Policy, Vol. 19, Issue 2 (Winter 1996), pp. 351-362",16,na,2," History, Constitutional Law, Jurisprudence, Legislation"
0,The Heterogeneity of Rights [article],"Dorf, Michael C. (Cited 3356 times)","Legal Theory, Vol. 6, Issue 3 (September 2000), pp. 269-298",14,na,1," Judicial Review, Constitutional Law, Jurisprudence, General, Property, Religion"
0,The Marjoritarian Difficulty and Theories of Constitutional Decision Making [article],"Dorf, Michael C. (Cited 3356 times)","University of Pennsylvania Journal of Constitutional Law, Vol. 13, Issue 2 (December 2010), pp. 283-304",13,na,23," Constitutional Law, Judicial Review, Jurisprudence"
0,Disbarment in the United States: Who Shall Do the Noisome Work [article],"Dorf, Michael C. (Cited 3356 times)","Columbia Journal of Law and Social Problems, Vol. 12, Issue 1 (Fall 1975), pp. 1-76",12,na,na," Legal Representation, Regulation, Interest, Brokers, Real Estate"
0,Don't End or Audit the Fed: Central Bank Independence in an Age of Austerity [article],"Buchanan, Neil H. (Cited 160 times); Dorf, Michael C. (Cited 3356 times)","Cornell Law Review, Vol. 102, Issue 1 (November 2016), pp. 1-86",11,na,88," Administration Law, Age, Banking, Comparative and Foreign Law, Law Enforcement, Politics, Rape, Sex Crimes, Banking and Finance, Consumer Protection Law"
0,Nullifying the Debt Ceiling Threat Once and for All: Why the President Should Embrace the Least Unconstitutional Option [article],"Buchanan, Neil H. (Cited 160 times); Dorf, Michael C. (Cited 3356 times)","Columbia Law Review Sidebar, Vol. 112, pp. 237-249",10,na,9," Debt, Congress"
0,Whose Ox Is Being Gored - When Attitudinalism Meets Federalism [article],"Dorf, Michael C. (Cited 3356 times)","St. John's Journal of Legal Commentary , Vol. 21, Issue 2 (Spring 2007), pp. 497-526",10,na,5," Federalism, Voting"
0,Abortion Rights [notes],"Dorf, Michael C. (Cited 3356 times)","Touro Law Review, Vol. 23, Issue 4 (2008), pp. 815-826",9,na,15," Abortion, Medical Jurisprudence, States"
0,"Commerce, Death Panels, and Broccoli: Or Why the Activity/Inactivity Distinction in the Health Care Case was Really About the Right to Bodily Integrity [article]","Dorf, Michael C. (Cited 3356 times)","Georgia State University Law Review, Vol. 29, Issue 4 (Summer 2013), pp. 897-920",9,na,3," Commerce, Death, Health, Unions, Constitutional Law, Federalism"
0,Does Federal Executive Branch Experience Explain Why Some Republican Supreme Court Justices Evolve and Others Don't [article],"Dorf, Michael C. (Cited 3356 times)","Harvard Law & Policy Review, Vol. 1, Issue 2 (Summer 2007), pp. 457-476",9,na,23," Judges, President/Executive Department, Age, Politics"
