,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Equal Access and the Right to Marry [article],"Tebbe, Nelson (Cited 371 times); Widiss, Deborah A. (Cited 450 times)","University of Pennsylvania Law Review, Vol. 158, Issue 5 (April 2010), pp. 1375-1450",78,na,2," Domestic Relations, Fourteenth Amendment, Right to Marry, Marriage, Same-Sex Marriage, Sex, Health, Public Health"
0,Constitutional Borrowing [article],"Tebbe, Nelson (Cited 371 times); Tsai, Robert L. (Cited 202 times)","Michigan Law Review , Vol. 108, Issue 4 (February 2010), pp. 459-522",74,na,17," Constitutional Law, Jurisprudence, Bills, Constitutions"
0,Government Nonendorsement [article],"Tebbe, Nelson (Cited 371 times)","Minnesota Law Review, Vol. 98, Issue 2 (December 2013), pp. 648-712",38,3,14," Government, Law and Society, Politics, Equal Protection"
0,Excluding Religion [article],"Tebbe, Nelson (Cited 371 times)","University of Pennsylvania Law Review, Vol. 156, Issue 5 (May 2008), pp. 1263-1340",37,na,21, Religion
0,Nonbelievers [article],"Tebbe, Nelson (Cited 371 times)","Virginia Law Review, Vol. 97, Issue 5 (September 2011), pp. 1111-1180",31,na,6," Politics, Religion, First Amendment, Government, Military, War and Peace"
0,Religion and Marriage Equality Statutes [article],"Tebbe, Nelson (Cited 371 times)","Harvard Law & Policy Review, Vol. 9, Issue 1 (2015), pp. 25-62",23,na,58," Clergy, Domestic Relations, Legislation, Marriage, Religion, Same-Sex Marriage, Statutes, Establishment of Religion, Discrimination, Fair Employment"
0,Free Exercise and the Problem of Symmetry [article],"Tebbe, Nelson (Cited 371 times)","Hastings Law Journal, Vol. 56, Issue 4 (2004-2005), pp. 699-748",22,na,1," Investigations, Neutrality, Religion"
0,Smith in Theory and Practice [article],"Tebbe, Nelson (Cited 371 times)","Cardozo Law Review, Vol. 32, Issue 5 (May 2011), pp. 2055-2068",13,na,10," Judges, Legal Analysis and Writing, Discrimination, Law and Society, First Amendment, Religion"
0,Condemning Religion: RLUIPA and the Politics of Eminent Domain [article],"Serkin, Christopher (Cited 476 times); Tebbe, Nelson (Cited 371 times)","Notre Dame Law Review , Vol. 85, Issue 1 (November 2009), pp. 1-54",12,3,11," Eminent Domain, Land Use Planning, Politics, Religion, Land Use, Persons, Property, First Amendment"
0,Witchcraft and Statecraft: Liberal Democracy in Africa [article],"Tebbe, Nelson (Cited 371 times)","Georgetown Law Journal, Vol. 96, Issue 1 (November 2007), pp. 183-236",9,na,27," Comparative Law, Religion, Criminal Law and Procedure, Indian Law"
0,Is the Constitution Special [article],"Serkin, Christopher (Cited 476 times); Tebbe, Nelson (Cited 371 times)","Cornell Law Review, Vol. 101, Issue 3 (2016), pp. 701-776",6,na,18," Constitutional Law, Jurisprudence"
0,Associations and the Constitution: Four Questions about Four Freedoms [article],"Tebbe, Nelson (Cited 371 times)","North Carolina Law Review, Vol. 92, Issue 3 (March 2014), pp. 917-947",6,na,7," First Amendment, Jurisprudence, Religion, Liberty"
