,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,"A Jeffersonian Republic by Hamiltonian Means: Values, Constraints, and Finance in the Design of a Comprehensive and Contemporary American Ownership Society [article]","Hockett, Robert (Cited 287 times)","Southern California Law Review, Vol. 79, Issue 1 (November 2005), pp. 45-164",37,na,12," Law and Society, Ownership, Corporations, Employment Practice"
0,"It Takes a Village: Municipal Condemnation Proceedings and Public/Private Partnerships for Mortgage Loan Modification, Value Preservation, and Local Economic Recovery [article]","Hockett, Robert (Cited 287 times)","Stanford Journal of Law, Business & Finance, Vol. 18, Issue 1 (Fall 2012), pp. 121-176",33,na,7," Partnerships, Bankruptcy Law, Constitutional Law, Housing Law, Mortgages, Ownership, Takings"
0,Whose Ownership - Which Society [article],"Hockett, Robert (Cited 287 times)","Cardozo Law Review, Vol. 27, Issue 1 (October 2005), pp. 1-104",27,na,15," Law and Society, Ownership, Health, Health Law"
0,A Fixer-Upper for Finance [article],"Hockett, Robert (Cited 287 times)","Washington University Law Review, Vol. 87, Issue 6 (2010), pp. 1213-1292",21,na,6," Banking, Housing Law, Credit, Prices"
0,From Macro to Micro to Mission-Creep: Defending the IMF's Emerging Concern with the Infrastructural Prerequisites to Global Financial Stability [article],"Hockett, Robert (Cited 287 times)","Columbia Journal of Transnational Law, Vol. 41, Issue 1 (2002), pp. 153-194",20,na,9," Banking, Banking Law"
0,"What Kinds of Stock Ownership Plans Should There Be - Of ESOPs, Other SOPs, and Ownership Societies [article]","Hockett, Robert (Cited 287 times)","Cornell Law Review, Vol. 92, Number 5 (July 2007), pp. 865-952",19,na,8," Corporations, Employment Practice, Ownership"
0,The Deep Grammar of Distribution: A Meta-Theory of Justice [article],"Hockett, Robert (Cited 287 times)","Cardozo Law Review, Vol. 26, Issue 3 (February 2005), pp. 1179-1322",16,na,3," Jurisprudence, Law and Society, Research"
0,"Just Insurance through Global Macro-Hedging: Information, Distributive Equity, Efficiency, and New Markets for Systemic-Income-Risk-Pricing and Systemic-Income-Risk-Trading in a New Economy [article]","Hockett, Robert (Cited 287 times)","University of Pennsylvania Journal of International Economic Law, Vol. 25, Issue 1 (Spring 2004), pp. 107-258",16,na,9," International Trade, Environment, Jurisdiction, Dispute Resolution, International Law"
0,The Macroprudential Turn: From Institutional Safety and Soundness to Systematic Financial Stability in Financial Supervision [article],"Hockett, Robert (Cited 287 times)","Virginia Law and Business Review, Vol. 9, Issue 2 (Winter 2015), pp. 201-256",15,na,33," International Law, International Finance, Economics"
0,The Limits of Their World [article],"Hockett, Robert (Cited 287 times)","Minnesota Law Review, Vol. 90, Issue 6 (June 2006), pp. 1720-1790",11,na,2," International Law, Copyright"
0,Bretton Woods 1.0: A Constructive Retrieval for Sustainable Finance [article],"Hockett, Robert (Cited 287 times)","New York University Journal of Legislation and Public Policy, Vol. 16, Issue 2 (2013), pp. 401-484",10,na,22," Banking, International Trade, Regulation, Developing Countries, Comparative Law"
