,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,What Is a Search - Two Conceptual Flaws in Fourth Amendment Doctrine and Some Hints of a Remedy [article],"Colb, Sherry F. (Cited 507 times)","Stanford Law Review, Vol. 55, Issue 1 (October 2002), pp. 119-190",105,6,21," Criminal Law and Procedure, Jurisprudence"
0,"Innocence, Privacy, and Targeting in the Fourth Amendment Jurisprudence [article]","Colb, Sherry F. (Cited 507 times)","Columbia Law Review, Vol. 96, Issue 6 (October 1996), pp. 1456-1525",90,na,10," Constitutional Law, Criminal Law and Procedure, Communications Law, Law Enforcement and Corrections"
0,The Qualitative Dimension of Fourth Amendment Reasonableness [article],"Colb, Sherry F. (Cited 507 times)","Columbia Law Review, Vol. 98, Issue 7 (November 1998), pp. 1642-1725",86,3,17," Criminal Law and Procedure, Transportation Law, Housing Law"
0,Freedom from Incarceration: Why Is this Right Different from all other Rights [article],"Colb, Sherry F. (Cited 507 times)","New York University Law Review, Vol. 69, Issue 4 & 5 (October-November 1994), pp. 781-849",68,1,8," Eighth Amendment, States, International Law, Punishment, Penology"
0,"Words that Deny, Devalue, and Punish: Judicial Responses to Fetus-Envy [article]","Colb, Sherry F. (Cited 507 times)","Boston University Law Review, Vol. 72, Issue 1 (January 1992), pp. 101-142",31,na,4," Jurisprudence, Women, Confessions"
0,A World without Privacy: Why Property Does Not Define the Limits of the Right against Unreasonable Searches and Seizures [comments],"Colb, Sherry F. (Cited 507 times)","Michigan Law Review, Vol. 102, pp. 889-903",26,na,26," Privacy, Property, Science and Technology, Searches and Seizures, Courts, Technology, States"
0,Whodunit Versus What Was Done: When to Admit Character Evidence in Criminal Cases [article],"Colb, Sherry F. (Cited 507 times)","North Carolina Law Review, Vol. 79, Issue 4 (May 2001), pp. 939-992",19,1,19," Evidence, Federal Rules of Evidence"
0,Standing Room Only: Why Fourth Amendment Exclusion and Standing Can No Longer Logically Coexist [article],"Colb, Sherry F. (Cited 507 times)","Cardozo Law Review, Vol. 28, Issue 4 (February 2007), pp. 1663-1710",11,2,8," Criminal Law and Procedure, Judges, Law Enforcement and Corrections, Computer Law, Evidence"
0,The Three Faces of Evil [article],"Colb, Sherry F. (Cited 507 times)","Georgetown Law Journal, Vol. 86, Issue 3 (January 1998), pp. 677-724",11,na,17," Criminal Law, Mentally Disabled, Model Penal Code, Persons, Agency"
0,Probabilities in Probable Cause and Beyond: Statistical Versus Concrete Harms [article],"Colb, Sherry F. (Cited 507 times)","Law and Contemporary Problems, Vol. 73, Issue 3 (Summer 2010), pp. 69-106",9,na,7," Criminal Law and Procedure, Evidence, Food and Drug Law, First Amendment"
0,Insane Fear: The Discriminatory Category of Mentally Ill and Dangerous [article],"Colb, Sherry F. (Cited 507 times)","New England Journal on Criminal and Civil Confinement, Vol. 25, Issue 2 (Summer 1999), pp. 341-366",8,na,11," Medical Jurisprudence, Psychiatry and Psychology, Predators, States, Civil Commitment, Commitment"
0,"Assuming Facts Not in Evidence - A Response to Russell M. Coombs, Reforming New Jersey Evidence Law on Fresh Complaint of Rape [article]","Colb, Sherry F. (Cited 507 times)","Rutgers Law Journal, Vol. 25, Issue 3 (Spring 1994), pp. 745-758",8,2,5," Criminal Law and Procedure, Evidence, Civil Rights"
0,To Whom Do We Refer When We Speak of Obligations to Future Generations - Reproductive Rights and the Intergenerational Community [article],"Colb, Sherry F. (Cited 507 times)","George Washington Law Review, Vol. 77, Issues 5-6 (September 2009), pp. 1582-1619",7,na,6," Sexuality and the Law, Criminal Law and Procedure, Domestic Relations, Immunity, Marital Rape, Sodomy"
0,Stopping a Moving Target [article],"Colb, Sherry F. (Cited 507 times)","Rutgers Race & the Law Review, Vol. 3, Issue 2 (2001), pp. 191-222",6,na,2," Criminal Law and Procedure, Race and Ethnicity, Law Enforcement and Corrections, Law and Society"
0,Why is Torture Different and How Different Is It [article],"Colb, Sherry F. (Cited 507 times)","Cardozo Law Review, Vol. 30, Issue 4 (March 2009), pp. 1411-1474",5,na,8," Criminal Law and Procedure, Military, War and Peace, Human Rights Law, International Law"
0,Never Having Loved at All: An Overlooked Interest that Grounds the Abortion Right [article],"Colb, Sherry F. (Cited 507 times)","Connecticut Law Review, Vol. 48, Issue 3 (February 2016), pp. 933-968",4,na,3," Jurisprudence, Sexuality and the Law, Constitutional Law, Domestic Relations, Juveniles, Reproduction, Criminal Law and Procedure, Medical Jurisprudence"
0,Oil and Water: Why Retribution and Repentance Do Not Mix [article],"Colb, Sherry F. (Cited 507 times)","QLR, Vol. 22, Issue 1 (2003), pp. 59-88",4,na,4," Jurisprudence, Penology, International Law, War"
0,Profiling with Apologies [comments],"Colb, Sherry F. (Cited 507 times)","Ohio State Journal of Criminal Law, Vol. 1, Issue 2 (Spring 2004), pp. 611-626",3,na,8," Law and Society, Remedies, Criminal Law and Procedure"
0,Some Thoughts on the Conduct/Status Distinction [article],"Colb, Sherry F. (Cited 507 times)","Rutgers Law Review, Vol. 51, Issue 4 (Symposium 1999), pp. 977-986",2,na,na," Jurisprudence, Domestic Relations, Immigration Law, Legal History, Sexuality and the Law"
0,Breakfast with Justice Blackmun [comments],"Colb, Sherry F. (Cited 507 times)","North Dakota Law Review, Vol. 71, Issue 1 (1995), pp. 13-14",2,na,na," Biography, Baseball, Jurisprudence, Taxation-Federal Income"
0,Interrogation as a Thermometer of Public Fear [reviews],"Colb, Sherry F. (Cited 507 times)","Ohio State Journal of Criminal Law, Vol. 11, Issue 1 (Fall 2013), pp. 231-248",1,na,14," Law and Society, Education, Second Amendment, Teachers, Students"
0,Animal Rights: From Why to How [comments],"Schaffner, Joan (Cited 26 times); Colb, Sherry F. (Cited 507 times); Dorf, Michael C. (Cited 3356 times); Favre, David (Cited 233 times)","Animal Law, Vol. 22, Issue 2 (2016), pp. 225-248",1,na,34," Animal Law, Animals"
0,An Empty Gesture to Soothe the Conscience: Why We Pass Laws Protecting Chimpanzees and Other Animals from Cruelty [notes],"Colb, Sherry F. (Cited 507 times)","MISSing Sources, Vol. 79, pp. 36-40",na,na,na," Science and Technology, Animals, Philosophy, Criminal Law and Procedure"
0,Decoding Never Again [article],"Colb, Sherry F. (Cited 507 times)","Rutgers Journal of Law and Religion, Vol. 16, Issue 2 (2015), pp. 254-281",na,na,3," Holocaust, Children"
0,The Conviction of Andrea Yates: A Narrative of Denial [comments],"Colb, Sherry F. (Cited 507 times)","Duke Journal of Gender Law & Policy, Vol. 10, pp. 141-148",na,na,49," Evidence, Women, Criminal Law and Procedure, Psychiatry and Psychology"
