,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Legal Ethics and the Separation of Law and Morals [article],"Wendel, W. Bradley (Cited 837 times)","Cornell Law Review, Vol. 91, Issue 1 (November 2005), pp. 67-128",83,na,97," Ethics, Law and Society, Legal Ethics, Professional Ethics, Separation, Human Rights Law, Torture"
0,Professionalism as Interpretation [article],"Wendel, W. Bradley (Cited 837 times)","Northwestern University Law Review, Vol. 99, Issue 3 (2005), pp. 1167-1234",83,na,16," Criminal Law and Procedure, Legal Profession, Securities"
0,Civil Obedience [article],"Wendel, W. Bradley (Cited 837 times)","Columbia Law Review, Vol. 104, Issue 2 (March 2004), pp. 363-425",71,na,26," Legal Profession, Professional Ethics, Ethics"
0,Public Values and Professional Responsibility [article],"Wendel, W. Bradley (Cited 837 times)","Notre Dame Law Review, Vol. 75, Issue 1 (October 1999), pp. 1-124",71,na,34," Professional Ethics, Ethics, Legal Ethics, Law Students, Students"
0,Free Speech for Lawyers [article],"Wendel, W. Bradley (Cited 837 times)","Hastings Constitutional Law Quarterly, Vol. 28, Issue 2 (Winter 2001), pp. 305-444",48,1,14," Legal Profession, Employment Practice, Environment, First Amendment, Harassment, Neutrality, Sexual Harassment"
0,Value Pluralism in Legal Ethics [article],"Wendel, W. Bradley (Cited 837 times)","Washington University Law Quarterly, Vol. 78, Issue 1 (Spring 2000), pp. 113-214",37,na,23," Ethics, Jurisprudence, Legal Ethics, Professional Ethics"
0,Rediscovering Discovery Ethics [article],"Wendel, W. Bradley (Cited 837 times)","Marquette Law Review, Vol. 79, Issue 4 (Summer 1996), pp. 895-948",32,na,2," Discovery, Ethics, Legal Ethics, Regulation, Civil Procedure, Federal Rules of Civil Procedure, Practice and Procedure, Procedure"
0,Mixed Signals: Rational-Choice Theories of Social Norms and the Pragmatics of Explanation [article],"Wendel, W. Bradley (Cited 837 times)","Indiana Law Journal , Vol. 77, Issue 1 (Winter 2002), pp. 1-62",29,na,9," Law and Society, Jurisprudence"
0,"Morality, Motivation, and the Professionalism Movement [article]","Wendel, W. Bradley (Cited 837 times)","South Carolina Law Review, Vol. 52, Issue 3 (Spring 2001), pp. 557-608",29,na,12," Legal Profession, Professional Ethics, Legal Education, Judges"
0,"Lawyering in the Christian Colony: Some Hauerwasian Themes, Reflections, and Questions [article]","Wendel, W. Bradley (Cited 837 times)","Law and Contemporary Problems , Vol. 75, Issue 4 (2012), pp. 1-22",28,na,3," Professional Ethics, Ethics, Legal Ethics"
0,"Government Lawyers, Democracy, and the Rule of Law [article]","Wendel, W. Bradley (Cited 837 times)","Fordham Law Review, Vol. 77, Issue 4 (March 2009), pp. 1333-1362",22,na,18," Democracy, Government, Rule of Law, Bioethics, Comparative Law, Human Rights Law, Torts"
0,"Lawyers, Citizens, and the Internal Point of View [article]","Wendel, W. Bradley (Cited 837 times)","Fordham Law Review, Vol. 75, Issue 3 (December 2006), pp. 1473-1500",19,na,7," Professional Ethics, Revolution, Jurisprudence"
0,"Regulation of Lawyers without the Code, the Rules, or the Restatement: Or, What Do Honor and Shame Have to Do with Civil Discovery Practice [article]","Wendel, W. Bradley (Cited 837 times)","Fordham Law Review, Vol. 71, Issue 4 (March 2003), pp. 1567-1620",17,na,3," Discovery, Regulation, Ethics, History, Legal Ethics"
0,The ABA Guidelines and the Norms of Capital Defense Representation [article],"Stetler, Russell (Cited 72 times); Wendel, W. Bradley (Cited 837 times)","Hofstra Law Review, Vol. 41, Issue 3 (Spring 2013), pp. 635-696",15,na,18," Capital Punishment, Model Penal Code, Death, Legal Profession, Professional Ethics"
0,Legal Ethics as Political Moralism or the Morality of Politics [article],"Wendel, W. Bradley (Cited 837 times)","Cornell Law Review, Vol. 93, Issue 6 (September 2008), pp. 1413-1436",14,na,17," Politics, Psychiatry and Psychology, Criminal Law and Procedure, Professional Ethics"
0,Teaching Ethics in an Atmosphere of Skepticism and Relativism [article],"Wendel, W. Bradley (Cited 837 times)","University of San Francisco Law Review, Vol. 36, Issue 3 (Spring 2002), pp. 711-758",14,na,4," Ethics, Human Rights"
0,Executive Branch Lawyers in a Time of Terror: The 2008 F.W. Wickwire Memorial Lecture [article],"Wendel, W. Bradley (Cited 837 times)","Dalhousie Law Journal , Vol. 31, Issue 2 (Fall 2008), pp. 247-266",13,na,5," Human Rights, Human Rights Law, Military, War and Peace, Trials, War"
0,The Ideology of Judging and the First Amendment in Judicial Election Campaign [article],"Wendel, W. Bradley (Cited 837 times)","South Texas Law Review, Vol. 43, Issue 1 (Winter 2001), pp. 73-124",13,na,2," First Amendment, Regulation, Candidates, Capital Punishment, Elections, Judges, Political Speech, Politics, Punishment"
0,Certain Fundamental Truths: A Dialectic on Negative and Positive Liberty in Hate-Speech Cases [article],"Wendel, W. Bradley (Cited 837 times)","Law and Contemporary Problems, Vol. 65, Issue 2 (Spring 2002), pp. 33-86",13,na,6," Liberty, Constitutional Law, Legal Profession"
0,Legal Ethics and Moral Character [article],"Woolley, Alice (Cited 134 times); Wendel, W. Bradley (Cited 837 times)","Georgetown Journal of Legal Ethics, Vol. 23, Issue 4 (Fall 2010), pp. 1065-1100",13,na,85," Ethics, Legal Ethics, Civil Disobedience, Legal Profession, Professional Ethics"
0,Lawyers and Butlers: The Remains of Amoral Ethics [article],"Wendel, W. Bradley (Cited 837 times)","Georgetown Journal of Legal Ethics, Vol. 9, Issue 1 (Fall 1995), pp. 161-190",13,na,17," Ethics, Architects, Legal Profession, Professional Ethics"
0,Duty in the Litigation-Investment Agreement: The Choice between Tort and Contract Norms When the Deal Breaks down [article],"Sebok, Anthony J. (Cited 636 times); Wendel, W. Bradley (Cited 837 times)","Vanderbilt Law Review, Vol. 66, Issue 6 (November 2013), pp. 1831-1888",13,na,3," Commercial Law, Contracts, Investment, Ethics, Legal Ethics, Banking, Insurance, Insurance Law, Torts"
0,The Profession's Monopoly and Its Core Values [comments],"Wendel, W. Bradley (Cited 837 times)","Fordham Law Review, Vol. 82, Issue 6 (May 2014), pp. 2563-2586",13,na,20," Professional Ethics, Food and Drug Law"
