,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Medical Paternalism or Legal Imperialism: Not the Only Alternatives for Handling Saikewicz-type Cases [article],"Buchanan, Allen (Cited 152 times)","American Journal of Law & Medicine, Vol. 5, Issue 2 (Summer 1979), pp. 97-118",47,na,9," Living Wills, Medical Jurisprudence"
0,The Limits of Proxy Decisionmaking for Incompetents [article],"Buchanan, Allen E. (Cited 152 times)","UCLA Law Review, Vol. 29, Issue 2 (December 1981), pp. 386-408",45,4,6," Incompetents, Patients, Patients' Rights, Brain Death, Living Wills"
0,"Federalism, Secession, and the Morality of Inclusion [article]","Buchanan, Allen (Cited 152 times)","Arizona Law Review, Vol. 37, Issue 1 (Spring 1995), pp. 53-64",19,na,65," State and Local Government Law, Comparative Law, Politics"
0,Human rights and the legitimacy of the international order [article],"Buchanan, Allen (Cited 152 times)","Legal Theory, Vol. 14, Issue 1 (March 2008), pp. 39-70",14,na,20," Human Rights, Military Law, Torture, International Law"
0,Role of Collective Rights in the Theory of Indigenous Peoples' Rights [article],"Buchanan, Allen (Cited 152 times)","Transnational Law & Contemporary Problems, Vol. 3, Issue 1 (Spring 1993), pp. 89-108",10,na,95," Indigenous Peoples, Human Rights, Indian Law"
0,Democracy and the Commitment to International Law [article],"Buchanan, Allen (Cited 152 times)","Georgia Journal of International and Comparative Law, Vol. 34, Issue 2 (2006), pp. 305-332",8,na,13," Human Rights, Human Rights Law, Jurisprudence, Law and Ethics, Sociological Jurisprudence, Interpretation and Construction, Law, Methodology Of, International Law"
0,The Right to Self-Determination: Analytical and Moral Foundations [article],"Buchanan, Allen E. (Cited 152 times)","Arizona Journal of International and Comparative Law , Vol. 8, Issue 2 (1991), pp. 41-50",5,na,40," Politics, Human Rights, Indigenous Peoples, Human Rights Law, Indian Law"
0,Ethical Responsibilities of Patients and Clinical Geneticists [article],"Buchanan, Allen (Cited 152 times)","Journal of Health Care Law & Policy, Vol. 1, Issue 2 (1998), pp. 391-420",2,na,6," Patients, Genetic Information, Trials"
0,Autonomy and Categories of Expression: A Reply to Professor Scanlon [article],"Buchanan, Allen (Cited 152 times)","University of Pittsburgh Law Review, Vol. 40, Issue 4 (Summer 1979), pp. 551-560",1,na,18," Children, Marriage, Covenants"
0,"Reply to Fenton, Fleck, Powers and Voigt [article]","Review Symposium: Allen Buchanan, Justice and Health Care: Selected Essays (2009)","Jurisprudence, Vol. 6, Issue 1 (2015), pp. 151-155",1,na,na," Health, Medical Jurisprudence, Social Welfare Law"
