,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,"Firms, Courts, and Reputation Mechanisms: Towards a Positive Theory of Private Ordering [article]","Richman, Barak D. (Cited 306 times)","Columbia Law Review, Vol. 104, Issue 8 (December 2004), pp. 2328-i",65,na,38," Commercial Law, Courts, Economics, Arbitration, Commercial Arbitration, International Commercial Arbitration, International Trade, Consumer Protection"
0,Distributive Injustice(s) in American Health Care [article],"Havighurst, Clark C. (Cited 1489 times); Richman, Barak D. (Cited 306 times)","Law and Contemporary Problems, Vol. 69, Issue 4 (Autumn 2006), pp. 7-82",38,na,3, Health
0,How Community Institutions Create Economic Advantage: Jewish Diamond Merchants in New York [article],"Richman, Barak D. (Cited 306 times)","Law and Social Inquiry , Vol. 31, Issue 2 (Spring 2006), pp. 383-420",33,na,6," Economics, Religion, Dispute Resolution, Industry, Antitrust, Commerce"
0,The Provider Monopoly Problem in Health Care [article],"Havighurst, Clark C. (Cited 1489 times); Richman, Barak D. (Cited 306 times)","Oregon Law Review, Vol. 89, Issue 3 (2011), pp. 847-884",22,5,39," Health, Health Law, Antitrust, Mergers, Trade Regulation, Courts"
0,Rebuilding Illinois Brick: A Functionalist Approach to the Indirect Purchaser Rule [article],"Richman, Barak D. (Cited 306 times); Murray, Christopher R. (Cited 29 times)","Southern California Law Review, Vol. 81, Issue 1 (November 2007), pp. 69-110",19,na,20," Trade Regulation, Sales"
0,A Transaction Cost Economizing Approach to Regulation: Understanding the NIMBY Problem and Improving Regulatory Responses [article],"Richman, Barak D. (Cited 306 times); Boerner, Christopher (Cited 50 times)","Yale Journal on Regulation, Vol. 23, Issue 1 (Winter 2006), pp. 29-76",18,na,20," Economics, Regulation, Administration Law"
0,Antitrust and Nonprofit Hospital Mergers: A Return to Basics [article],"Richman, Barak D. (Cited 306 times)","University of Pennsylvania Law Review, Vol. 156, Issue 1 (November 2007), pp. 121-150",17,1,3," Antitrust, Health Law, Mergers, Trade Regulation, Health, Courts"
0,Behavioral Economics and Health Policy: Understanding Medicaid's Failure [article],"Richman, Barak D. (Cited 306 times)","Cornell Law Review, Vol. 90, Issue 3 (March 2005), pp. 705-768",13,na,18," Economics, Health, Health Law, Medicaid, Health Insurance, Insurance, Insurance Law, State and Local Government Law"
0,Norms and Law: Putting the Horse before the Cart [article],"Richman, Barak D. (Cited 306 times)","Duke Law Journal, Vol. 62, Issue 3 (December 2012), pp. 739-766",13,na,7," Arbitration, Commercial Arbitration, International Commercial Arbitration, International Trade, Commercial Law, Courts, Economics, Corporations, Law and Society"
0,Understanding the Corporate in Corporate Social Responsibility [article],"Chatterji, Aaron K. (Cited 11 times); Richman, Barak D. (Cited 306 times)","Harvard Law & Policy Review, Vol. 2, Issue 1 (Winter 2008), pp. 33-52",11,na,25," Corporations, History, Common Law, Labor, New Deal, Age, Economics"
0,Mandating Negotiations to Solve the NIMBY Problem: A Creative Regulatory Response [article],"Richman, Barak D. (Cited 306 times)","UCLA Journal of Environmental Law & Policy, Vol. 20, Issue 2 (2001-2002), pp. 223-236",9,na,11," Administration Law, Environment, State and Local Government Law, Economics, Regulation"
0,The Antitrust of Reputation Mechanisms: Institutional Economics and Concerted Refusals to Deal [article],"Richman, Barak D. (Cited 306 times)","Virginia Law Review , Vol. 95, Issue 2 (April 2009), pp. 325-388",9,na,3," Antitrust, Economics, Education, Trade Regulation, Consumer Protection"
0,The Challenge of Co-Religionist Commerce [article],"Helfand, Michael A. (Cited 209 times); Richman, Barak D. (Cited 306 times)","Duke Law Journal, Vol. 64, Issue 5 (February 2015), pp. 769-822",8,2,13," Commerce, Commercial Law, Contracts, Religion"
0,Foreword: Health Policy's Fourth Dimension [comments],"Havighurst, Clark C. (Cited 1489 times); Richman, Barak D. (Cited 306 times)","Law and Contemporary Problems, Vol. 69, Issue 4 (Autumn 2006), pp. 1-6",6,na,na," Health, Labor Law"
0,The Corrosive Combination of Nonprofit Monopolies and U.S.-Style Health Insurance: Implications for Antitrust and Merger Policy [article],"Richman, Barak D. (Cited 306 times)","Law and Contemporary Problems, Vol. 69, Issue 4 (Autumn 2006), pp. 139-158",5,na,2," Antitrust, Health, Health Insurance, Insurance, Corporations, Health Law, Hospitals"
0,Elhauge on Tying: Vindicated by History [article],"Richman, Barak D. (Cited 306 times); Usselman, Steven W. (Cited 3 times)","Tulsa Law Review, Vol. 49, Issue 3 (Spring 2014), pp. 689-712",3,na,4," History, Consumer Protection Law, Economics, Trade Regulation, Liability"
0,Who Pays - Who Benefits - Unfairness in American Health Care [article],"Havighurst, Clark C. (Cited 1489 times); Richman, Barak D. (Cited 306 times)","Notre Dame Journal of Law, Ethics & Public Policy, Vol. 25, Issue 2 (2011), pp. 493-526",3,na,9," Health, Labor Law, Administrative Law"
0,Saving the First Amendment from Itself: Relief from the Sherman Act against the Rabbinic Cartels [article],"Richman, Barak D. (Cited 306 times)","Pepperdine Law Review, Vol. 39, Special Issue (2013), pp. 1347-1370",1,na,4," Religion, Dispute Resolution, Criminal Law and Procedure"
0,An Autopsy of Cooperation: Diamond Dealers and the Limits of Trust-Based Exchange [article],"Richman, Barak D. (Cited 306 times)","Actual Problems of Economics and Law, Vol. 2018, Issue 2 (2018), pp. 385-412",na,na,2," Dispute Resolution, International Trade, Economics, Religion, Oil, Gas and Mineral"
0,An Autopsy of Cooperation: Diamond Dealers and the Limits of Trust-Based Exchange [article],"Richman, Barak D. (Cited 306 times)","Journal of Legal Analysis, Vol. 9, Issue 2 (Winter 2017), pp. 247-284",na,na,19," Dispute Resolution, Industry, International Trade, States"
