,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Customary International Law As Federal Common Law: A Critique of the Modern Position [article],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Harvard Law Review, Vol. 110, Issue 4 (February 1997), pp. 815-876",650,20,48," Constitutional Law, International Law, Human Rights Law, Jurisdiction, Conflict of Laws"
0,Congressional Authorization and the War on Terrorism [article],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Harvard Law Review, Vol. 118, Issue 7 (May 2005), pp. 2047-2133",329,10,106," Constitutional Law, Military Law, Terrorism, War, International Law"
0,The Treaty Power and American Federalism [article],"Bradley, Curtis A. (Cited 4302 times)","Michigan Law Review, Vol. 97, Issue 2 (November 1998), pp. 390-461",283,4,28," Constitutional Law, Federalism, Jurisdiction, States, Treaties"
0,The Charming Betsy Canon and Separation of Powers: Rethinking the Interpretive Role of International Law [article],"Bradley, Curtis A. (Cited 4302 times)","Georgetown Law Journal, Vol. 86, Issue 3 (January 1998), pp. 479-538",203,3,20," Practice and Procedure, Human Rights Law, International Law, Judges, President/Executive Department"
0,Chevron Deference and Foreign Affairs [article],"Bradley, Curtis A. (Cited 4302 times)","Virginia Law Review, Vol. 86, Issue 4 (May 2000), pp. 649-726",203,8,45," International Law, Jurisprudence, Executive Powers, International Relations, Judiciary, President/Executive Department"
0,Territorial Intellectual Property Rights in an Age of Globalism [article],"Bradley, Curtis A. (Cited 4302 times)","Virginia Journal of International Law, Vol. 37, Issue 2 (Winter 1997), pp. 505-586",184,1,52," Age, Industrial and Intellectual Property, Intellectual Property, International Trade, Jurisdiction, Property, Disability, Discrimination, Education, Students"
0,"Treaties, Human Rights, and Conditional Consent [article]","Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","University of Pennsylvania Law Review, Vol. 149, Issue 2 (December 2000), pp. 399-468",177,8,21," Human Rights Law, International Law, Legislation, Criminal Law and Procedure"
0,Historical Gloss and the Separation of Powers [article],"Bradley, Curtis A. (Cited 4302 times); Morrison, Trevor W. (Cited 877 times)","Harvard Law Review, Vol. 126, Issue 2 (December 2012), pp. 411-485",177,3,117," Separation, Separation of Powers, Constitutional Conventions, Judges, Jurisdiction, Legal History"
0,The Current Illegitimacy of International Human Rights Litigation [article],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. III (Cited 201 times)","Fordham Law Review, Vol. 66, Issue 2 (November 1997), pp. 319-370",176,na,17," Constitutional Law, International Law, Human Rights Law, Jurisdiction, Conflict of Laws"
0,The Alien Tort Statute and Article III [article],"Bradley, Curtis A. (Cited 4302 times)","Virginia Journal of International Law, Vol. 42, Issue 2 (Winter 2002), pp. 587-648",156,7,18," Torts, Common Law, Practice and Procedure"
0,"SOSA, Customary International Law, and the Continuing Relevance of Erie [article]","Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times); Moore, David H. (Cited 325 times)","Harvard Law Review, Vol. 120, Issue 4 (February 2007), pp. 869-936",149,3,28," Human Rights Law, International Law, Jurisdiction, Constitutional Law, Practice and Procedure"
0,Executive Power Essentialism and Foreign Affairs [article],"Bradley, Curtis A. (Cited 4302 times); Flaherty, Martin S. (Cited 1217 times)","Michigan Law Review, Vol. 102, Issue 4 (February 2004), pp. 545-688",142,na,65," Constitutional Law, International Law, President/Executive Department, Law Enforcement and Corrections"
0,"Breard, Our Dualist Constitution, and the Internationalist Conception [article]","Bradley, Curtis A. (Cited 4302 times)","Stanford Law Review, Vol. 51, Issue 3 (February 1999), pp. 529-566",141,na,9," International Law, Judges, Human Rights, Human Rights Law"
0,"International Delegations, the Structural Constitution, and Non-Self-Execution [article]","Bradley, Curtis A. (Cited 4302 times)","Stanford Law Review, Vol. 55, Issue 5 (May 2003), pp. 1557-1596",122,1,7," Constitutional Law, International Law, Organizations, Politics"
0,Withdrawing from International Custom [article],"Bradley, Curtis A. (Cited 4302 times); Gulati, Mitu (Cited 1596 times)","Yale Law Journal, Vol. 120, Issue 2 (November 2010), pp. 202-275",102,2,63," International Law, Age, Jurisprudence, Treaties"
0,Federal Courts and the Incorporation of International Law [comments],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Harvard Law Review, Vol. 111, Issue 8 (June 1998), pp. 2260-2275",94,3,12," Human Rights Law, International Law, Jurisdiction, Jurisprudence, Law and Society, Constitutional Law"
0,Presidential Signing Statements and Executive Power [article],"Bradley, Curtis A. (Cited 4302 times); Posner, Eric A. (Cited 6011 times)","Constitutional Commentary, Vol. 23, Issue 3 (Winter 2006), pp. 307-364",83,na,46," President/Executive Department, Constitutional Law, Administrative Law"
0,"The Treaty Power and American Federalism, Part II [comments]","Bradley, Curtis A. (Cited 4302 times)","Michigan Law Review, Vol. 99, Issue 1 (October 2000), pp. 98-133",81,na,3," Constitutional Law, Federalism, Jurisdiction, Treaties"
0,"Presidential Power, Historical Practice, and Legal Constraint [article]","Bradley, Curtis A. (Cited 4302 times); Morrison, Trevor W. (Cited 877 times)","Columbia Law Review, Vol. 113, Issue 4 (May 2013), pp. 1097-1162",79,na,28," Legal History, Constitutional Law, International Law, Jurisdiction, President/Executive Department"
0,The Costs of International Human Rights Litigation [article],"Bradley, Curtis A. (Cited 4302 times)","Chicago Journal of International Law, Vol. 2, Issue 2 (Fall 2001), pp. 457-474",79,5,39," Costs, Human Rights, Human Rights Law, International Law, Diplomacy"
0,A New American Foreign Affairs Law [comments],"Bradley, Curtis A. (Cited 4302 times)","University of Colorado Law Review, Vol. 70, Issue 4 (Fall 1999), pp. 1089-1108",68,na,15," Constitutional Law, International Law, Jurisprudence, Legal History"
0,Universal Jurisdiction and U.S. Law [article],"Bradley, Curtis A. (Cited 4302 times)","University of Chicago Legal Forum, Vol. 2001, pp. 323-350",62,7,25," Human Rights Law, International Criminal Law, Jurisdiction, Criminal Law and Procedure, Religion"
0,The Concept of International Delegation [article],"Bradley, Curtis A. (Cited 4302 times); Kelley, Judith G. (Cited 46 times)","Law and Contemporary Problems, Vol. 71, Issue 1 (Winter 2008), pp. 1-36",46,na,27," International Law, Military, War and Peace, Criminal Law and Procedure"
0,The Juvenile Death Penalty and International Law [article],"Bradley, Curtis A. (Cited 4302 times)","Duke Law Journal, Vol. 52, Issue 3 (December 2002), pp. 485-558",44,na,48," Criminal Law and Procedure, International Law, Juveniles"
0,Self-Execution and Treaty Duality [article],"Bradley, Curtis A. (Cited 4302 times)","Supreme Court Review, Vol. 2008, pp. 131-182",35,na,14," International Law, President/Executive Department, Constitutional Law, Judges"
0,Treaty Termination and Historical Gloss [article],"Bradley, Curtis A. (Cited 4302 times)","Texas Law Review, Vol. 92, Issue 4 (March 2014), pp. 773-836",34,na,69," Jurisprudence, Foreign Affairs, Separation, Separation of Powers, Treaties"
0,International Law and the U.S. Common Law of Foreign Official Immunity [article],"Bradley, Curtis A. (Cited 4302 times); Helfer, Laurence R. (Cited 1860 times)","Supreme Court Review , Vol. 2010, pp. 213-274",33,1,10," Diplomatic Privileges and Immunities, Executive Powers, Human Rights, International Law, President/Executive Department, Human Rights Law, Jurisdiction, Politics"
0,Constructed Constraint and the Constitutional Text [article],"Bradley, Curtis A. (Cited 4302 times); Siegel, Neil S. (Cited 784 times)","Duke Law Journal, Vol. 64, Issue 7 (April 2015), pp. 1213-1294",30,na,19," Constitutional Law, Jurisprudence, Comparative Law, Constitutional Conventions, States"
0,"Military Commissions Act, Habeas Corpus, and the Geneva Conventions [article]","Bradley, Curtis A. (Cited 4302 times)","American Journal of International Law, Vol. 101, Issue 2 (April 2007), pp. 322-344",28,2,3, Military Law
0,The Federal Judicial Power and the International Legal Order [article],"Bradley, Curtis A. (Cited 4302 times)","Supreme Court Review, Vol. 2006, pp. 59-114",23,na,3," International Law, Judges, Courts, Remedies, Treaties, Constitutional Law, Jurisdiction"
0,"Rejoinder: The War on Terrorism: International Law, Clear Statement Requirements, and Constitutional Design [article]","Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Harvard Law Review, Vol. 118, Issue 8 (June 2005), pp. 2683-2697",21,na,10," International Law, Terrorism, War, Military Law, War Powers, Constitutional Law"
0,"After Recess: Historical Practice, Textual Ambiguity, and Constitutional Adverse Possession [article]","Bradley, Curtis A. (Cited 4302 times); Siegel, Neil S. (Cited 784 times)","Supreme Court Review, Vol. 2014, pp. 1-70",21,na,99," Adverse Possession, Legal History, Possession, President/Executive Department, Separation, Separation of Powers, Constitutional Law"
0,Customary International Law and Private Rights of Action [article],"Bradley, Curtis A. (Cited 4302 times)","Chicago Journal of International Law, Vol. 1, Issue 2 , pp. 421-430",17,na,6," International Law, Courts, Practice and Procedure"
0,"Historical Gloss, Constitutional Conventions, and the Judicial Separation of Powers [article]","Bradley, Curtis A. (Cited 4302 times); Siegel, Neil S. (Cited 784 times)","Georgetown Law Journal, Vol. 105, Issue 2 (January 2017), pp. 255-322",16,na,55," Constitutional Conventions, Judges, Jurisdiction, Separation, Separation of Powers, Adverse Possession, Legal History, Possession, President/Executive Department, Judicial Review"
0,The Status of Customary International Law in U.S. Courts - Before and after Erie [article],"Bradley, Curtis A. (Cited 4302 times)","Denver Journal of International Law and Policy, Vol. 26, Issue 5 (Winter 1998), pp. 807-826",15,na,4," Courts, International Law, Practice and Procedure, Common Law, States"
0,Attorney General Bradford's Opinion and the Alien Tort Statute [article],"Bradley, Curtis A. (Cited 4302 times)","American Journal of International Law, Vol. 106, Issue 3 (July 2012), pp. 509-530",15,na,4," Aliens, Courts, International Law, Jurisdiction, Torts, Conflict of Laws, Exterritoriality"
0,World War II Compensation and Foreign Relations Federalism [article],"Bradley, Curtis A. (Cited 4302 times)","Berkeley Journal of International Law, Vol. 20, Issue 1 (2002), pp. 282-295",15,na,5," Jurisdiction, Constitutional Law, International Law, State and Local Government Law"
0,Customary International Law and Withdrawal Rights in an Age of Treaties [article],"Bradley, Curtis A. (Cited 4302 times); Gulati, Mitu (Cited 1596 times)","Duke Journal of Comparative & International Law, Vol. 21, Issue 1 (Fall 2010), pp. 1-30",12,na,47," Jurisprudence, International Law, Legal History"
0,Presidential Control over International Law [article],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Harvard Law Review, Vol. 131, Issue 5 (March 2018), pp. 1201-1297",10,na,263," International Law, President/Executive Department, Administration Law"
0,State Action and Corporate Human Rights Liability [article],"Bradley, Curtis A. (Cited 4302 times)","Notre Dame Law Review , Vol. 85, Issue 5 (December 2010), pp. 1823-1838",9,2,24," Corporations, Human Rights, Human Rights Law, Liability, State Action, Aliens, Common Law, Corporations"
0,"The United States and Human Rights Treaties: Race Relations, the Cold War, and Constitutionalism [article]","Bradley, Curtis A. (Cited 4302 times)","Chinese Journal of International Law, Vol. 9, Issue 2 (June 2010), pp. 321-344",7,na,9," Human Rights, Race, States, Treaties, War"
0,The Bush Administration and International Law: Too Much Lawyering and Too Little Diplomacy [article],"Bradley, Curtis A. (Cited 4302 times)","Duke Journal of Constitutional Law & Public Policy, Vol. 4, Issue 1 (2009), pp. 57-76",6,na,5," International Law, Military Law, Politics"
0,"Presidential War Powers as an Interactive Dynamic: International Law, Domestic Law, and Practice-Based Legal Change [article]","Bradley, Curtis A. (Cited 4302 times); Galbraith, Jean (Cited 178 times)","New York University Law Review, Vol. 91, Issue 4 (October 2016), pp. 689-761",6,na,49," International Law, Military, War and Peace, President/Executive Department"
0,Enforcing the Avena Decision in U.S. Courts [article],"Bradley, Curtis A. (Cited 4302 times)","Harvard Journal of Law & Public Policy, Vol. 30, Issue 1 (Fall 2006), pp. 119-126",5,na,4," International Law, Jurisdiction, Constitutional Law, Practice and Procedure"
