,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Guns as Smut: Defending the Home-Bound Second Amendment [article],"Miller, Darrell A. H. (Cited 268 times)","Columbia Law Review , Vol. 109, Issue 6 (October 2009), pp. 1278-1356",70,2,38," First Amendment, Second Amendment"
0,"Guns, Inc.: Citizens United, McDonald, and the Future of Corporate Constitutional Rights [article]","Miller, Darrell A. H. (Cited 268 times)","New York University Law Review, Vol. 86, Issue 4 (October 2011), pp. 887-957",66,6,55," Constitutional Rights, Corporations, Firearms, Second Amendment, Business Organizations, Cruel and Unusual Punishment, Death, Punishment, Constitutional Law, Jurisdiction"
0,"Text, History, and Tradition: What the Seventh Amendment Can Teach Us about the Second [article]","Miller, Darrell A. H. (Cited 268 times)","Yale Law Journal, Vol. 122, Issue 4 (Janaury 2013), pp. 852-939",36,6,32," History, Death, Legal History, Constitutional Law, Jury, Practice and Procedure"
0,"White Cartels, the Civil Rights Act of 1866, and the History of Jones v. Alfred H. Mayer Co. [article]","Miller, Darrell A. H. (Cited 268 times)","Fordham Law Review, Vol. 77, Issue 3 (December 2008), pp. 999-1050",25,na,21," Cartels, Civil Rights, Economics, History, Law and Society, Race, Thirteenth Amendment"
0,Iqbal and Empathy [comments],"Miller, Darrell A. H. (Cited 268 times)","UMKC Law Review, Vol. 78, Issue 4 (Summer 2010), pp. 999-1014",15,na,12," Practice and Procedure, Law Enforcement and Corrections, Sentencing, Bullying, Law and Society"
0,Retail Rebellion and the Second Amendment [article],"Miller, Darrell A. H. (Cited 268 times)","Indiana Law Journal, Vol. 86, Issue 3 (Summer 2011), pp. 939-978",14,8,15," Arrest, Law Enforcement and Corrections, Legal History, Second Amendment"
0,"What Is Gun Control: Direct Burdens, Incidental Burdens, and the Boundaries of the Second Amendment [article]","Blocher, Joseph (Cited 581 times); Miller, Darrell A. H. (Cited 268 times)","University of Chicago Law Review, Vol. 83, Issue 1 (Winter 2016), pp. 295-356",12,na,141," Boundaries, Second Amendment, Judicial Review, Constitutional Law, Jurisprudence"
0,The Thirteenth Amendment and the Regulation of Custom [article],"Miller, Darrell A. H. (Cited 268 times)","Columbia Law Review, Vol. 112, Issue 7 (November 2012), pp. 1811-1854",8,1,10," Regulation, Thirteenth Amendment"
0,"Peruta, the Home-Bound Second Amendment, and Fractal Originalism [article]","Miller, Darrell A. H. (Cited 268 times)","Harvard Law Review Forum, Vol. 127, pp. 238-242",5,na,5, Second Amendment
0,Racial Cartels and the Thirteenth Amendment Enforcement Power [article],"Miller, Darrell A. H. (Cited 268 times)","Kentucky Law Journal, Vol. 100, Issue 1 (2011-2012), pp. 23-42",5,na,40," Cartels, Economics, Thirteenth Amendment, Discrimination, Disability"
0,"State Domas, Neutral Principles, and the Mobius of State Action [comments]","Miller, Darrell A. H. (Cited 268 times)","Temple Law Review, Vol. 81, Issue 4 (Winter 2008), pp. 967-994",4,na,na," Fourteenth Amendment, Sexuality and the Law, State Action, Domestic Relations, Marriage, Public Policy, Civil Rights, Taxation, Taxation-Federal Income, Taxation-State and Local"
0,The Stain of Slavery: Notes Toward an Attainder Theory of the Thirteenth Amendment [notes],"Miller, Darrell A. H. (Cited 268 times)","University of Toledo Law Review, Vol. 38, Issue 3 (Spring 2007), pp. 1011-1036",4,na,7," Attainder, Slavery, Thirteenth Amendment, Employees, History, Legal History, Civil Rights, Congress"
0,Analogies and Institutions in the First and Second Amendments: A Response to Professor Magarian [comments],"Miller, Darrell A. H. (Cited 268 times)","Texas Law Review See Also, Vol. 91, pp. 137-151",1,na,3," Second Amendment, First Amendment, Education Law"
0,The Second Generation of Second Amendment Law & Policy [comments],"Ruben, Eric M. (Cited 11 times); Miller, Darrell A. H. (Cited 268 times)","Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 1-10",1,na,24," Banking, Bankruptcy Law, Consumer Protection Law, Economics, Legal History, Legislation, Politics, Second Amendment, Trade Regulation, Firearms"
0,"Self-Defense, Defense of Others, and the State [article]","Miller, Darrell A. H. (Cited 268 times)","Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 85-102",1,na,51," Criminal Law and Procedure, Law Enforcement, Firearms, Handguns"
0,Institutions and the Second Amendment [article],"Miller, Darrell A. H. (Cited 268 times)","Duke Law Journal, Vol. 66, Issue 1 (October 2016), pp. 69-120",1,2,28," Constitutional Law, Jurisprudence, Second Amendment, Ownership, Regulation, Zoning"
0,A Short Reply to Professor Volokh [comments],"Miller, Darrell A. H. (Cited 268 times)","Columbia Law Review Sidebar, Vol. 109, pp. 105-106",na,na,3," Second Amendment, Arrest, Law Enforcement and Corrections, Legal History"
0,Second Amendmnet Traditionalism and Desuetude [article],"Miller, Darrell A. H. (Cited 268 times)","Georgetown Journal of Law & Public Policy, Vol. 14, Issue 1 (Winter 2016), pp. 223-232",na,na,14," History, Firearms, First Amendment, Obscenity, Law Enforcement and Corrections, Strikes"
0,Comments on an Amendment to Repeal the Natural Born Citizen Clause [comments],"Miller, Darrell A. H. (Cited 268 times)","Duke Journal of Constitutional Law & Public Policy, Vol. 13, Issue 2 (Spring 2018), pp. 77-82",na,na,7," Citizenship, President/Executive Department, Constitutional Law"
0,"Dignity and Second Amendment Enforcement - Response to William D. Araiza's, Arming the Second Amendment and Enforcing the Fourteenth [article]","Miller, Darrell A. H. (Cited 268 times)","Washington and Lee Law Review Online, Vol. 74, pp. 438-449",na,na,1," Second Amendment, Fourteenth Amendment"
