,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,The Equal Treatment of Aliens: Preemption or Equal Protection [notes],"Levi, David F. (Cited 161 times)","Stanford Law Review, Vol. 31, Issue 6 (July 1979), pp. 1069-1092",112,14,4," Aliens, Equal Protection, Government, Presumptions"
0,Autocrat of the Armchair [reviews],"Levi, David F. (Cited 161 times)","Duke Law Journal, Vol. 58, Issue 7 (April 2009), pp. 1791-1806",24,1,4," Judges, Legal Analysis and Writing, Legal Education, Judiciary, Constitutional Law"
0,Judging Measures [article],"Levi, David F. (Cited 161 times); Gulati, Mitu (Cited 1596 times)","UMKC Law Review, Vol. 77, Issue 2 (Winter 2008), pp. 381-414",7,na,4," Appeals, Courts, Defendants, Plaintiffs, States"
0,They Were Meant for Each Other: Professor Edward Cooper and the Rules Enabling Act [article],"Kravitz, Mark R. (Cited 98 times); Levi, David F. (Cited 161 times); Rosenthal, Lee H. (Cited 160 times); Scirica, Anthony J. (Cited 16 times)","University of Michigan Journal of Law Reform, Vol. 46, Issue 2 (Winter 2013), pp. 495-526",6,na,2," Constitutional Law, Biography, Practice and Procedure, Legal History"
0,In Memoriam: Philip B. Kurland [article],"Levi, David F. (Cited 161 times)","University of Chicago Law Review, Vol. 64, Issue 1 (Winter 1997), pp. 1-6",6,na,14," Legal Education, Biography, Judges, Education"
0,Only Connect: Toward a Unified Measurement Project [comments],"Levi, David F. (Cited 161 times); Gulati, Mitu (Cited 1596 times)","Duke Law Journal, Vol. 58, Issue 7 (April 2009), pp. 1181-1190",5,na,3," Courts, Judges, Economics, Legislation"
0,Roundtable: The State of the Judiciary [article],"Levi, David F. (Cited 161 times); Kuhl, Carolyn B. (Cited 12 times); Lemos, Margaret H. (Cited 538 times); Powell, H. Jefferson (Cited 2025 times); Willett, Don R. (Cited 9 times); Young, Ernest A. (Cited 2800 times)","Judicature, Vol. 101, Issue 3 (Autumn 2017), pp. 52-64",1,na,na," Judiciary, History, Judges, Jurisdiction, Legislation, Discipline"
0,Foreword [comments],"Levi, David F. (Cited 161 times)","McGeorge Law Review, Vol. 38, Issue 1 (2007), pp. iii-iv",na,na,na," Legislation, Politics, Liberty, Baseball, Foreign Athletes, Sports"
0,From Judge to Dean: Reflections on the Bench and the Academy [comments],"Levi, David F. (Cited 161 times)","Louisiana Law Review , Vol. 70, Issue 3 (Spring 2010), pp. 913-922",na,na,2," Legal Education, Education, Regulation, Schools"
0,From Judge to Dean: Reflections on the Bench and the Academy [comments],"Levi, David F. (Cited 161 times)","Revista Forumul Judecatorilor, Vol. 2011, Issue 3 (2011), pp. 72-79",na,na,na," Jurisprudence, Procedure, Judges, Civil War, Crimes, Victims, War"
0,Robinson Everett: The Citizen-Lawyer Ideal Lives on [comments],"Levi, David F. (Cited 161 times)","Duke Law Journal, Vol. 59, Issue 7 (April 2010), pp. 1433-1456",na,na,1," Biography, Judges, Legal Literature, Literature, Dispute Resolution"
0,James D. Cox [comments],"Levi, David F. (Cited 161 times)","Duke Law Journal, Vol. 66, Issue 3 (December 2016), pp. 459-466",na,na,4," Business Organizations, Economics, Practice and Procedure, Interest, Public Interest Law, Education, Legal Education, Students"
0,"Grand Challenges, Grand Ideas: Surmounting the Biggest Problems Facing Today's Legal System [article]","Levi, David F. (Cited 161 times)","Judicature, Vol. 99, Issue 1 (Summer 2015), pp. 14-34",na,na,8," Comparative Law, Liability, Limited Liability Companies, Evidence, Sex, Social Justice, Health"
0,The Nuts and Bolts [article],"Levi, David F. (Cited 161 times)","Judicature, Vol. 99, Issue 3 (Winter 2015), pp. 26-34",na,na,1," Civil Procedure, Procedure, Boundaries, Discovery, Insurance Law, Discrimination, Employment, Employment Discrimination, Employment Practice, Practice and Procedure"
0,Money or Justice: How Fees and Fines Have Contributed to Deep Distrust of the Courts - and What Chief Judges Are Doing about It [article],"Levi, David F. (Cited 161 times); Breckenridge, Patricia; Hecht, Nathan; Hoshino, Martin; McQueen, Mary; O'Connor, Maureen (Cited 37 times)","Judicature, Vol. 100, Issue 4 (Winter 2016), pp. 43-51",na,na,6," Courts, Fees, Fines, Judges, Money, Housing"
0,"Speaking, Listening, and the Rule of Law [article]","Levi, David F. (Cited 161 times)","Judicature, Vol. 101, Issue 4 (Winter 2017), pp. 57-59",na,na,na," Rule of Law, Freedom of Speech, Government"
0,From the Publisher [notes],"Levi, David F. (Cited 161 times)","Judicature, Vol. 102, Issue 1 (Spring 2018), pp. [ii]-[ii]",na,na,na," Comparative Law, Courts, International Law, Judges, Business Organizations, Economics, Practice and Procedure"
0,From the Publisher [comments],"Levi, David F. (Cited 161 times)","Judicature, Vol. 102, Issue 2 (Summer 2018), pp. [ii]-[ii]",na,na,na," Judiciary, States, Education, Biography, Laboratories, Legal History, Libraries"
0,Once More into the Breach: More Reforms for the Federal Discovery Rules [article],"Levi, David F. (Cited 161 times); Marcus, Richard L. (Cited 2044 times)","Judges' Journal, Vol. 37, Issue 2 (Spring 1998), pp. 8-59",na,na,na, Discovery
