,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,The Original Understanding of Original Intent [article],"Powell, H. Jefferson (Cited 2025 times)","Harvard Law Review , Vol. 98, Issue 5 (March 1985), pp. 885-948",925,6,104," Jurisprudence, Interpreters, Common Law"
0,Rules for Originalists [article],"Powell, H. Jefferson (Cited 2025 times)","Virginia Law Review, Vol. 73, Issue 4 (May 1987), pp. 659-700",248,2,19," History, Constitutional Law, Jurisprudence, Legal Analysis and Writing"
0,"Oldest Question of Constitutional Law, The [article]","Powell, H. Jefferson (Cited 2025 times)","Virginia Law Review, Vol. 79, Issue 3 (April 1993), pp. 633-690",215,na,3," Constitutional Law, Jurisdiction, States, Federalism"
0,President's Authority over Foreign Affairs: An Executive Branch Perspective [article],"Powell, H. Jefferson (Cited 2025 times)","George Washington Law Review, Vol. 67, Issue 3 (March 1999), pp. 527-576",79,na,38," Constitutional Law, Foreign Affairs, Executive Powers, International Relations, Judiciary, Jurisprudence, President/Executive Department"
0,The Modern Misunderstanding of Original Intent [reviews],"Powell, H. Jefferson (Cited 2025 times)","University of Chicago Law Review, Vol. 54, Issue 4 (Fall 1987), pp. 1513-1544",61,na,9," Federalism, Constitutional Law, Legal History"
0,Reviving Republicanism [comments],"Powell, H. Jefferson (Cited 2025 times)","Yale Law Journal, Vol. 97, Issue 8 (July 1988), pp. 1703-1712",45,na,13," Constitutional Law, Jurisprudence, Politics, Second Amendment"
0,The Principles of '98: An Essay in Historical Retrieval [article],"Powell, H. Jefferson (Cited 2025 times)","Virginia Law Review, Vol. 80, Issue 3 (April 1994), pp. 689-744",41,na,7," Legal History, Communications Law, First Amendment, Sedition, Jurisprudence"
0,Enumerated Means and Unlimited Ends [article],"Powell, H. Jefferson (Cited 2025 times)","Michigan Law Review, Vol. 94, Issue 3 (December 1996), pp. 651-673",40,na,4," Commerce, Commerce Clause, Constitutional Law, Politics"
0,Cardozo's Foot: The Chancellor's Conscience and Constructive Trusts [article],"Powell, H. Jefferson (Cited 2025 times)","Law and Contemporary Problems, Vol. 56, Issue 3 (Summer 1993), pp. 7-28",38,na,27," Banking Law, Jurisprudence, Trusts, Equity"
0,The Founders and the President's Authority over Foreign Affairs [article],"Powell, H. Jefferson (Cited 2025 times)","William and Mary Law Review, Vol. 40, Issue 5 (May 1999), pp. 1471-1538",34,na,6," Foreign Affairs, Constitutional Law"
0,Parchment Matters: A Meditation on the Constitution as Text [comments],"Powell, H. Jefferson (Cited 2025 times)","Iowa Law Review, Vol. 71, Issue 5 (July 1986), pp. 1427-1436",34,na,4," Jurisprudence, Government, Jurisdiction, State and Local Government Law, States"
0,The Political Grammar of Early Constitutional Law [article],"Powell, H. Jefferson (Cited 2025 times)","North Carolina Law Review, Vol. 71, Issue 4 (April 1993), pp. 949-1010",33,na,9," Constitutional Law, Legal History, Deceit, Comparative Law, Judicial Review, Sovereignty"
0,The Executive and the Avoidance Canon [article],"Powell, H. Jefferson (Cited 2025 times)","Indiana Law Journal, Vol. 81, Issue 4 (Fall 2006), pp. 1313-1318",22,na,5," Human Rights Law, President/Executive Department, Commander in Chief"
0,The Constitutionality of the Bank Bill: The Attorney General's First Constitutional Law Opinions [article],"Dellinger, Walter (Cited 377 times); Powell, H. Jefferson (Cited 2025 times)","Duke Law Journal, Vol. 44, Issue 1 (October 1994), pp. 110-133",21,na,12," Constitutional Law, General, Legal History, President/Executive Department"
0,Reasoning about the Irrational: The Roberts Court and the Future of Constitutional Law [article],"Powell, H. Jefferson (Cited 2025 times)","Washington Law Review, Vol. 86, Issue 2 (May 2011), pp. 217-280",18,1,13," Constitutional Law, Jurisprudence"
0,Laying It on the Line: A Dialogue on Line Item Vetoes and Separation of Powers [comments],"Powell, H. Jefferson (Cited 2025 times); Rubenfeld, Jed (Cited 2352 times)","Duke Law Journal, Vol. 47, Issue 6 (April 1998), pp. 1171-1212",17,na,3," Separation, Separation of Powers, Standing, Constitutional Law, Politics, Statutes"
0,Reaching the Limits of Traditional Constitutional Scholarship [reviews],"Powell, H. Jefferson (Cited 2025 times)","Northwestern University Law Review, Vol. 80, Issue 4 , pp. 1128-[ii]",16,na,2," Constitutional Law, Jurisprudence, Religion, Politics"
0,Convenient Shorthand: The Supreme Court and the Language of State Sovereignty [comments],"Powell, H. Jefferson (Cited 2025 times); Priester, Benjamin J. (Cited 148 times)","University of Colorado Law Review, Vol. 71, Issue 3 (Summer 2000), pp. 645-714",15,na,8," Jurisdiction, Sovereignty"
0,With Disdain for the Constitutional Craft: The Proposed Victims' Rights Amendment [article],"Mosteller, Robert P. (Cited 1125 times); Powell, H. Jefferson (Cited 2025 times)","North Carolina Law Review, Vol. 78, Issue 2 (January 2000), pp. 371-398",14,na,2," Constitutional Law, Criminal Law and Procedure"
0,The Uses of State Constitutional History: A Case Note [article],"Powell, H. Jefferson (Cited 2025 times)","Albany Law Review, Vol. 53, Issue 2 (Winter 1989), pp. 283-296",11,na,3," Judges, Jurisprudence, Judicial Review"
0,Constitutional Investigations [article],"Powell, H. Jefferson (Cited 2025 times)","Texas Law Review, Vol. 72, Issue 7 (June 1944), pp. 1731-1752",10,na,7," Investigations, First Amendment, Jurisprudence, Polygamy"
0,"Gospel According to Roberto: A Theological Polemic, The [comments]","Powell, H. Jefferson (Cited 2025 times)","Duke Law Journal , Vol. 1988, Issue 5 (November 1988), pp. 1013-1028",9,na,1," Jurisprudence, Philosophy"
0,On Not Being Not an Originalist [comments],"Powell, H. Jefferson (Cited 2025 times)","University of St. Thomas Law Journal, Vol. 7, Issue 2 (Winter 2010 ), pp. 259-280",9,na,na," History, Constitutional Law, Jurisprudence"
0,"Lawfulness of Romer v. Evans, The [comments]","Powell, H. Jefferson (Cited 2025 times)","North Carolina Law Review, Vol. 77, Issue 1 (November 1998), pp. 241-258",8,na,6," Constitutional Law, Sexuality and the Law, Civil Rights"
0,The Constitution in Conflict by Robert A. Burt [reviews],"Powell, H. Jefferson (Cited 2025 times)","Harvard Law Review , Vol. 106, Issue 5 (March 1993), pp. 1197-1217",7,na,5," Judges, Democracy, Constitutional Law"
0,"A Response to Professor Knight, are Empiricists Asking the Right Questions about Judicial Decisionmaking [comments]","Powell, H. Jefferson (Cited 2025 times)","Duke Law Journal, Vol. 58, Issue 7 (April 2009), pp. 1725-1730",6,na,4," Judges, Law Enforcement and Corrections, Judicial Process"
0,The Three Independences [comments],"Powell, H. Jefferson (Cited 2025 times)","University of Richmond Law Review, Vol. 38, Issue 3 (March 2004), pp. 603-614",6,na,2," Judiciary, Courts, Law and Society"
0,The Regrettable Clause: United States v. Comstock and the Powers of Congress [article],"Powell, H. Jefferson (Cited 2025 times)","San Diego Law Review, Vol. 48, Issue 3 (August-September 2011), pp. 713-772",4,na,5," Constitutional Law, Criminal Law and Procedure, Sexuality and the Law"
0,Further Reflections on Not Being Not an Originalist [comments],"Powell, H. Jefferson (Cited 2025 times)","University of St. Thomas Law Journal, Vol. 7, Issue 2 (Winter 2010 ), pp. 288-309",4,na,na," Constitutional Law, Judges, Legal History, Jurisprudence, Legal Analysis and Writing"
0,Who's Afraid of Thomas Cromwell [article],"Powell, H. Jefferson (Cited 2025 times)","Chicago-Kent Law Review, Vol. 74, Issue 2 (1999), pp. 393-408",3,2,1," Church and State, Wills, Antitrust, Liability"
0,Overcoming Democracy: Richard Posner and Bush v. Gore [article],"Powell, H. Jefferson (Cited 2025 times)","Journal of Law & Politics, Vol. 17, Issue 2 (Spring 2001), pp. 333-352",3,na,2," Democracy, Constitutional Law, Politics"
0,The Attorney General's First Separation of Powers Opinion [article],"Dellinger, Walter (Cited 377 times); Powell, H. Jefferson (Cited 2025 times)","Constitutional Commentary, Vol. 13, Issue 3 (Fall 1996), pp. 309-316",2,na,na," General, Separation, Separation of Powers, Subpoenas, Pardons"
