,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,The Supreme Court as a Strategic National Policymaker [article],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times); Martin, Andrew D. (Cited 767 times)","Emory Law Journal, Vol. 50, Issue 2 (Spring 2001), pp. 583-612",78,na,83," Judges, Politics, Constitutional Law, Democracy"
0,The Norm of Prior Judicial Experience and Its Consequences for Career Diversity on the U.S. Supreme Court [article],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times); Martin, Andrew D. (Cited 767 times)","California Law Review, Vol. 91, Issue 4 (July 2003), pp. 903-966",72,na,21," Judges, Supreme Court of the United States, Court Opinions, Legal Analysis and Writing"
0,The Political (Science) Context of Judging [comments],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times); Martin, Andrew D. (Cited 767 times)","Saint Louis University Law Journal, Vol. 47, Issue 3 (Spring 2003), pp. 783-818",36,na,14, Political Science
0,Comparing Judicial Selection Systems [article],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times); Shvetsova, Olga (Cited 56 times)","William & Mary Bill of Rights Journal, Vol. 10, Issue 1 (December 2001), pp. 7-36",28,na,69," Judges, Politics, Consent"
0,The Role of Constitutional Courts in the Establishment and Maintenance of Democratic Systems of Government [comments],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times); Shvetsova, Olga (Cited 56 times)","Law & Society Review, Vol. 35, Issue 1 (2001), pp. 117-164",28,na,22," Constitutional Courts, Courts, Government, Maintenance, Constitutional Law, Judicial Review, Politics, Judges"
0,Are Empiricists Asking the Right Questions about Judicial Decisionmaking [article],"Knight, Jack (Cited 318 times)","Duke Law Journal, Vol. 58, Issue 7 (April 2009), pp. 1531-1556",26,na,10," Judges, Law Enforcement and Corrections, Jurisprudence, Philosophy, Legal Analysis and Writing"
0,On the Struggle for Judicial Supremacy [article],"Knight, Jack (Cited 318 times); Epstein, Lee (Cited 1788 times)","Law & Society Review, Vol. 30, Issue 1 (1996), pp. 87-120",17,na,5," Legal History, Constitutional Law, Democracy, First Amendment, Ownership, Regulation"
0,Piercing the Veil: William J. Brennan's Account of Regents of the University of California v. Bakke [article],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times)","Yale Law & Policy Review, Vol. 19, Issue 2 (2001), pp. 341-380",15,na,22," Education, Judges, Appeals, Assignments"
0,Constitutional Borrowing and Nonborrowing [article],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times)","International Journal of Constitutional Law, Vol. 1, Issue 2 (2003), pp. 196-223",8,na,23," Bills, Constitutional Law, Constitutions, Judges, Jurisprudence, Precedents, Agency, Ultra Vires"
0,Explaining Economic Change: The Interplay between Cognition and Institutions [article],"Knight, Jack (Cited 318 times); North, Douglass (Cited 5 times)","Legal Theory, Vol. 3, Issue 3 (September 1997), pp. 211-226",5,na,13," Jurisprudence, International Law, Equity, Interest"
0,How Bayesian are Judges [article],"Knight, Jack (Cited 318 times); Gulati, Mitu (Cited 1596 times); Levi, David (Cited 2 times)","Nevada Law Journal, Vol. 16, Issue 3 (Summer 2016), pp. 1061-1084",2,na,6," Criminal Law and Procedure, Judges, Practice and Procedure, Psychiatry and Psychology"
0,Positive Models and Normative Theory: A Comment on Eskridge and Ferejohn [comments],"Knight, Jack (Cited 318 times)","Journal of Law, Economics and Organization, Vol. 8, Issue 1 (March 1992), pp. 190-196",2,na,4," Politics, Common Law, Legislation"
0,Building the Bridge from Both Sides of the River: Law and Society and Rational Choice [comments],"Epstein, Lee (Cited 1788 times); Knight, Jack (Cited 318 times)","Law & Society Review, Vol. 38, Issue 2 (2004), pp. 207-212",1,na,na," Law and Society, Economics, International Law"
