,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,"Think Globally, Act Globally: The Limits of Local Climate Policies [comments]","Wiener, Jonathan B. (Cited 365 times)","University of Pennsylvania Law Review, Vol. 155, Issue 6 (June 2007), pp. 1961-1980",86,na,18," State and Local Government Law, Climate Change, Common Law, Remedies"
0,Global Governance as Administration - National and Transnational Approaches to Global Administrative Law [comments],"Kingsbury, Benedict (Cited 949 times); Krisch, Nico (Cited 588 times); Stewart, Richard B. (Cited 4339 times); Wiener, Jonathan B. (Cited 365 times)","Law and Contemporary Problems, Vol. 68, Issues 3 & 4 (Summer/Autumn 2005), pp. 1-14",44,na,32," Administration Law, Administrative Law, International Law, International Organization, World Trade Organization, Courts"
0,Whose Precaution after All - A Comment on the Comparison and Evolution of Risk Regulatory Systems [article],"Wiener, Jonathan B. (Cited 365 times)","Duke Journal of Comparative & International Law, Vol. 13, Issue 3 (Summer 2003), pp. 207-262",42,na,21," Administration Law, Women, International Law"
0,Something Borrowed for Something Blue: Legal Transplants and the Evolution of Global Environmental Law [article],"Wiener, Jonathan B. (Cited 365 times)","Ecology Law Quarterly, Vol. 27, Issue 4 (2001), pp. 1295-1372",40,na,29," Environmental Law, Comparative Law, Consumer Protection, Consumer Protection Law, Jurisprudence"
0,Environmental Policy for Eastern Europe:Technology-Based versus Market-Based Approaches [comments],"Dudek, Daniel J. (Cited 161 times); Stewart, Richard B. (Cited 4339 times); Wiener, Jonathan B. (Cited 365 times)","Columbia Journal of Environmental Law, Vol. 17, Issue 1 (1992), pp. 1-52",34,1,7," Comparative Law, Economics, Environmental Policy, Technology, Economic Development, Environmental Protection, Sustainable Development, States"
0,The Comprehensive Approach to Global Climate Policy: Issues of Design and Practicality [article],"Stewart, Richard B. (Cited 4339 times); Wiener, Jonathan B. (Cited 365 times)","Arizona Journal of International and Comparative Law, Vol. 9, Issue 1 (1992), pp. 83-114",30,na,6," Environment, Politics, President/Executive Department, Jurisdiction"
0,Climate Change Policy and Policy Change in China [article],"Wiener, Jonathan B. (Cited 365 times)","UCLA Law Review, Vol. 55, Issue 6 (August 2008), pp. 1805-1826",23,na,187," Comparative Law, International Law, Economics"
0,Of Sailing Ships and Seeking Facts: Brief Reflections on Magistrates and the Federal Rules of Civil Procedure [article],"Weinstein, Jack B. (Cited 2958 times); Wiener, Jonathan B. (Cited 365 times)","St. John's Law Review, Vol. 62, Issue 3 (Spring 1988), pp. 429-442",19,na,8," Civil Procedure, Federal Rules of Civil Procedure, Procedure, Depositions, Discovery, Expert Witnesses, Federalism, Interrogatories, Jurisdiction, Practice and Procedure"
0,Responding to Agency Avoidance of OIRA [article],"Mendelson, Nina A. (Cited 792 times); Wiener, Jonathan B. (Cited 365 times)","Harvard Journal of Law & Public Policy, Vol. 37, Issue 2 (Spring 2014), pp. 447-522",15,na,17," Agency, Administration Law, President/Executive Department"
0,Radiative Forcing: Climate Policy to Break the Logjam in Environmental Law [article],"Wiener, Jonathan B. (Cited 365 times)","New York University Environmental Law Journal, Vol. 17, Issue 1 (2008), pp. 210-255",12,na,2," International Law, Politics"
0,"New Approaches to International Regulatory Cooperation: The Challenge of TTIP, TPP, and Mega-Regional Trade Agreements [article]","Bull, Reeve T. (Cited 57 times); Mahboubi, Neysun A. (Cited 12 times); Stewart, Richard B. (Cited 4339 times); Wiener, Jonathan B. (Cited 365 times)","Law and Contemporary Problems, Vol. 78, Issue 4 (2015), pp. 1-30",12,na,96," Economics, International Trade, Investment, Treaties"
0,The Future of International Regulatory Cooperation: TTIP as a Learning Process toward a Global Policy Laboratory [article],"Wiener, Jonathan B. (Cited 365 times); Alemanno, Alberto (Cited 64 times)","Law and Contemporary Problems, Vol. 78, Issue 4 (2015), pp. 103-136",3,na,49," History, Constitutional Law, Politics"
0,Best Cass Scenario [article],"Wiener, Jonathan B. (Cited 365 times)","Tulsa Law Review , Vol. 43, Issue 4 (Summer 2008), pp. 933-946",2,na,3," Legal Education, Biography, Military, War and Peace, New Deal"
0,"On Morals, Markets, and Climate Change: Exploring Pope Francis' Challenge [article]","Monast, Jonas J. (Cited 38 times); Murray, Brian C. (Cited 15 times); Wiener, Jonathan B. (Cited 365 times)","Law and Contemporary Problems, Vol. 80, Issue 1 (2017), pp. 135-162",2,na,25," Climate Change, Environment, Religion, Economics"
0,Environmental Regulation Going Retro: Learning Foresight from Hindsight [comments],"Wiener, Jonathan B. (Cited 365 times); Ribeiro, Daniel L. (Cited 1 times)","Journal of Land Use & Environmental Law, Vol. 32, Issue 1 (Fall 2016), pp. 1-74",1,na,13," Administrative Law, Regulation, Interest, Murder"
0,Towards a New International Law of the Atmosphere [article],"Sand, Peter H. (Cited 148 times); Wiener, Jonathan B. (Cited 365 times)","Goettingen Journal of International Law, Vol. 7, Issue 2 (2016), pp. 195-224",na,na,29," International Law, Environmental Protection, National Defense"
0,Better Ways to Study Regulatory Elephants [reviews],"Wiener, Jonathan B. (Cited 365 times); Swedlow, Brendon (Cited 7 times); Hammitt, James K. (Cited 52 times); Rogers, Michael D.","European Journal of Risk Regulation, Vol. 4, Issue 2 (2013), pp. 311-320",na,na,3," Politics, Bioethics, Food and Drug, Insurance"
0,Risk Regulation and Future Learning [article],"Wiener, Jonathan B. (Cited 365 times)","European Journal of Risk Regulation (EJRR), Vol. 8, Issue 1 (March 2017), pp. 4-9",na,na,na, Regulation
