,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Categoricalism and Balancing in First and Second Amendment Analysis [article],"Blocher, Joseph (Cited 581 times)","New York University Law Review , Vol. 84, Issue 2 (May 2009), pp. 375-439",89,16,49," First Amendment, Second Amendment"
0,Institutions in the Marketplace of Ideas [article],"Blocher, Joseph (Cited 581 times)","Duke Law Journal , Vol. 57, Issue 4 (February 2008), pp. 821-890",88,na,26," Constitutional Law, Economics, Jurisprudence"
0,Viewpoint Neutrality and Government Speech [article],"Blocher, Joseph (Cited 581 times)","Boston College Law Review, Vol. 52, Issue 3 (May 2011), pp. 695-768",57,2,22, First Amendment
0,Firearm Localism [article],"Blocher, Joseph (Cited 581 times)","Yale Law Journal, Vol. 123, Issue 1 (October 2013), pp. 82-147",49,4,55," Jurisdiction, Second Amendment, Technology, First Amendment"
0,Reverse Incorporation of State Constitutional Law [article],"Blocher, Joseph (Cited 581 times)","Southern California Law Review, Vol. 84, Issue 2 (January 2011), pp. 323-386",36,1,30," Constitutional Law, Incorporation, State and Local Government Law, Constitutional Rights"
0,The Right Not to Keep or Bear Arms [article],"Blocher, Joseph (Cited 581 times)","Stanford Law Review, Vol. 64, Issue 1 (January 2012), pp. 1-54",33,2,43," Second Amendment, Judges"
0,School Naming Rights and the First Amendment's Perfect Storm [article],"Blocher, Joseph (Cited 581 times)","Georgetown Law Journal, Vol. 96, Issue 1 (November 2007), pp. 1-58",29,na,26," Education, First Amendment, Contracts, Law and Society, Taxation-Federal Income"
0,Rights to and Not To [article],"Blocher, Joseph (Cited 581 times)","California Law Review, Vol. 100, Issue 4 (August 2012), pp. 761-816",26,na,30," Constitutional Law, Jurisprudence, First Amendment, Military Law"
0,Combatant Status Review Tribunals: Flawed Answers to the Wrong Question [comments],"Blocher, Joseph (Cited 581 times)","Yale Law Journal, Vol. 116, Issue 3 (December 2006), pp. 667-675",24,na,10," States, Due Process, National Security"
0,Popular Constitutionalism and the State Attorneys General [comments],"Blocher, Joseph (Cited 581 times)","Harvard Law Review Forum, Vol. 122, pp. 108-115",17,na,6," Attorneys, Attorneys General, General, Evidence, Health, Health Law, Legal Profession, Public Health, Tobacco"
0,Nonsense and the Freedom of Speech: What Meaning Means for the First Amendment [article],"Blocher, Joseph (Cited 581 times)","Duke Law Journal, Vol. 63, Issue 7 (April 2014), pp. 1423-1482",15,na,7," First Amendment, Freedom of Speech, Commercial Speech, History, Constitutional Law"
0,Amending the Exceptions Clause [article],"Blocher, Joseph (Cited 581 times)","Minnesota Law Review, Vol. 92, Issue 4 (April 2008), pp. 971-1030",13,na,1," Constitutional Law, Jurisdiction, Legal Profession, Courts, President/Executive Department"
0,Gun Rights Talk [article],"Blocher, Joseph (Cited 581 times)","Boston University Law Review, Vol. 94, Issue 3 (May 2014), pp. 813-834",13,na,199, Second Amendment
0,"What Is Gun Control: Direct Burdens, Incidental Burdens, and the Boundaries of the Second Amendment [article]","Blocher, Joseph (Cited 581 times); Miller, Darrell A. H. (Cited 268 times)","University of Chicago Law Review, Vol. 83, Issue 1 (Winter 2016), pp. 295-356",12,na,141," Boundaries, Second Amendment, Judicial Review, Constitutional Law, Jurisprudence"
0,Government Property and Government Speech [article],"Blocher, Joseph (Cited 581 times)","William and Mary Law Review, Vol. 52, Issue 5 (April 2011), pp. 1413-1482",11,na,9," Government, Property"
0,Building on Custom: Land Tenure Policy and Economic Development in Ghana [notes],"Blocher, Joseph (Cited 581 times)","Yale Human Rights & Development Law Journal, Vol. 9, pp. 166-202",8,na,17," Comparative Law, Economic Development, Economics"
