,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Toward a Theory of Effective Supranational Adjudication [article],"Helfer, Laurence R. (Cited 1860 times); Slaughter, Anne-Marie (Cited 2328 times)","Yale Law Journal, Vol. 107, Issue 2 (November 1997), pp. 273-392",501,1,145," Environmental Law, Procedure, International Law, Courts, Criminal Law and Procedure, International Criminal Court"
0,Regime Shifting: The TRIPs Agreement and New Dynamics of International Intellectual Property Lawmaking [article],"Helfer, Laurence R. (Cited 1860 times)","Yale Journal of International Law, Vol. 29, Issue 1 (Winter 2004), pp. 1-84",210,na,405," Intellectual Property, Intellectual Property Law, International Trade, Property, Economic Development, Industrial and Intellectual Property"
0,Overlegalizing Human Rights: International Relations Theory and the Commonwealth Caribbean Backlash against Human Rights Regimes [article],"Helfer, Laurence R. (Cited 1860 times)","Columbia Law Review, Vol. 102, Issue 7 (November 2002), pp. 1832-1911",135,na,27," Human Rights, Human Rights Law, International Relations, Organizations"
0,Why States Create International Tribunals: A Response to Professors Posner and Yoo [article],"Helfer, Laurence R. (Cited 1860 times); Slaughter, Anne-Marie (Cited 2328 times)","California Law Review, Vol. 93, Issue 3 (May 2005), pp. 899-956",125,na,47," Courts, International Law, Judges"
0,Exiting Treaties [article],"Helfer, Laurence R. (Cited 1860 times)","Virginia Law Review, Vol. 91, Issue 7 (November 2005), pp. 1579-1648",120,na,97," International Law, Jurisprudence, Politics"
0,Toward a Human Rights Framework for Intellectual Property [article],"Helfer, Laurence R. (Cited 1860 times)","U.C. Davis Law Review, Vol. 40, Issue 3 (March 2007), pp. 971-1020",78,na,116," Human Rights, Human Rights Law, Intellectual Property, Property, Intellectual Property Law, International Trade, Business Organizations"
0,Adjudicating Copyright Claims under the TRIPs Agreement: The Case for a European Human Rights Analogy [article],"Helfer, Laurence R. (Cited 1860 times)","Harvard International Law Journal, Vol. 39, Issue 2 (Spring 1998), pp. 357-442",73,na,19," Copyright, Human Rights, Treaties, World Trade Organization, Intellectual Property, Property"
0,Designing Non-National Systems: The Case of the Uniform Domain Name Dispute Resolution Policy [article],"Helfer, Laurence R. (Cited 1860 times); Dinwoodie, Graeme B. (Cited 1013 times)","William and Mary Law Review, Vol. 43, Issue 1 (October 2001), pp. 141-274",72,na,45," Dispute Resolution, Intellectual Property Law, Judges, Judicial Review, Politics, Religion"
0,Redesigning the European Court of Human Rights: Embeddedness as a Deep Structural Principle of the European Human Rights Regime [article],"Helfer, Laurence R. (Cited 1860 times)","European Journal of International Law , Vol. 19, Issue 1 (2008), pp. 125-160",70,na,na," Comparative Law, European Court of Human Rights, Human Rights, Advisory Opinions"
0,World Music on a U.S. Stage: A Berne/Trips and Economic Analysis of the Fairness in Music Licensing Act [article],"Helfer, Laurence R. (Cited 1860 times)","Boston University Law Review, Vol. 80, Issue 1 (February 2000), pp. 93-204",56,na,19," Intellectual Property Law, Licensing, Music, Copyright"
