,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Structure of Entitlements [article],"Morris, Madeline (Cited 249 times)","Cornell Law Review, Vol. 78, Issue 5 , pp. 822-898",71,na,5," Economics, Social Welfare Law, Jurisprudence, Liability, Property, Torts"
0,"By Force of Arms: Rape, War, and Military Culture [article]","Morris, Madeline (Cited 249 times)","Duke Law Journal, Vol. 45, Issue 4 (February 1996), pp. 651-782",65,na,110," National Defense, Military, War and Peace, Sexuality and the Law, Criminal Law and Procedure"
0,High Crimes and Misconceptions; The ICC and Non-Party States [article],"Morris, Madeline (Cited 249 times)","Law and Contemporary Problems, Vol. 64, Issue 1 (Winter 2001), pp. 13-66",61,na,40," Crimes, States, International Criminal Court, Jurisdiction"
0,Stereotypic Alchemy: Transformative Stereotypes and Antidiscrimination Law [article],"Morris, Madeline (Cited 249 times)","Yale Law & Policy Review, Vol. 7, Issue 1 (1989), pp. 251-274",14,na,1," Civil Rights, Equal Protection, Jurisprudence"
0,The Democratic Dilemma of the International Criminal Court [article],"Morris, Madeline (Cited 249 times)","Buffalo Criminal Law Review, Vol. 5, Issue 2 (2002), pp. 591-600",14,na,9," Courts, Criminal Law and Procedure, Jurisdiction, International Courts and Tribunals"
0,Foreword [comments],"Morris, Madeline (Cited 249 times)","Law and Contemporary Problems, Vol. 64, Issue 1 (Winter 2001), pp. 1-2",6,na,1," International Law, Military Law, Constitutional Law, Treaties, Courts, Criminal Law and Procedure"
0,Genocide Politics and Policy: Conference Remarks [article],"Morris, Madeline (Cited 249 times)","Case Western Reserve Journal of International Law, Vol. 35, Issue 2 (Spring 2003), pp. 205-212",4,na,7," Crimes Against Humanity, Genocide, International Law, Crime Prevention, International Criminal Law"
0,The Grammar of Advice and Consent: Senate Confirmation of Supreme Court Nominees [article],"Morris, Madeline (Cited 249 times)","Drake Law Review, Vol. 38, Issue 4 (1988-1989), pp. 863-888",4,na,4," Consent, Judges, Politics, States, Nominations"
0,Few Reservations about Reservations [article],"Morris, Madeline (Cited 249 times)","Chicago Journal of International Law, Vol. 1, Issue 2 , pp. 341-346",3,na,25," Human Rights Law, Human Rights, Treaties, International Law"
0,"Disturbing Democratic Defect of the International Criminal Court, The [article]","Morris, Madeline (Cited 249 times)","Finnish Yearbook of International Law, Vol. 12, pp. 109-118",3,na,na,na
0,Terrorism and Unilateralism: Criminal Jurisdiction and International Relations [article],"Morris, Madeline (Cited 249 times)","Cornell International Law Journal, Vol. 36, Issue 3 (2004), pp. 473-490",2,na,34," International Relations, Jurisdiction, Terrorism, Politics, Courts, International Court of Justice, Organizations"
0,The Jurisdiction of the International Criminal Court over Nationals of Non-Party State (Conference Remarks) [comments],"Morris, Madeline (Cited 249 times)","ILSA Journal of International & Comparative Law, Vol. 6, Issue 2 (Spring 2000), pp. 363-370",2,na,15," International Criminal Court, Jurisdiction, Crimes, States"
0,Facilitating Accountability: The Potential Value of International Guidelines against Impunity [article],"Morris, Madeline (Cited 249 times)","ILSA Journal of International & Comparative Law, Vol. 4, Issue 2 (Spring 1998), pp. 401-406",1,na,2," Humanitarian Law, Human Rights, Age"
0,Preferring Defects: The Jurisdiction of Military Commissions [article],"Morris, Madeline (Cited 249 times); Hester-Haddad, Allison (Cited 1 times)","Wayne Law Review, Vol. 54, Issue 2 (Summer 2008), pp. 537-568",1,na,1," Jurisdiction, Legal History"
0,The Boarder Baby and Foster Care Crises in New York City: Problems of Policy and Poverty [article],"Bowen, James S. (Cited 53 times); Morris, Madeline (Cited 249 times); Rivera, Jose M. (Cited 1 times)","Journal of Law and Health, Vol. 5, Issue 2 (1990-1991), pp. 143-178",1,na,4," Foster Care, Infants, Social Welfare Law, Children, Clinical Trials, Health Law, Trials"
