,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,State Enforcement of Federal Law [article],"Lemos, Margaret H. (Cited 538 times)","New York University Law Review, Vol. 86, Issue 3 (June 2011), pp. 698-765",100,na,48," Jurisdiction, Attorneys, Attorneys General, Consumer Protection, Consumer Protection Law, General, Arrest, Immigration Law, Law Enforcement"
0,The Other Delegate: Judicially Administered Statutes and the Nondelegation Doctrine [article],"Lemos, Margaret H. (Cited 538 times)","Southern California Law Review, Vol. 81, Issue 3 (March 2008), pp. 405-476",83,1,23," Administration Law, Judges, Statutes, State, The, Administrative Law, Constitutional Law"
0,Aggregate Litigation Goes Public: Representative Suits by State Attorneys General [article],"Lemos, Margaret H. (Cited 538 times)","Harvard Law Review, Vol. 126, Issue 2 (December 2012), pp. 486-549",76,na,40," Attorneys, Attorneys General, General, Class Actions, Dispute Resolution, Legal Profession, Practice and Procedure"
0,For-Profit Public Enforcement [article],"Lemos, Margaret H. (Cited 538 times); Minzner, Max (Cited 230 times)","Harvard Law Review, Vol. 127, Issue 3 (January 2014), pp. 853-913",56,na,48," Practice and Procedure, Remedies, Restitution, Statutes, Unfair Trade Practices, Forfeiture"
0,Special Incentives to Sue [article],"Lemos, Margaret H. (Cited 538 times)","Minnesota Law Review, Vol. 95, Issue 3 (2011), pp. 782-845",53,na,13," Jurisprudence, Practice and Procedure, Attorneys, Employment Practice, Wages, Civil Rights, Evidence, Legislation"
0,"The Section 5 Mystique, Morrison, and the Future of Federal Antidiscrimination Law [article]","Estreicher, Samuel (Cited 1797 times); Lemos, Margaret H. (Cited 538 times)","Supreme Court Review, Vol. 2000, pp. 109-174",40,na,2," Legislation, Remedies, Equal Protection, Jurisdiction"
0,Civil Challenges to the Use of Low-Bid Contracts for Indigent Defense [notes],"Lemos, Margaret H. (Cited 538 times)","New York University Law Review, Vol. 75, Issue 6 (December 2000), pp. 1808-1842",31,1,10," Criminal Law and Procedure, Social Welfare Law, Professional Ethics, Law and Society"
0,The Commerce Power and Criminal Punishment: Presumption of Constitutionality or Presumption of Innocence [article],"Lemos, Margaret H. (Cited 538 times)","Texas Law Review, Vol. 84, Issue 5 (April 2006), pp. 1203-1264",22,1,11," Jurisdiction, Criminal Law and Procedure, Judges, Legal Analysis and Writing"
0,Strategic Enforcement [article],"Lemos, Margaret H. (Cited 538 times); Stein, Alex (Cited 699 times)","Minnesota Law Review, Vol. 95, Issue 1 (November 2010), pp. 9-58",17,na,15," Law Enforcement and Corrections, Criminal Law and Procedure"
0,The Solicitor General as Mediator between Court and Agency [article],"Lemos, Margaret H. (Cited 538 times)","Michigan State Law Review, Vol. 2009, Issue 1 (Spring 2009), pp. 185-224",14,na,11," Agency, General, Government, Intellectual Property Law, Judges, Practice and Procedure, President/Executive Department"
0,Privatizing Public Litigation [article],"Lemos, Margaret H. (Cited 538 times)","Georgetown Law Journal, Vol. 104, Issue 3 (March 2016), pp. 515-582",12,na,32," Law and Society, Remedies, Administrative Law, Obligations, Contracts, Government Contracts, Housing, Housing Law, Privatization, Social Welfare"
0,The Politics of Statutory Interpretation [reviews],"Lemos, Margaret H. (Cited 538 times)","Notre Dame Law Review, Vol. 89, Issue 2 (December 2013), pp. 849-908",10,na,26," Politics, Statutory Interpretation, Constitutional Law, Jurisprudence, Legal Analysis and Writing, Supreme Court of the United States, Labor Law, Legislation"
0,Litigating State Interests: Attorneys General as Amici [article],"Lemos, Margaret H. (Cited 538 times); Quinn, Kevin M. (Cited 463 times)","New York University Law Review, Vol. 90, Issue 4 (October 2015), pp. 1229-1268",10,na,27," Attorneys, Attorneys General, General, Federalism, Practice and Procedure, Politics"
0,Democratic Enforcement: Accountability and Independence for the Litigation State [article],"Lemos, Margaret H. (Cited 538 times)","Cornell Law Review, Vol. 102, Issue 4 (May 2017), pp. 929-1002",8,na,41," Administration Law, Law and Society, Politics, United Nations, Regulation"
0,The Consequences of Congress's Choice of Delegate: Judicial and Agency Interpretations of Title VII [article],"Lemos, Margaret H. (Cited 538 times)","Vanderbilt Law Review, Vol. 63, Issue 2 (March 2010), pp. 361-436",3,na,18," Agency, Congress, Administration Law, Administrative Law, Intellectual Property Law, Constitutional Law, Death, Jurisprudence"
0,Three Models of Adjudicative Representation [article],"Lemos, Margaret H. (Cited 538 times)","University of Pennsylvania Law Review, Vol. 165, Issue 7 (June 2017), pp. 1743-1764",1,na,19," Legal Profession, Democracy, Minorities, Representative Government, European Union"
0,Roundtable: The State of the Judiciary [article],"Levi, David F. (Cited 161 times); Kuhl, Carolyn B. (Cited 12 times); Lemos, Margaret H. (Cited 538 times); Powell, H. Jefferson (Cited 2025 times); Willett, Don R. (Cited 9 times); Young, Ernest A. (Cited 2800 times)","Judicature, Vol. 101, Issue 3 (Autumn 2017), pp. 52-64",1,na,na," Judiciary, History, Judges, Jurisdiction, Legislation, Discipline"
0,State Public-Law Litigation in an Age of Polarization [article],"Lemos, Margaret H. (Cited 538 times); Young, Ernest A. (Cited 2800 times)","Texas Law Review, Vol. 97, Issue 1 (November 2018), pp. 43-124",na,na,na," Constitutional Law, State and Local Government Law, Legislation"
0,"Public Programs, Private Financing [article]","Lemos, Margaret H. (Cited 538 times); Charles, Guy-Uriel (Cited 49 times)","Law and Contemporary Problems, Vol. 81, Issue 3 (2018), pp. 137-160",na,na,18," Banking and Finance, Criminal Law and Procedure, Government Contracts, Torts"
0,"Comment on Laurence Claus, The Divided Executive [comments]","Lemos, Margaret H. (Cited 538 times)","Duke Journal of Constitutional Law & Public Policy, Vol. 13, Issue 2 (Spring 2018), pp. 51-56",na,na,3," Trials, Constitutions, General, Separation, Separation of Powers, Attorneys, Attorneys General, Governors, Presidency"
0,Practice and Precedent in Historical Gloss Games [article],"Blocher, Joseph (Cited 581 times); Lemos, Margaret H. (Cited 538 times)","Georgetown Law Journal Online, Vol. 105, pp. 1-15",na,na,20," Constitutional Conventions, Judges, Jurisdiction, Separation, Separation of Powers, Legal History, Politics"
0,Patriotic Philanthropy: Financing the State with Gifts to Government [article],"Lemos, Margaret H. (Cited 538 times); Charles, Guy-Uriel (Cited 49 times)","California Law Review, Vol. 106, Issue 4 (August 2018), pp. 1129-1194",na,na,53," Gifts, Government, Philanthropy, Politics, Banking and Finance, Police, Race"
