,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Administrative Procedures as Instruments of Political Control [article],"McCubbins, Mathew D. (Cited 590 times); Noll, Roger G. (Cited 1174 times); Weingast, Barry R. (Cited 1516 times)","Journal of Law, Economics & Organization, Vol. 3, Issue 2 (Fall 1987), pp. 243-278",378,na,111," Administrative Law, Politics, Administrative Agencies"
0,"Social Choice, Crypto-Initiatives, and Policymaking by Direct Democracy [article]","Kousser, Thad (Cited 72 times); McCubbins, Mathew D. (Cited 590 times)","Southern California Law Review, Vol. 78, Issue 4 (May 2005), pp. 949-984",42,na,19," Democracy, Law and Society, Politics"
0,Learning from Oversight: Fire Alarms and Police Patrols Reconstructed [article],"Lupia, Arthur (Cited 99 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Law, Economics, and Organization, Vol. 10, Issue 1 (April 1994), pp. 96-125",27,na,30," Administration Law, Police, Politics, Congress, Legislation"
0,What Statutes Mean: Interpretive Lessons from Positive Theories of Communication and Legislation [article],"Boudreau, Cheryl (Cited 45 times); Lupia, Arthur (Cited 99 times); McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","San Diego Law Review, Vol. 44, Issue 4 (November/December 2007), pp. 957-992",25,na,13," Legislation, Statutes, Sexuality and the Law, Statutory Interpretation, Judges, Judicial Discretion"
0,Designing Bureaucratic Accountability [article],"Lupia, Arthur (Cited 99 times); McCubbins, Mathew D. (Cited 590 times)","Law and Contemproary Problems, Vol. 57, Issue 1 (Winter & Spring 1994), pp. 91-126",24,na,7," Administration Law, Police, Politics, Agency"
0,When Does Deliberating Improve Decisionmaking [article],"McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","Journal of Contemporary Legal Issues, Vol. 15, pp. 9-50",21,na,12," Democracy, Politics, Voting, Race"
0,Canonical Construction and Statutory Revisionism: The Strange Case of the Appropriations Canon [article],"McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","Journal of Contemporary Legal Issues, Vol. 14, Issue 2 (2005), pp. 669-716",14,na,2," Appropriations, Common Law, Judges, Jurisprudence, Legislation, Legislative History, Separation of Powers, Sovereign Immunity, Statutory Interpretation, Commercial Speech"
0,Statutory Interpretation and the Intentional(ist) Stance [article],"Boudreau, Cheryl (Cited 45 times); McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","Loyola of Los Angeles Law Review, Vol. 38, Issue 5 (December 2005), pp. 2131-2146",11,na,5," Statutory Interpretation, Legislation, Politics, Statutory Construction"
0,The Dual Path Initiative Framework [article],"Garrett, Elizabeth (Cited 1044 times); McCubbins, Mathew D. (Cited 590 times)","Southern California Law Review, Vol. 80, Issue 2 (January 2007), pp. 299-346",11,na,1," Politics, Democracy, Law and Society"
0,Lost in Translation: Social Choice Theory Is Misapplied against Legislative Intent [article],"Lupia, Arthur (Cited 99 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Contemporary Legal Issues, Vol. 14, Issue 2 (2005), pp. 585-618",10,na,2," Politics, World Politics, Economics, Jurisprudence"
0,"Abdication or Delegation - Congress, the Bureaucracy, and the Delegation Dilemma [notes]","McCubbins, Mathew D. (Cited 590 times)","Regulation, Vol. 22, Issue 2 (1999), pp. 30-37",4,na,46," Congress, Administration Law, State, The, Agency"
0,Statutory Meanings: Deriving Interpretative Principles from a Theory of Communication and Lawmaking [article],"McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","Brooklyn Law Review, Vol. 76, Issue 3 (Spring 2011), pp. 979-996",3,na,3," Defamation, Electronic Commerce, Liability, Statutory Interpretation, Legislation, Statutes"
0,Competition in the Courtroom: When Does Export Testimony Impro9ve Jurors' Decisions [article],"Boudreau, Cheryl (Cited 45 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Empirical Legal Studies, Vol. 6, Issue 4 (2009), pp. 793-817",3,na,4," Evidence, Practice and Procedure, Testimony, Judges"
0,Making Talk Cheap (and Problems Easy): How Legal and Political Institutions Can Facilitate Consensus [article],"Boudreau, Cheryl (Cited 45 times); McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times); Weller, Nicholas (Cited 3 times)","Journal of Empirical Legal Studies, Vol. 7, Issue 4 (2010), pp. 868-885",3,na,1," Economics, Law and Society, Administration Law, Democracy, International Law, Minorities"
0,What Is New in the New Statutory Interpretation - Introduction to the Journal of Contemporary Legal Issues Symposium [article],"McCubbins, Mathew D. (Cited 590 times); Rodriguez, Daniel B. (Cited 723 times)","Journal of Contemporary Legal Issues, Vol. 14, Issue 2 (2005), pp. 535-548",3,na,8," Jurisprudence, Legislation, Statutory Interpretation, Statutory Construction"
0,"Courts Congress, and Public Policy, Part I: The FDA, the Courts, and the Regulation of Tobacco [article]","Lax, Jeffrey R. (Cited 57 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Contemporary Legal Issues, Vol. 15, pp. 163-198",3,na,7," Congress, Courts, Food and Drug Law, Public Policy, Regulation, Tobacco, Legislation, Reapportionment, Revolution, State Legislatures"
0,"Marriage on the Ballot: An Analysis of Same-Sex Marriage Referendums in North Carolina, Minnesota, and Washington during the 2012 Elections [article]","Burnett, Craig M. (Cited 6 times); McCubbins, Mathew D. (Cited 590 times)","Chapman Law Review, Vol. 19, Issue 1 (Winter 2016), pp. 1-34",2,na,9," Elections, Marriage, Same-Sex Marriage, Sex, Politics, Citizenship, Constitutional Amendment"
0,Note: Budget Policy-making and the Appearance of Power [notes],"McCubbins, Mathew D. (Cited 590 times)","Journal of Law, Economics, and Organization, Vol. 6, Special Issue (1990), pp. 133-154",2,na,2," Congress, Agency"
0,"Courts, Congress, and Public Policy, Part II: The Impact of the Reapportionment Revolution on Congress and State Legislatures [article]","Lax, Jeffrey R. (Cited 57 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Contemporary Legal Issues, Vol. 15, pp. 199-218",2,na,7," Congress, Courts, Legislation, Public Policy, Reapportionment, Revolution, State Legislatures"
0,"Agenda Power in Brazil's Camara Dos Deputados, 1989-98 [article]","Amorim Neto, Octavio (Cited 1 times); Cox, Gary W. (Cited 1 times); McCubbins, Mathew D. (Cited 590 times)","World Politics, Vol. 55, Issue 4 (July 2003), pp. 550-578",1,na,7," Comparative Law, Budgets, Financial Law, Securities, Politics"
0,"Nothing But the Truth - Experiments on Adversarial Competition, Expert Testimony, and Decision Making [article]","Boudreau, Cheryl (Cited 45 times); McCubbins, Mathew D. (Cited 590 times)","Journal of Empirical Legal Studies, Vol. 5, Issue 4 (2008), pp. 751-790",1,na,3," Evidence, Testimony, Practice and Procedure, Judges"
0,"Cheap, Easy, or Connected: The Conditions for Creating Group Coordination [article]","McCubbins, Mathew D. (Cited 590 times); Rodriquez, Daniel; Weller, Nicholas (Cited 3 times)","Southern California Law Review, Vol. 86, Issue 3 (March 2013), pp. 495-516",na,na,2," Administration Law, Judicial Review, Dispute Resolution, Environment, Wetlands, Regulation"
0,Concepts Law [article],"McCubbins, Mathew D. (Cited 590 times); Turner, Mark (Cited 3 times)","Southern California Law Review, Vol. 86, Issue 3 (March 2013), pp. 517-570",na,na,2," Death, Suicide, Wrongful Death, Causation, Philosophy, Jurisprudence"
