,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Expressive Theories of Law: A Skeptical Overview [article],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 148, Issue 5 (May 2000), pp. 1363-1502",214,na,51," Jurisprudence, Jurisdiction, Criminal Law and Procedure"
0,Rethinking Cost-Benefit Analysis [article],"Adler, Matthew D. (Cited 1349 times); Posner, Eric A. (Cited 6011 times)","Yale Law Journal, Vol. 109, Issue 2 (1999), pp. 165-248",209,na,103," Economics, Administration Law, Prices, Discipline"
0,Rights against Rules: The Moral Structure of American Constitutional Law [article],"Adler, Matthew D. (Cited 1349 times)","Michigan Law Review, Vol. 97, Issue 1 (October 1998), pp. 1-173",124,1,17," Constitutional Law, Crimes, Judges"
0,"The New Etiquette of Federalism: New York, Printz, and Yeskey [article]","Adler, Matthew D. (Cited 1349 times); Kreimer, Seth F. (Cited 1535 times)","Supreme Court Review, Vol. 1998, pp. 71-144",100,1,10," Jurisdiction, Constitutional Law, International Law, Breach of Contract, Cause of Action, Sovereign Immunity"
0,Judicial Restraint in the Administrative State: Beyond the Countermajoritarian Difficulty [article],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 145, Issue 4 (April 1997), pp. 759-892",90,na,9," Jurisprudence, Constitutional Law, Politics, Administration Law, Agency, President/Executive Department"
0,Constiutional Existence Conditions and Judicial Review [article],"Adler, Matthew D. (Cited 1349 times); Dorf, Michael C. (Cited 3356 times)","Virginia Law Review, Vol. 89, Issue 6 (October 2003), pp. 1105-1202",66,na,10," Constitutional Law, Judicial Review, Jurisprudence, Legislation"
0,Implementing Cost-Benefit Analysis When Preferences Are Distorted [comments],"Adler, Matthew D. (Cited 1349 times); Posner, Eric A. (Cited 6011 times)","Journal of Legal Studies, Vol. 29, Issue 2 - Part 2 (June 2000), pp. 1105-1148",66,na,16," Environmental Law, Contracts, Economics, Legislation"
0,"Risk, Death and Harm: The Normative Foundations of Risk Regulation [article]","Adler, Matthew D. (Cited 1349 times)","Minnesota Law Review, Vol. 87, Issue 5 (May 2003), pp. 1293-1446",58,na,23," Administration Law, Death, Jurisprudence, Regulation"
0,Popular Constitutionalism and the Rule of Recognition: Whose Practices Ground U.S. Law [article],"Adler, Matthew D. (Cited 1349 times)","Northwestern University Law Review, Vol. 100, Issue 2 (Winter 2006), pp. 719-806",52,na,27," Constitutional Law, President/Executive Department"
0,Against Individual Risk: A Sympathetic Critique of Risk Assessment [article],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 153, Issue 4 (March 2005), pp. 1121-1250",39,2,22," Environment, Economics, Insurance Law, Law and Economics, Science and Technology, Blood, Health, Health Law, Public Health, Sex"
0,Fear Assessment: Cost-Benefit Analysis and the Pricing of Fear and Anxiety [article],"Adler, Matthew D. (Cited 1349 times)","Chicago-Kent Law Review, Vol. 79, Issue 3 (2004), pp. 977-1054",39,na,20," Administration Law, Age, Economics"
0,"Rights, Rules, and the Structure of Constitutional Adjudication: A Response to Professor Fallon [comments]","Adler, Matthew D. (Cited 1349 times)","Harvard Law Review, Vol. 113, Issue 6 (April 2000), pp. 1371-1420",37,1,7," Criminal Law and Procedure, Constitutional Law, Jurisprudence"
0,Beyond Efficiency and Procedure: A Welfarist Theory of Regulation [article],"Adler, Matthew D. (Cited 1349 times)","Florida State University Law Review, Vol. 28, Issue 1 (Fall 2000), pp. 241-338",34,na,7," Procedure, Regulation, Environmental Law, Mistake"
0,Linguistic Meaning Nonlinguistic Expression and the Multiple Variants of Expressivism: A Reply to Professors Anderson and Pildes [article],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 148, Issue 5 (May 2000), pp. 1577-1594",27,na,3," Jurisprudence, Criminal Law and Procedure, Employment Practice"
0,Inequality and Uncertainty: Theory and Legal Applications [article],"Adler, Matthew D. (Cited 1349 times); Sanchirico, Chris William (Cited 476 times)","University of Pennsylvania Law Review, Vol. 155, Issue 2 (December 2006), pp. 279-378",25,na,27," Economics, Intellectual Property Law, Remedies, Royalties, Equity, Social Welfare Law"
0,Introduction [comments],"Adler, Matthew D. (Cited 1349 times); Posner, Eric A. (Cited 6011 times)","Journal of Legal Studies, Vol. 29, Issue 2 - Part 2 (June 2000), pp. 837-842",25,na,11," Economics, Jurisprudence, Administration Law, Agency, President/Executive Department, Law and Society"
0,Corrective Justice and Liability for Global Warming [comments],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 155, Issue 6 (June 2007), pp. 1859-1868",20,na,6," Liability, Corporations, Environment, Securities, Equity"
0,"Welfare Polls, A Synthesis [article]","Adler, Matthew D. (Cited 1349 times)","New York University Law Review, Vol. 81, Issue 6 (December 2006), pp. 1875-1970",16,na,7," Law and Society, Democracy, Politics, Elections"
0,Happiness Surveys and Public Policy: What's the Use [article],"Adler, Matthew D. (Cited 1349 times)","Duke Law Journal, Vol. 62, Issue 8 (May 2013), pp. 1509-1602",14,na,25," Public Policy, Settlements, Crime Prevention, Criminology"
0,QALY's and Policy Evaluation: A New Perspective [article],"Adler, Matthew D. (Cited 1349 times)","Yale Journal of Health Policy, Law, and Ethics, Vol. 6, Issue 1 (2006), pp. 1-92",13,na,8," Economics, Age, Health, Intellectual Property, Property"
0,Risk Equity: A New Proposal [article],"Adler, Matthew D. (Cited 1349 times)","Harvard Environmental Law Review, Vol. 32, Issue 1 (2008), pp. 1-48",10,na,9," Equity, Social Welfare Law, Civil Rights, Administration Law, Environmental Justice, Judicial Review"
0,The Puzzled of Ex Ante Efficiency: Does Rational Approvability Have Moral Weight [article],"Adler, Matthew D. (Cited 1349 times)","University of Pennsylvania Law Review, Vol. 151, Issue 3 (January 2003), pp. 1255-1290",9,na,7," Bankruptcy, Debtors and Creditors, Jurisprudence, Contracts, Economics"
