Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Oil and Water: Mixing Individual Mandates, Fragmented Markets, and Health Reform [article]","Hoffman, Allison K. (Cited 81 times)",8164,"American Journal of Law & Medicine, Vol. 36, Issue 1 (2010), pp. 7-77",36 Am. J.L. & Med. 7 (2010),37,na,6,na
Three Models of Health Insurance: The Conceptual Pluralism of the Patient Protection and Affordable Care Act [article],"Hoffman, Allison K. (Cited 81 times)",8164,"University of Pennsylvania Law Review, Vol. 159, Issue 6 (June 2011), pp. 1873-1954",na,28,na,22,na
Retiree out-of-Pocket Healthcare Spending: A Study of Consumer Expectations and Policy Implications [article],"Hoffman, Allison K. (Cited 81 times); Jackson, Howell E. (Cited 476 times)",8164,"American Journal of Law & Medicine, Vol. 39, Issue 1 (2013), pp. 62-133",39 Am. J.L. & Med. 62 (2013),6,na,6,na
An Optimist's Take on the Decline of Small-Employer Health Insurance [comments],"Hoffman, Allison K. (Cited 81 times)",8164,"Iowa Law Review Bulletin, Vol. 98, pp. 113-130",na,3,na,5,na
Health Care Spending and Financial Security after the Affordable Care Act [article],"Hoffman, Allison K. (Cited 81 times)",8164,"North Carolina Law Review, Vol. 92, Issue 5 (June 2014), pp. 1481-1538",na,3,na,10,na
From the Technical to the Personal: Teaching and Learning Health Insurance Regulation and Reform [article],"Hoffman, Allison K. (Cited 81 times); Brown, Whitney A.; Cutler, Lindsay (Cited 5 times)",8164,"Saint Louis University Law Journal, Vol. 61, Issue 3 (Spring 2017), pp. 411-436",na,na,na,15,na
Discrimination Risks of Alzheimer's as Support for Social Insurance for Long-Term Care [comments],"Hoffman, Allison K. (Cited 81 times)",8164,"Journal of Law, Medicine and Ethics, Vol. 46, Issue 2 (Summer 2018), pp. 499-500",na,na,na,na,na
"Cost-Sharing Reductions, Technocrat Tinkering, and Market-Based Health Policy [article]","Hoffman, Allison K. (Cited 81 times)",8164,"Journal of Law, Medicine and Ethics, Vol. 46, Issue 4 (Winter 2018), pp. 873-876",na,na,na,na,na
The Reverberating Risk of Long-Term Care [article],"Hoffman, Allison K. (Cited 81 times)",8164,"Yale Journal of Health Policy, Law and Ethics, Vol. 15, Issue 1 (Winter 2015), pp. 57-66",15 Yale J. Health Pol'y L. & Ethics 57 (2015),na,na,9,na
Reimagining the Risk of Long-Term Care [article],"Hoffman, Allison K. (Cited 81 times)",8164,"Yale Journal of Health Policy, Law and Ethics, Vol. 16, Issue 2 (Summer 2016), pp. 147-232",16 Yale J. Health Pol'y L. & Ethics 147 (2016),na,na,21,na
