Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Legal Conventionalism [article],"Marmor, Andrei (Cited 96 times)",1947,"Legal Theory, Vol. 4, Issue 4 (December 1998), pp. 509-532",na,20,na,28,na
The Pragmatics of Legal Language [article] *new*,"Marmor, Andrei (Cited 96 times)",1947,"Ratio Juris, Vol. 21, Issue 4 (December 2008), pp. 423-452",21 Ratio Juris 423 (2008),15,na,na,na
The Immorality of Textualism [article],"Marmor, Andrei (Cited 96 times)",1947,"Loyola of Los Angeles Law Review, Vol. 38, Issue 5 (December 2005), pp. 2063-2080",na,13,na,13,na
Meaning and Belief in Constitutional Interpretation [article],"Marmor, Andrei (Cited 96 times)",1947,"Fordham Law Review, Vol. 82, Issue 2 (November 2013), pp. 577-596",na,10,na,68,na
Should like cases be treated alike [article],"Marmor, Andrei (Cited 96 times)",1947,"Legal Theory, Vol. 11, Issue 1 (March 2005), pp. 27-38",11 LEG 27 (2005),8,na,21,na
Legal Positivism: Still Descriptive and Morally Neutral [article],"Marmor, Andrei (Cited 96 times)",1947,"Oxford Journal of Legal Studies, Vol. 26, Issue 4 (Winter 2006), pp. 683-704",na,7,na,na,na
The Dilemma of Authority [article],"Marmor, Andrei (Cited 96 times)",1947,"Jurisprudence, Vol. 2, Issue 1 (June 2011), pp. 121-142",na,5,na,10,na
Are Constitutions Legitimate [article],"Marmor, Andrei (Cited 96 times)",1947,"Canadian Journal of Law and Jurisprudence , Vol. 20, Issue 1 (January 2007), pp. 69-94",20 Can. J. L. & Jurisprudence 69 (2007),4,na,21,na
Authorities and Persons [article],"Marmor, Andrei (Cited 96 times)",1947,"Legal Theory, Vol. 1, Issue 3 (September 1995), pp. 337-360",1 LEG 337 (1995),4,na,3,na
The Separation Thesis and the Limits of Interpretation [article],"Marmor, Andrei (Cited 96 times)",1947,"Canadian Journal of Law and Jurisprudence, Vol. 12, Issue 1 (January 1999), pp. 135-150",12 Can. J. L. & Jurisprudence 135 (1999),3,na,39,na
How law is like chess [article],"Marmor, Andrei (Cited 96 times)",1947,"Legal Theory, Vol. 12, Issue 4 (December 2006), pp. 347-371",12 LEG 347 (2006),3,na,12,na
"Authority, Equality and Democracy [article] *new*","Marmor, Andrei (Cited 96 times)",1947,"Ratio Juris, Vol. 18, Issue 3 (September 2005), pp. 315-345",18 Ratio Juris 315 (2005),2,na,na,na
No Easy Cases [article],"Marmor, Andrei (Cited 96 times)",1947,"Canadian Journal of Law and Jurisprudence, Vol. 3, Issue 2 (July 1990), pp. 61-80",3 Can. J. L. & Jurisprudence 61 (1990),1,na,21,na
Do We Have a Right to Common Goods [article],"Marmor, Andrei (Cited 96 times)",1947,"Canadian Journal of Law and Jurisprudence, Vol. 14, Issue 2 (July 2001), pp. 213-226",14 Can. J. L. & Jurisprudence 213 (2001),1,na,4,na
Conventions Revisited: A Reply to Critics [reviews],"Marmor, Andrei (Cited 96 times)",1947,"Jurisprudence, Vol. 2, Issue 2 (December 2011), pp. 493-506",na,1,na,15,na
On the Right to Private Property and Entitlement to One's Income [article],"Marmor, Andrei (Cited 96 times)",1947,"Canadian Journal of Law and Jurisprudence, Vol. 18, Issue 1 (January 2005), pp. 69-74",18 Can. J. L. & Jurisprudence 69 (2005),na,na,37,na
Three Concepts of Objectivity [article],"Marmor, Andrei (Cited 96 times)",1947,"Tel Aviv University Law Review, Vol. 19, Issue 1 (September 1994), pp. 161-184",19 Tel Aviv U. L. Rev. 161 (1994-1995),na,na,3,na
The Frozen Embryos of the Nachmani Couple - A Reply to Chaim Gans [comments],"Marmor, Andrei (Cited 96 times)",1947,"Tel Aviv University Law Review, Vol. 19, Issue 2 (January 1995), pp. 433-452",na,na,na,na,na
On Legislative Authority and Unintentional Legislation: A Reply to Professor Waldron [article],"Marmor, Andrei (Cited 96 times)",1947,"Tel Aviv University Law Review, Vol. 21, Issue 1 (October 1997), pp. 63-80",21 Tel Aviv U. L. Rev. 63 (1997-1998),na,na,2,na
Philosophy of Law: Reply to Critics [article],"Marmor, Andrei (Cited 96 times)",1947,"Jerusalem Review of Legal Studies, Vol. 10, pp. 93-110",na,na,na,14,na
Right-Based Justification of Punishment [article],"Marmor, Andrei (Cited 96 times)",1947,"Israel Law Review, Vol. 22, Issue 1 (Winter-Spring 1987), pp. 97-106",22 Isr. L. Rev. 97 (1987-1988),na,na,5,na
Two Rights of Free Speech [article] *new*,"Marmor, Andrei (Cited 96 times)",1947,"Ratio Juris, Vol. 31, Issue 2 (June 2018), pp. 139-159",na,na,na,na,na
