Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Diminishing Returns of Incentive Pay in Executive Compensation Contracts [article],"Lund, Andrew C. W. (Cited 75 times); Polsky, Gregg D. (Cited 361 times)",909,"Notre Dame Law Review, Vol. 87, Issue 2 (December 2011), pp. 677-736",87 Notre Dame L. Rev. 677 (December 2011),21,na,23,na
Say on Pay's Bundling Problems [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Kentucky Law Journal, Vol. 99, Issue 1 (2010-2011), pp. 119-162",99 Ky. L.J. 119 (2010-2011),19,na,18,na
Opting Out of Good Faith [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Florida State University Law Review , Vol. 37, Issue 2 (Winter 2010), pp. 393-450",37 Fla. St. U. L. Rev. 393 (2009-2010),8,na,5,na
The Road from Nowhere - Punitive Damage Ratios after BMW v. Gore and State Farm Mutual Automobile Insurance Co. v. Campbell [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Touro Law Review, Vol. 20, Issue 4 (2005), pp. 943-990",20 Touro L. Rev. 943 (2004-2005),7,na,1,na
Tax's Trivality as a Pay-Reforming Device [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Villanova Law Review, Vol. 57, Issue 3 (2012), pp. 571-588",na,6,na,5,na
Compensation as Signaling [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Florida Law Review, Vol. 64, Issue 3 (May 2012), pp. 591-638",64 Fla. L. Rev. 591 (May 2012),4,na,6,na
What Was the Question - The NYSE and Nasdaq's Curious Listing Standards Requiring Shareholder Approval of Equity-Compensation Plans [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Connecticut Law Review, Vol. 39, Issue 1 (November 2006), pp. 119-158",39 Conn. L. Rev. 119 (2006-2007),4,2,7,na
Do outside Directors Face Labor Market Consequences - a Natural Experiment from the Financial Crisis [article],"Davidoff, Steven M. (Cited 412 times); Lund, Andrew C. W. (Cited 75 times); Schonlau, Robert (Cited 4 times)",909,"Harvard Business Law Review, Vol. 4, Issue 1 (Spring 2014), pp. 53-84",4 Harv. Bus. L. Rev. 53 (2014),3,na,27,na
The Importance of Lawyers in Judge Barksdale's Writings [comments],"Lund, Andrew C. W. (Cited 75 times)",909,"Mississippi Law Journal, Vol. 79, Issue 2 (Winter 2009), pp. 301-316",na,2,na,1,na
"Golden Parachutes, Severance, and Firm Value [article]","Lund, Andrew C. W. (Cited 75 times); Schonlau, Robert (Cited 4 times)",909,"Florida Law Review, Vol. 68, Issue 3 (May 2016), pp. 875-906",na,na,na,28,na
Pay as Risk Regulation [article],"Lund, Andrew C. W. (Cited 75 times)",909,"Florida State University Law Review, Vol. 41, Issue 3 (Spring 2014), pp. 609-644",41 Fla. St. U. L. Rev. 609 (2013-2014),na,na,8,na
