Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Institution of the Private Attorney General: Perspectives from an Empirical Study of Class Action Litigation [article],"Garth, Bryant (Cited 424 times); Nagel, Ilene H. (Cited 937 times); Plager, S. Jay (Cited 341 times)",5857,"Southern California Law Review, Vol. 61, Issue 2 (January 1988), pp. 353-398",61 S. Cal. L. Rev. 353 (1987-1988),92,2,25,na
Is It Time for a New Legal Realism [comments],"Erlanger, Howard (Cited 88 times); Garth, Bryant (Cited 424 times); Larson, Jane (Cited 88 times); Mertz, Elizabeth (Cited 394 times)",5857,"Wisconsin Law Review, Vol. 2005, Issue 2 (2005), pp. 335-364",na,87,na,41,na
From Civil Litigation to Private Justice: Legal Practice at War with the Profession and Its Value [article],"Garth, Bryant (Cited 424 times)",5857,"Brooklyn Law Review, Vol. 59, Issue 3 (1993), pp. 931-960",na,65,2,17,na
Access to Justice: The Newest Wave in the Worldwide Movement to Make Rights Effective [article],"Cappelletti, Mauro (Cited 456 times); Garth, Bryant (Cited 424 times)",5857,"Buffalo Law Review, Vol. 27, Issue 2 (Spring 1978), pp. 181-292",27 Buff. L. Rev. 181 (Spring 1978),52,na,120,na
How to Improve Civil Justice Policy [comments],"Galanter, Marc (Cited 5787 times); Garth, Bryant (Cited 424 times); Hensler, Deborah (Cited 1659 times); Zemans, Frances Kahn (Cited 277 times)",5857,"Judicature, Vol. 77, Issue 4 (January-February 1994), pp. 185-186",na,23,2,4,na
Merchants of Law as Moral Entrepreneurs: Constructing International Justice from the Competition for Transnational Business Disputes [article],"Dezalay, Yves (Cited 174 times); Garth, Bryant (Cited 424 times)",5857,"Law & Society Review, Vol. 29, Issue 1 (1995), pp. 27-64",29 Law & Soc'y Rev. 27 (1995),20,na,41,na
From Legal Realism to Law and Society: Reshaping Law for the Last Stages of the Social Activist State [article],"Garth, Bryant (Cited 424 times); Sterling, Joyce (Cited 61 times)",5857,"Law & Society Review, Vol. 32, Issue 2 (1998), pp. 409-472",na,20,na,12,na
Philip Corboy and the Construction of the Plaintiffs' Personal Injury Bar [article],"Pariky, Sara (Cited 14 times); Garth, Bryant (Cited 424 times)",5857,"Law and Social Inquiry , Vol. 30, Issue 2 (Spring 2005), pp. 269-304",30 Law & Soc. Inquiry 269 (2005),14,na,2,na
"Law, Lawyers and Social Capital: Rule of Law Versus Relational Capitalism [article]","Dezalay, Yves (Cited 174 times); Garth, Bryant (Cited 424 times)",5857,"Social & Legal Studies, Vol. 6, Issue 1 (1997), pp. 109-142",6 Soc. & Legal Stud. 109 (1997),14,na,17,na
The Changing Social Role of Urban Law Schools [article],"Sterling, Joyce (Cited 61 times); Dinovitzer, Ronit (Cited 144 times); Garth, Bryant (Cited 424 times)",5857,"Southwestern University Law Review, Vol. 36, Issue 3 (2007), pp. 389-432",36 Sw. U. L. Rev. 389 (2007-2008),11,na,11,na
Fussing about the Forum: Categories and Definitions as Stakes in a Professional Comptetition [article],"Dezalay, Yves (Cited 174 times); Garth, Bryant (Cited 424 times)",5857,"Law and Social Inquiry, Vol. 21, Issue 2 (Spring 1996), pp. 285-312",21 Law & Soc. Inquiry 285 (Spring 1996),10,na,17,na
Rebuilding International Law after the September 11th Attack: Contrasting Agendas of High Priests and Legal Realists [comments],"Garth, Bryant (Cited 424 times)",5857,"Loyola University Chicago International Law Review, Vol. 4, Issue 1 (2006), pp. 3-10",na,6,na,2,na
Access to Justice Variations and Continuity of a World-Wide Movement [article],"Cappelletti, Mauro (Cited 456 times); Garth, Bryant (Cited 424 times); Trocker, Nicolo (Cited 6 times)",5857,"Revista Juridica de la Universidad de Puerto Rico, Vol. 54, Issue 2 (1985), pp. 221-264",na,6,na,8,na
Judges Teaching Rule of Law Abroad [comments],"Garth, Bryant (Cited 424 times); Baird, Lourdes (Cited 1 times); Lew, Ronald (Cited 1 times); O'Connell, Beverly Reid (Cited 1 times); Carter, David (Cited 2 times); Rothstein, Barbara (Cited 9 times)",5857,"Southwestern Journal of International Law, Vol. 23, Issue 1 (2017), pp. 73-88",na,1,na,14,na
Bensen Report: A Reactionary View of Community Law Centres [article],"Garth, Bryant (Cited 424 times)",5857,"Legal Service Bulletin, Vol. 5, Issue 4 (August 1980), pp. 147-152",5 Legal Service Bull. 147 (1980),na,na,na,na
"Franz Klein, Mauro Cappalletti, and the Mission of Comparative Procedural Scholars: Opening Lecture for International Association of Procedural Law [article]","Garth, Bryant (Cited 424 times)",5857,"Derecho PUCP, Vol. 52, pp. 555-564",52 Derecho PUCP 555 (1998-1999),na,na,5,na
"Franz Klein, Mauro Cappelletti y la Mision de los Cultores del Derecho Procesal Comparado [article]","Garth, Bryant (Cited 424 times)",5857,"Derecho PUCP, Vol. 52, pp. 565-574",52 Derecho PUCP 565 (1998-1999),na,na,2,na
"World Legal Science, Paradigmatic Competitions, and Empirical Research [comments]","Garth, Bryant (Cited 424 times)",5857,"Law & Society Review, Vol. 29, Issue 4 (1995), pp. 609-614",na,na,na,na,na
How to Improve Civil Justice Policy [comments],"Galanter, Marc (Cited 5787 times); Garth, Bryant (Cited 424 times); Hensler, Deborah (Cited 1659 times); Zemans, Frances Kahn (Cited 277 times)",5857,"Judicature, Vol. 77, Issue 4 (January-February 1994), pp. 229-234",na,na,na,8,na
Access to Justice as a Focus of Research [comments],"Cappelletti, Mauro (Cited 456 times); Garth, Bryant (Cited 424 times)",5857,"Windsor Yearbook of Access to Justice, Vol. 1, pp. ix-2",na,na,na,na,na
New Legal Realism at Ten Years and beyond [comments],"Garth, Bryant (Cited 424 times); Mertz, Elizabeth (Cited 394 times)",5857,"UC Irvine Law Review, Vol. 6, Issue 2 (June 2016), pp. 121-136",na,na,na,na,na
Federal Judges and Rule of Law Initiatives: An Epilogue with Notes for Scholarly Inquiry [article],"Garth, Bryant (Cited 424 times)",5857,"Southwestern Journal of International Law, Vol. 23, Issue 1 (2017), pp. 89-94",na,na,na,2,na
Introduction [comments],"Garth, Bryant (Cited 424 times)",5857,"Southwestern Law Review, Vol. 38, Issue 4 (2009), pp. 537-538",na,na,na,na,na
