Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Cocaine, Race, and Equal Protection [article]","Sklansky, David A. (Cited 1466 times)",4788,"Stanford Law Review, Vol. 47, Issue 7 (July 1995), pp. 1283-1322",na,216,12,32,na
The Private Police [article],"Sklansky, David A. (Cited 1466 times)",4788,"UCLA Law Review, Vol. 46, Issue 4 (April 1999), pp. 1165-1288",46 UCLA L. Rev. 1165 (April 1999),155,7,98,na
The Fourth Amendment and Common Law [article],"Sklansky, David A. (Cited 1466 times)",4788,"Columbia Law Review, Vol. 100, Issue 7 (November 2000), pp. 1739-1814",100 Colum. L. Rev. 1739 (2000),146,2,28,na
"Traffic Stops, Minority Motorists, and the Future of the Fourth Amendment [article]","Sklansky, David A. (Cited 1466 times)",4788,"Supreme Court Review, Vol. 1997, pp. 271-330",1997 Sup. Ct. Rev. 271 (1997),130,8,18,na
Police and Democracy [article],"Sklansky, David Alan (Cited 1466 times)",4788,"Michigan Law Review, Vol. 103, Issue 7 (June 2005), pp. 1699-1830",103 Mich. L. Rev. 1699 (June 2005),103,na,66,na
Anti-Inquisitorialism [article],"Sklansky, David Alan (Cited 1466 times)",4788,"Harvard Law Review, Vol. 122, Issue 6 (April 2009), pp. 1634-1705",122 Harv. L. Rev. 1634 (April 2009),82,2,27,na
"Back to the Future: Kyllo, Katz, and Common Law [article]","Sklansky, David A. (Cited 1466 times)",4788,"Mississippi Law Journal, Vol. 72, Issue 1 (Fall 2002), pp. 143-212",72 Miss. L.J. 143 (2002-2003),66,na,34,na
Quasi-Affirmative Rights in Constitutional Criminal Procedure [article],"Sklansky, David A. (Cited 1466 times)",4788,"Virginia Law Review, Vol. 88, Issue 6 (October 2002), pp. 1229-1300",88 Va. L. Rev. 1229 (2002),65,2,8,na
"Crime, Immigration, and Ad Hoc Instrumentalism [article]","Sklansky, David Alan (Cited 1466 times)",4788,"New Criminal Law Review, Vol. 15, Issue 2 (Spring 2012), pp. 157-223",15 New Crim. L. Rev. 157 (2012),61,1,29,na
Hearsay's Last Hurrah [article],"Sklansky, David Alan (Cited 1466 times)",4788,"Supreme Court Review, Vol. 2009, pp. 1-82",2009 Sup. Ct. Rev. 1 (2009),61,9,28,na
"Comparative Law without Leaving Home: What Civil Procedure Can Teach Criminal Procedure, and Vice Versa [article]","Sklansky, David A. (Cited 1466 times); Yeazell, Stephen C. (Cited 1400 times)",4788,"Georgetown Law Journal, Vol. 94, Issue 3 (March 2006), pp. 683-738",94 Geo. L.J. 683 (March 2006),52,7,18,na
"Starr, Singleton, and the Prosecutor's Role [article]","Sklansky, David A. (Cited 1466 times)",4788,"Fordham Urban Law Journal, Vol. 26, Issue 3 (March 1999), pp. 509-538",na,48,na,11,na
"One Train May Hide Another: Katz, Stonewall, and the Secret Subtext of Criminal Procedure [article]","Sklansky, David Alan (Cited 1466 times)",4788,"U.C. Davis Law Review, Vol. 41, Issue 3 (February 2008), pp. 875-934",na,42,na,14,na
