Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Crystals in the Public Domain [article],"Fagundes, David (Cited 287 times)",9807,"Boston College Law Review, Vol. 50, Issue 1 (January 2009), pp. 139-196",50 B.C. L. Rev. 139 (2009),57,na,9,na
State Actors as First Amendment Speakers [article],"Fagundes, David (Cited 287 times)",9807,"Northwestern University Law Review, Vol. 100, Issue 4 (Summer 2006), pp. 1637-1688",100 Nw. U. L. Rev. 1637 (2006),52,7,34,na
Property Rhetoric and the Public Domain [article],"Fagundes, David (Cited 287 times)",9807,"Minnesota Law Review, Vol. 94, Issue 3 (February 2010), pp. 652-705",94 Minn. L. Rev. 652 (2009-2010),48,na,46,na
Costly Intellectual Property [article],"Fagundes, David (Cited 287 times); Masur, Jonathan S. (Cited 651 times)",9807,"Vanderbilt Law Review, Vol. 65, Issue 3 (April 2012), pp. 677-736",65 Vand. L. Rev. 677 (April 2012),46,na,41,na
Talk Derby to Me: Intellectual Property Norms Governing Roller Derby Pseudonyms [article],"Fagundes, David (Cited 287 times)",9807,"Texas Law Review, Vol. 90, Issue 5 (April 2012), pp. 1093-1152",90 Tex. L. Rev. 1093 (2011-2012),41,na,103,na
Efficient Copyright Infringement [article],"Fagundes, David (Cited 287 times)",9807,"Iowa Law Review, Vol. 98, Issue 5 (July 2013), pp. 1791-1846",98 Iowa L. Rev. 1791 (July 2013),15,na,58,na
"Market Harm, Market Help, and Fair Use [article]","Fagundes, David (Cited 287 times)",9807,"Stanford Technology Law Review, Vol. 17, pp. 359-396",17 Stan. Tech. L. Rev. 359 (2013-2014),12,na,10,na
The Moral Psychology of Copyright Infringement [article],"Buccafusco, Christopher (Cited 590 times); Fagundes, David (Cited 287 times)",9807,"Minnesota Law Review, Vol. 100, Issue 6 (June 2016), pp. 2433-2508",100 Minn. L. Rev. 2433 (2015-2016),11,na,45,na
"Buying Happiness: Property, Acquisition, and Subjective Well-Being [article]","Fagundes, David (Cited 287 times)",9807,"William & Mary Law Review, Vol. 58, Issue 6 (May 2017), pp. 1851-1932",58 Wm. & Mary L. Rev. 1851 (2016-2017),3,na,72,na
"Why less Property Is More: Inclusion, Dispossession, & Subjective Well-Being [article]","Fagundes, Dave (Cited 287 times)",9807,"Iowa Law Review, Vol. 103, Issue 4 (May 2018), pp. 1361-1418",103 Iowa L. Rev. 1361 (2017-2018),1,na,82,na
"Housing, Healthism, and the HUD Smoke-Free Policy [article]","Fagundes, Dave (Cited 287 times); Roberts, Jessica L. (Cited 168 times)",9807,"Northwestern University Law Review Online, Vol. 113, pp. 97-119",113 Nw. U. L. Rev. Online 97 (2018-2019),1,na,1,na
Clown Eggs [article],"Fagundes, David (Cited 287 times); Perzanowski, Aaron (Cited 243 times)",9807,"Notre Dame Law Review, Vol. 94, Issue 3 (January 2019), pp. 1313-1380",94 Notre Dame L. Rev. 1313 (2018-2019),1,na,21,na
"Market Harm, Market Help, and Fair Use","Fagundes, David (Cited 287 times)",9807,na,"Fagundes, David (Cited 287 times)",na,na,na,na
The Social Norms of Waiting in Line [article],"Fagundes, David (Cited 287 times)",9807,"Law & Social Inquiry, Vol. 42, Issue 4 (Fall 2017), pp. 1179-1209",na,na,na,na,na
Authors in Court: Scenes from the Theater of Copyright [reviews],"Fagundes, Dave (Cited 287 times)",9807,"American Journal of Legal History, Vol. 57, Issue 2 (June 2017), pp. 256-257",na,na,na,na,na
Contextualizing Fan Action Committees: A Comment on Catalyzing Fans [comments],"Fagundes, David (Cited 287 times)",9807,"Harvard Journal of Sports & Entertainment Law, Vol. 6, Issue 1 (Winter 2015), pp. 169-178",na,na,na,3,na
"Housing, Healthism, and the HUD Smoke-Free Policy [notes]","Fagundes, Dave (Cited 287 times); Roberts, Jessica L. (Cited 168 times)",9807,"Northwestern University Law Review, Vol. 113, Issue 4 (2018), pp. 917-[v]",na,na,na,na,na
An Information-Cost Critique of Chattel Property Servitudes [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [191]-[193]",na,na,na,na,na
Copyright's Family Law [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [125]-[126]",na,na,na,na,na
The Plural Tort Structure of Copyright Law [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [270]-[271]",na,na,na,na,na
Courtesy without Copyright [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",na,na,na,5,na
Creative Vigilantism [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",na,na,na,7,na
Unauthorized Improvement across Property Law [reviews],"Fagundes, David (Cited 287 times)",9807,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [28]-[29]",na,na,na,na,na
"Property, Morality, and Moral Psychology: Comments on Gerhart's Property Law and Social Morality [article]","Fagundes, Dave (Cited 287 times)",9807,"Texas A&M Journal of Property Law, Vol. 2, Issue 2 (2015), pp. 229-238",na,na,na,3,na
The Varieties of Motivation and the Problem of Supply: A Reply to Professor Ellickson [comments],"Fagundes, David (Cited 287 times)",9807,"Texas Law Review See Also, Vol. 90, pp. 311-322",na,na,na,1,na
