Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Ambiguous Basis of Judicial Deference to Administrative Rules [article],"Hasen, David M. (Cited 109 times)",4603,"Yale Journal on Regulation, Vol. 17, Issue 2 (Summer 2000), pp. 327-366",17 Yale J. on Reg. 327 (2000),37,2,10,na
Liberalism and Ability Taxation [article],"Hasen, David (Cited 109 times)",4603,"Texas Law Review, Vol. 85, Issue 5 (April 2007), pp. 1057-1114",85 Tex. L. Rev. 1057 (April 2007),22,na,9,na
A Realization-Based Approach to the Taxation of Financial Instruments [article],"Hasen, David M. (Cited 109 times)",4603,"Tax Law Review, Vol. 57, Issue 3 (Spring 2004), pp. 397-482",57 Tax L. Rev. 397 (2003-2004),12,na,14,na
Unwinding Unwinding [article],"Hasen, David (Cited 109 times)",4603,"Emory Law Journal , Vol. 57, Issue 4 (2008), pp. 871-946",57 Emory L.J. 871 (2007-2008),9,na,6,na
Tax Neutrality and Tax Amenities [article],"Hasen, David (Cited 109 times)",4603,"Florida Tax Review, Vol. 12, Issue 2 (2012), pp. 57-124",12 Fla. Tax Rev. 57 (2012),8,na,28,na
Partnership Special Allocations Revisited [article],"Hasen, David (Cited 109 times)",4603,"Florida Tax Review, Vol. 13, Issue 7 (2012), pp. 349-396",13 Fla. Tax Rev. 349 (2012-2013),7,na,8,na
The Tax Treatment of Advance Receipts [article],"Hasen, David (Cited 109 times)",4603,"Tax Law Review, Vol. 61, Issue 4 (Summer 2008), pp. 395-458",61 Tax L. Rev. 395 (2007-2008),5,na,8,na
Legal Transitions and the Problem of Reliance [article],"Hasen, David M. (Cited 109 times)",4603,"Columbia Journal of Tax Law, Vol. 1, Issue 2 (2010), pp. 120-173",1 Colum. J. Tax L. 120 (2010),3,na,8,na
Financial Options in the Real World: An Economic and Tax Analysis [article],"Hasen, David (Cited 109 times)",4603,"Florida State University Law Review , Vol. 37, Issue 4 (Summer 2010), pp. 789-840",na,3,na,5,na
How Should Gifts Be Treated under the Federal Income Tax [article],"Hasen, David (Cited 109 times)",4603,"Michigan State Law Review, Vol. 2018, Issue 1 (2018), pp. 81-116",2018 Mich. St. L. Rev. 81 (2018),1,na,16,na
Taxation and Innovation - A Sectorial Approach [article],"Hasen, David (Cited 109 times)",4603,"University of Illinois Law Review, Vol. 2017, Issue 3 (2017), pp. 1043-1090",2017 U. Ill. L. Rev. 1043 (2017),na,na,19,na
The Reinvestment Deduction: A Modest Proposal to Reform the Taxation of Business Income [article],"Hasen, David (Cited 109 times)",4603,"Chapman Law Review, Vol. 18, Issue 1 (Fall 2014), pp. 49-64",18 Chap. L. Rev. 49 (2014-2015),na,na,1,na
A Partnership Mark-to-Market Tax Election [article],"Hasen, David (Cited 109 times)",4603,"Tax Lawyer, Vol. 71, Issue 1 (Fall 2017), pp. 93-142",71 Tax Law. 93 (2017-2018),na,na,11,na
Asset Basis in Acquisitive Reorganizations: General Utilities Hangover [article],"Hasen, David (Cited 109 times)",4603,"Tax Lawyer, Vol. 72, Issue 2 (Winter 2019), pp. 481-500",72 Tax Law. 481 (2018-2019),na,na,1,na
Accretion-Based Progressive Wealth Taxation [article],"Hasen, David (Cited 109 times)",4603,"Florida Tax Review, Vol. 20, Issue 4 (2017), pp. 277-318",20 Fla. Tax Rev. 277 (2016-2017),na,na,13,na
Some Consequences of Governmental Provision of Rival Goods [article],"Hasen, David (Cited 109 times)",4603,"Virginia Tax Review, Vol. 34, Issue 2 (Fall 2014), pp. 319-356",34 Va. Tax Rev. 319 (2014-2015),na,na,na,na
