Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Privileged Informers: The Attorney Subpoena Problem and a Proposal for Reform [article],"Stern, Max D. (Cited 82 times); Hoffman, David (Cited 140 times)",139,"University of Pennsylvania Law Review, Vol. 136, Issue 6 , pp. 1783-1854",136 U. Pa. L. Rev. 1783 (1987-1988),70,6,4,na
Ideology or Situation Sense: An Experimental Investigation of Motivated Reasoning and Professional Judgment [article],"Kahan, Dan M. (Cited 4671 times); Hoffman, David (Cited 140 times); Evans, Danieli (Cited 105 times); Devins, Neal (Cited 2527 times); Lucci, Eugene; Cheng, Katherine",139,"University of Pennsylvania Law Review, Vol. 164, Issue 2 (January 2016), pp. 349-440",164 U. Pa. L. Rev. 349 (2015-2016),27,na,131,na
Empirical Analysis of Data Breach Litigation [article],"Romanosky, Sasha (Cited 28 times); Hoffman, David (Cited 140 times); Acquisti, Alessandro (Cited 49 times)",139,"Journal of Empirical Legal Studies, Vol. 11, Issue 1 (March 2014), pp. 74-265",11 J. Empirical Legal Stud. 74 (2014),12,na,54,na
Challenge to Single-Sex Schools under Equal Protection: Mississippi University for Women v. Hogan [article],"Hoffman, David (Cited 140 times)",139,"Harvard Women's Law Journal , Vol. 6, pp. 163-174",6 Harv. Women's L.J. 163 (1983),7,na,11,na
The Right to Obscurity: How We Can Implement the Google Spain Decision [article],"Hoffman, David (Cited 140 times); Bruening, Paula (Cited 6 times); Carter, Sophia (Cited 6 times)",139,"North Carolina Journal of Law & Technology, Vol. 17, Issue 3 (March 2016), pp. 437-482",17 N.C. J.L. & Tech. 437 (2015-2016),6,na,37,na
Attorney Subpoenas and Massachusetts Rule PF 15 [article],"Hoffman, David (Cited 140 times); Kelston, David (Cited 5 times); Shaughnessy, David (Cited 5 times)",139,"Massachusetts Law Review, Vol. 74, Issue 2 (June 1989), pp. 95-110",74 Mass. L. Rev. 95 (June 1989),5,na,1,na
Bringing Peace into the Room: The Personal Qualities of the Mediator and Their Impact on the Mediation [notes],"Bowling, Daniel (Cited 5 times); Hoffman, David (Cited 140 times)",139,"Negotiation Journal, Vol. 16, Issue 1 (January 2000), pp. 5-28",na,5,na,1,na
Building Bridges to Resolve Conflict and Overcome the Prisoner's Dilemma: The Vital Role of Professional Relationships in the Collaborative Law Process [article],"Hoffman, David (Cited 140 times); Ash, Dawn (Cited 3 times)",139,"Journal of Dispute Resolution, Vol. 2010, Issue 2 (2010), pp. 271-296",2010 J. Disp. Resol. 271 (2010),3,na,13,na
Hoffman's Course of Legal Study [article],"Hoffman, David (Cited 140 times)",139,"American Jurist and Law Magazine, Vol. 15, Issue 30 (July 1836), pp. 321-342",15 Am. Jurist & L. Mag. 321 (1836),2,na,6,na
Frank Sander: Mentor to the Field of Dispute Resolution [article],"Hoffman, David (Cited 140 times); Moffitt, Michael (Cited 220 times)",139,"Dispute Resolution Magazine, Vol. 19, Issue 1 (Fall 2012), pp. 14-16",19 Disp. Resol. Mag. 14 (2012-2013),1,na,2,na
Beyond Public Diplomacy [comments],"Hoffman, David (Cited 140 times)",139,"Foreign Affairs, Vol. 81, Issue 2 (March/April 2002), pp. 83-95",na,1,na,15,na
Hoffman's Legal Outlines [notes],"Hoffman, David (Cited 140 times); Coale, Edward J.",139,"United States Law Intelligencer and Review, Vol. 1, Issue 9 (September, 1829), pp. 264-267",na,na,na,4,na
Doctoring the Evidence [article],"Hoffman, David (Cited 140 times)",139,"Legal Service Bulletin, Vol. 15, Issue 2 (April 1990), pp. 76-78",na,na,na,1,na
"Construction of a Power of Attorney, and of a Deed [article]","Hoffman, David (Cited 140 times)",139,"American Jurist, and Law Magazine, Vol. 3, Issue 5 (January 1830), pp. 52-86",3 Am. Jurist & L. Mag. 52 (1830),na,na,3,na
Hoffman's Legal Outlines [article],"Hoffman, David (Cited 140 times)",139,"American Jurist, and Law Magazine, Vol. 3, Issue 5 (January 1830), pp. 86-100",3 Am. Jurist & L. Mag. 86 (1830),na,na,5,na
Is the CISG Irrelevant [reviews],"Hoffman, David (Cited 140 times)",139,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [407]-[408]",na,na,na,na,na
A Major New Move in Contract Interpretation [reviews],"Hoffman, David (Cited 140 times)",139,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",na,na,na,5,na
Commitment in the Real World [reviews],"Hoffman, David (Cited 140 times)",139,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",na,na,na,5,na
"Need for a Reliable Test of Software Patentability, The [notes]","Hoffman, David (Cited 140 times)",139,"Los Angeles Lawyer, Vol. 37, Issue 5 (July/August 2014), pp. 52-2",37 L.A. Law. 52 (2014-2015),na,na,na,na
The Law of Restitution and the Human Rights Act 1998 [article],"Hoffman, David (Cited 140 times)",139,"Restitution Law Review, Vol. 12, pp. 64-78",12 RLR 64 (2004),na,na,7,na
Our Unconscionable Contract Casebooks [reviews],"Hoffman, David (Cited 140 times)",139,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-2",na,na,na,na,na
Coin-Operated Capitalism [article] *new*,"Cohney, Shaanan; Hoffman, David (Cited 140 times); Sklaroff, Jeremy; Wishnick, David",139,"Columbia Law Review, Vol. 119, Issue 3 (April 2019), pp. 591-676",na,na,na,na,na
