Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Punishing Drug Addicts Who Have Babies: Women of Color, Equality, and the Right of Privacy [article]","Roberts, Dorothy E. (Cited 2459 times)",476,"Harvard Law Review , Vol. 104, Issue 7 (May 1991), pp. 1419-1482",104 Harv. L. Rev. 1419 (1990-1991),515,3,47,na
The Social and Moral Cost of Mass Incarceration in African American Communities [article],"Roberts, Dorothy E. (Cited 2459 times)",476,"Stanford Law Review, Vol. 56, Issue 5 (April 2004), pp. 1271-1306",na,222,2,2443,na
"Genetic Tie, The [article]","Roberts, Dorothy E. (Cited 2459 times)",476,"University of Chicago Law Review, Vol. 62, Issue 1 (Winter 1995), pp. 209-274",62 U. Chi. L. Rev. 209 (Winter 1995),148,3,12,na
"Race, Vagueness, and the Social Meaning of Order-Maintenance Policing [comments]","Roberts, Dorothy E. (Cited 2459 times)",476,"Journal of Criminal Law and Criminology, Vol. 89, Issue 3 (Spring 1999), pp. 775-836",na,111,na,73,na
Motherhood and Crime [article],"Roberts, Dorothy E. (Cited 2459 times)",476,"Iowa Law Review, Vol. 79, Issue 1 (October 1993), pp. 95-142",79 Iowa L. Rev. 95 (1993-1994),96,na,56,na
Racism and Patriarchy in the Meaning of Motherhood [article],"Roberts, Dorothy E. (Cited 2459 times)",476,"American University Journal of Gender and the Law, Vol. 1, pp. 1-38",1 Am. U. J. Gender & L. 1 (1993),94,na,82,na
The Value of Black Mothers' Work [comments],"Roberts, Dorothy E. (Cited 2459 times)",476,"Connecticut Law Review, Vol. 26, Issue 3 (Spring 1994), pp. 871-878",na,87,na,93,na
"Crime, Race, and Reproduction [comments]","Roberts, Dorothy E. (Cited 2459 times)",476,"Tulane Law Review , Vol. 67, Issue 6 , pp. 1945-1977",na,85,na,101,na
Is There Justice in Children's Rights: The Critique of Federal Family Preservation Policy [article],"Roberts, Dorothy E. (Cited 2459 times)",476,"University of Pennsylvania Journal of Constitutional Law, Vol. 2, Issue 1 (December 1999), pp. 112-140",na,77,na,32,na
"Prison, Foster Care, and the Systemic Punishment of Black Mothers [article]","Roberts, Dorothy E. (Cited 2459 times)",476,"UCLA Law Review, Vol. 59, Issue 6 (August 2012), pp. 1474-1501",na,73,3,572,na
Welfare and the Problem of Black Citizenship [reviews],"Roberts, Dorothy E. (Cited 2459 times)",476,"Yale Law Journal, Vol. 105, Issue 6 (April 1996), pp. 1563-1602",na,73,na,33,na
