Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Land Virtues [article],"Penalver, Edwardo M. (Cited 546 times)",1762,"Cornell Law Review, Vol. 94, Issue 4 (May 2009), pp. 821-888",94 Cornell L. Rev. 821 (2008-2009),121,na,42,na
A Statement of Progressive Property [article],"Alexander, Gregory S. (Cited 1341 times); Penalver, Eduardo M. (Cited 546 times); Singer, Joseph William (Cited 3407 times); Underkuffler, Laura S. (Cited 476 times)",1762,"Cornell Law Review, Vol. 94, Issue 4 (May 2009), pp. 743-744",na,101,na,98,na
Property as Entrance [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"Virginia Law Review, Vol. 91, Issue 8 (December 2005), pp. 1889-1972",91 Va. L. Rev. 1889 (December 2005),87,na,39,na
Properties of Community [article],"Alexander, Gregory S. (Cited 1341 times); Penalver, Eduardo M. (Cited 546 times)",1762,"Theoretical Inquiries in Law, Vol. 10, Issue 1 (January 2009), pp. 127-160",na,52,na,37,na
Judicial Takings or Due Process [article],"Penalver, Eduardo M. (Cited 546 times); Strahilevitz, Lior Jacob (Cited 1128 times)",1762,"Cornell Law Review, Vol. 97, Issue 2 (January 2012), pp. 305-368",97 Cornell L. Rev. 305 (2011-2012),30,3,24,na
Acts of God or Toxic Torts - Applying Tort Principles to the Problem of Climate Change [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"Natural Resources Journal, Vol. 38, Issue 4 (Fall 1998), pp. 563-602",38 Nat. Resources J. 563 (1998),27,na,11,na
The Illusory Right to Abandon [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"Michigan Law Review, Vol. 109, Issue 2 (November 2010), pp. 191-220",109 Mich. L. Rev. 191 (2010-2011),26,na,92,na
Exactions Creep [article],"Fennell, Lee Anne (Cited 1023 times); Penalver, Eduardo M. (Cited 546 times)",1762,"Supreme Court Review, Vol. 2013, pp. 287-358",2013 Sup. Ct. Rev. 287 (2013),24,na,23,na
Property Metaphors and Kelo v. New London: Two Views of the Castle [comments],"Penalver, Eduardo M. (Cited 546 times)",1762,"Fordham Law Review, Vol. 74, Issue 6 (May 2006), pp. 2971-2976",na,22,na,10,na
The Right Not to Use in Property and Patent Law [article],"Liivak, Oskar (Cited 168 times); Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Review, Vol. 98, Issue 6 (September 2013), pp. 1437-1494",na,19,na,58,na
Restoring the Right Constitution [reviews],"Penalver, Eduardo M. (Cited 546 times)",1762,"Yale Law Journal, Vol. 116, Issue 4 (January 2007), pp. 732-767",na,15,na,9,na
Property's Memories [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"Fordham Law Review, Vol. 80, Issue 3 (December 2011), pp. 1071-1088",na,7,na,11,na
Is Public Reason Counterproductive [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"West Virginia Law Review, Vol. 110, Issue 1 (Fall 2007), pp. 515-544",na,6,na,4,na
Reconstructing Richard Epstein [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"William and Mary Bill of Rights Journal , Vol. 15, Issue 2 (December 2006), pp. 429-438",na,4,na,4,na
The Role of Skills Instruction in Legal Education [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"FIU Law Review, Vol. 13, Issue 2 (Fall 2018), pp. 229-240",13 FIU L. Rev. 229 (2018-2019),1,na,5,na
Response [comments],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Journal of Law and Public Policy, Vol. 20, Issue 2 (Winter 2010), pp. 393-398",na,1,na,2,na
The End of Sprawl [article],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 34, Issue 3 (Fall 2008), pp. 4-7",34 Cornell Law Forum (Faculty ed.) 4 (2007-2008),na,na,1,na
A Note from the Dean [notes],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 40, Issue 2 (Fall 2014), pp. 2-3",na,na,na,6,na
A Note from the Dean [comments],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 41, Issue 1 (Spring 2015), pp. 2-3",na,na,na,na,na
A Note from the Dean [notes],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 41, Issue 2 (Fall 2015), pp. 2-3",na,na,na,na,na
Note from the Dean [comments],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 42, Issue 1 (Spring 2016), pp. 2-3",na,na,na,1,na
A Note from the Dean [comments],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 42, Issue 2 (Fall 2016), pp. 2-3",na,na,na,1,na
A Note from the Dean [notes],"Penalver, Eduardo M. (Cited 546 times)",1762,"Cornell Law Forum, Vol. 43, Issue 1 (Spring 2017), pp. 2-3",na,na,na,na,na
