Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Cooperation with Federal Prosecutors: Experiences of Truth Telling and Embellishment [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Fordham Law Review, Vol. 68, Issue 3 (December 1999), pp. 917-964",na,119,1,17,na
Wrongful Convictions: It is Time to Take Prosecution Discipline Seriously [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"University of the District of Columbia David A. Clarke School of Law Law Review, Vol. 8, pp. 275-302",na,62,na,123,na
Secret Evidence Is Slowly Eroding the Adversary System: CIPA and FISA in the Courts [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Hofstra Law Review, Vol. 34, Issue 3 (Spring 2006), pp. 1063-1092",na,29,na,12,na
Foreword: New Perspectives on Brady and Other Disclosure Obligations: What Really Works [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Cardozo Law Review, Vol. 31, Issue 6 (June 2010), pp. 1943-1960",na,26,na,20,na
Balancing Victim's Rights and Vigorous Advocacy for the Defendant [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Annual Survey of American Law, Vol. 1989, Issue 1 (1989), pp. 135-156",na,23,1,11,na
Prosecutorial Accountability 2.0 [article],"Green, Bruce (Cited 2634 times); Yaroshefsky, Ellen (Cited 376 times)",8541,"Notre Dame Law Review, Vol. 92, Issue 1 (November 2016), pp. 51-116",92 Notre Dame L. Rev. 51 (November 2016),20,na,64,na
New Orleans Prosecutorial Disclosure in Practice after Connick v. Thompson [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Georgetown Journal of Legal Ethics, Vol. 25, Issue 4 (Fall 2012), pp. 913-942",25 Geo. J. Legal Ethics 913 (2012),19,na,8,na
Prosecutorial Disclosure Obligations [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Hastings Law Journal, Vol. 62, Issue 5 (2010-2011), pp. 1321-1348",62 Hastings L.J. 1321 (2010-2011),18,3,31,na
Ethics and Plea Bargaining - What's Discovery Got to Do With It [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Criminal Justice, Vol. 23, Issue 3 (Fall 2008), pp. 28-59",na,12,na,30,na
Military Lawyering at the Edge of the Rule of Law at Guantanamo: Should Lawyers Be Permitted to Violate the Law [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Hofstra Law Review, Vol. 36, Issue 2 (Winter 2007), pp. 563-600",na,10,na,10,na
Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Cardozo Law Review, Vol. 23, Issue 3 (February 2002), pp. 747-758",na,9,na,1,na
Zealous Lawyering Succeeds against All Odds: Major Mori and the Legal Team for David Hicks at Guantanamo Bay [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Roger Williams University Law Review, Vol. 13, Issue 2 (Spring 2008), pp. 469-496",na,7,na,4,na
Ministers of Justice and Mass Incarceration [article],"Griffin, Lissa (Cited 176 times); Yaroshefsky, Ellen (Cited 376 times)",8541,"Georgetown Journal of Legal Ethics, Vol. 30, Issue 2 (Spring 2017), pp. 301-[iv]",30 Geo. J. Legal Ethics 301 (2017),6,na,66,na
Enhancing the Justice Mission in the Exercise of Prosecutorial Discretion [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Temple Political & Civil Rights Law Review, Vol. 19, Issue 2 (Spring 2010), pp. 343-360",na,6,na,10,na
Waiting for the Elevator: Talking about Race [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Georgetown Journal of Legal Ethics, Vol. 27, Issue 4 (Fall 2014), pp. 1203-1219",na,3,na,13,na
"My Client, the Cooperator, Lied: Now What [article]","Yaroshefsky, Ellen (Cited 376 times)",8541,"Ohio State Journal of Criminal Law , Vol. 7, Issue 2 (Spring 2010), pp. 659-666",na,3,na,6,na
Foreword to the Conference Report: The New York City Housing Court in the 21st Century: Can It Better Address the Problems before It [comments],"Yaroshefsky, Ellen (Cited 376 times); Flood, Marilyn J. (Cited 4 times)",8541,"Cardozo Public Law, Policy, and Ethics Journal, Vol. 3, Issue 3 (January 2006), pp. 591-600",na,1,na,3,na
Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Cardozo Public Law, Policy, and Ethics Journal, Vol. 5, Issue 1 (Fall 2006), pp. 1-6",na,1,na,na,na
Symposium: Judicial Responsibility for Justice in Criminal Courts: Symposium Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Hofstra Law Review, Vol. 46, Issue 1 (Fall 2017), pp. 1-18",na,1,na,19,na
Symposium Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Hofstra Law Review, Vol. 47, Issue 1 (Fall 2018), pp. 1-10",na,na,na,5,na
The Tucson Trial and Its Legal Consequences for Asylum Seekers [notes],"Yaroshefsky, Ellen (Cited 376 times)",8541,"In Defense of the Alien, Vol. 9, pp. 176-181",na,na,na,1,na
Starr Wars: Aberrational or Routine Exercixe of Prosecutorial Discretion [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Professional Lawyer Symposium Issues, Vol. 1999, pp. 133-140",1999 Prof. Law. Symp. Issues 133 (1999),na,na,3,na
Privileging Public Defense Research [article],"Moore, Janet (Cited 79 times); Yaroshefsky, Ellen (Cited 376 times); Davies, Andrew L. B. (Cited 8 times)",8541,"Mercer Law Review, Vol. 69, Issue 3 (Spring 2018), pp. 771-804",na,na,na,26,na
Can a Good Person Be a Good Prosecutor [article],"Yaroshefsky, Ellen (Cited 376 times)",8541,"Fordham Law Review Online, Vol. 87, pp. 35-38",87 Fordham L. Rev. Online 35 (2018-2019),na,na,na,na
