Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Solomonic Bargaining: Dividing a Legal Entitlement to Facilitate Coasean Trade [article],"Ayres, Ian (Cited 5291 times); Talley, Eric (Cited 795 times)",5863,"Yale Law Journal, Vol. 104, Issue 5 (March 1995), pp. 1027-1118",104 Yale L.J. 1027 (March 1995),328,na,49,na
Distinguishing between Consensual and Nonconsensual Advantages of Liability Rules [comments],"Ayres, Ian (Cited 5291 times); Talley, Eric (Cited 795 times)",5863,"Yale Law Journal, Vol. 105, Issue 1 (October 1995), pp. 235-254",na,62,na,10,na
Endowment Effects within Corporate Agency Relationships [article],"Arlen, Jennifer (Cited 891 times); Spitzer, Matthew (Cited 1246 times); Talley, Eric (Cited 795 times)",5863,"Journal of Legal Studies, Vol. 31, Issue 1 - Part 1 (January 2002), pp. 1-38",31 J. Legal Stud. 1 (2002),58,na,11,na
Unregulable Defenses and the Perils of Shareholder Choice [article],"Arlen, Jennifer (Cited 891 times); Talley, Eric (Cited 795 times)",5863,"University of Pennsylvania Law Review, Vol. 152, Issue 2 (December 2003), pp. 577-666",na,57,1,11,na
Turning Servile Opportunities to Gold: A Strategic Analysis of the Corporate Opportunities Doctrine [article],"Talley, Eric (Cited 795 times)",5863,"Yale Law Journal , Vol. 108, Issue 2 (November 1998), pp. 277-376",108 Yale L.J. 277 (1998-1999),50,2,19,na
Precedential Cascades: An Appraisal [article],"Talley, Eric (Cited 795 times)",5863,"Southern California Law Review, Vol. 73, Issue 1 (November 1999), pp. 87-138",73 S. Cal. L. Rev. 87 (1999-2000),47,4,8,na
Disclosure Norms [article],"Talley, Eric (Cited 795 times)",5863,"University of Pennsylvania Law Review, Vol. 149, Issue 6 (June 2001), pp. 1955-2026",na,34,na,15,na
On Public versus Private Provision of Corporate Law [article],"Hadfield, Gillian (Cited 53 times); Talley, Eric (Cited 795 times)",5863,"Journal of Law, Economics, and Organization , Vol. 22, Issue 2 (October 2006), pp. 414-441",na,26,na,na,na
Taking the I out of Team: Intra-Firm Monitoring and the Context of Fiduciary Duties [article],"Talley, Eric (Cited 795 times)",5863,"Journal of Corporation Law, Vol. 24, Issue 4 (Summer 1999), pp. 1001-1038",na,25,na,13,na
Judicial Auditing [article],"Spitzer, Matt (Cited 21 times); Talley, Eric (Cited 795 times)",5863,"Journal of Legal Studies, Vol. 29, Issue 2 - Part 1 (June 2000), pp. 649-684",29 J. Legal Stud. 649 (2000),21,na,na,na
A Theory of Legal Presumptions [article],"Bernardo, Antonio E. (Cited 18 times); Talley, Eric (Cited 795 times); Welch, Ivo (Cited 51 times)",5863,"Journal of Law, Economics, and Organization , Vol. 16, Issue 1 (April 2000), pp. 1-49",na,17,na,na,na
Going-Private Decisions and the Sarbanes-Oxley Act of 2002: A Cross-Country Analysis [article],"Kamar, Ehud (Cited 620 times); Karaca-Mandic, Pinar (Cited 18 times); Talley, Eric (Cited 795 times)",5863,"Journal of Law, Economics, and Organization , Vol. 25, Issue 1 (May 2009), pp. 107-133",na,17,na,na,na
Liability-Based Fee-Shifting Rules and Settlement Mechanisms under Incomplete Information [article],"Talley, Eric (Cited 795 times)",5863,"Chicago-Kent Law Review, Vol. 71, Issue 2 (1995), pp. 461-504",na,15,na,4,na
Contracting out of the Fiduciary Duty of Loyalty: An Empirical Analysis of Corporate Opportunity Waivers [article],"Rauterberg, Gabriel (Cited 105 times); Talley, Eric (Cited 795 times)",5863,"Columbia Law Review, Vol. 117, Issue 5 (June 2017), pp. 1075-1152",117 Colum. L. Rev. 1075 (2017),15,1,50,na
"On the Demise of Shareholder Primacy (or, Murder on the James Trains Express) [comments]","Talley, Eric (Cited 795 times)",5863,"Southern California Law Review, Vol. 75, Issue 5 (July 2002), pp. 1211-1216",na,9,na,28,na
Interdisciplinary Gap Filling: Game Theory and the Law [reviews],"Talley, Eric (Cited 795 times)",5863,"Law and Social Inquiry, Vol. 22, Issue 4 (Fall 1997), pp. 1055-1086",na,4,na,7,na
"Left, Right, and Center: Strategic Information Acquisition and Diversity in Judicial Panels [article]","Spitzer, Matthew (Cited 1246 times); Talley, Eric (Cited 795 times)",5863,"Journal of Law, Economics, and Organization, Vol. 29, Issue 3 (June 2013), pp. 638-680",na,4,na,na,na
Social Entrepreneurship and Uncorporations [article],"Finfrock, Jesse (Cited 3 times); Talley, Eric (Cited 795 times)",5863,"University of Illinois Law Review, Vol. 2014, Issue 5 (2014), pp. 1867-1886",2014 U. Ill. L. Rev. 1867 (2014),3,na,8,na
On Experimentation and Real Options in Financial Regulation [article],"Spitzer, Matthew (Cited 1246 times); Talley, Eric (Cited 795 times)",5863,"Journal of Legal Studies, Vol. 43, Issue 2 pt. 2 (June 2014), pp. S121-S150",na,1,na,na,na
Foreword [comments],"O'Connell, Anne Joseph (Cited 650 times); Talley, Eric (Cited 795 times)",5863,"Journal of Empirical Legal Studies, Vol. 12, Issue 4 ( December 2015), pp. 601-601",na,na,na,1,na
Who Put the Lie in LIBOR (and Who Should Take It out) - Civil LIBOR Litigation in the US [article],"Strimling, Samantha; Talley, Eric (Cited 795 times)",5863,"Law and Financial Markets Review, Vol. 8, Issue 2 (June 2014), pp. 145-154",na,na,na,na,na
Appraising the Merger Price Appraisal Rule [article],"Choi, Albert H. (Cited 152 times); Talley, Eric (Cited 795 times)",5863,"Journal of Law, Economics, and Organization, Vol. 34, Issue 4 (November 2018), pp. 543-578",na,na,na,na,na
