Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Scored Society: Due Process for Automated Predictions [article],"Citron, Danielle Keats (Cited 1093 times); Pasquale, Frank (Cited 711 times)",5581,"Washington Law Review, Vol. 89, Issue 1 (March 2014), pp. 1-34",na,117,na,590,na
"Federal Search Commission - Access, Fairness, and Accountability in the Law of Search [article]","Bracha, Oren (Cited 356 times); Pasquale, Frank (Cited 711 times)",5581,"Cornell Law Review, Vol. 93, Issue 6 (September 2008), pp. 1149-1210",93 Cornell L. Rev. 1149 (September 2008),116,6,76,na
Beyond Innovation and Competition: The Need for Qualified Transparency in Internet Intermediaries [article],"Pasquale, Frank (Cited 711 times)",5581,"Northwestern University Law Review, Vol. 104, Issue 1 (2010), pp. 105-174",104 Nw. U. L. Rev. 105 (2010),63,na,82,na
Network Accountability for the Domestic Intelligence Apparatus [article],"Citron, Danielle Keats (Cited 1093 times); Pasquale, Frank (Cited 711 times)",5581,"Hastings Law Journal, Vol. 62, Issue 6 (2010-2011), pp. 1441-1494",62 Hastings L.J. 1441 (2010-2011),52,na,46,na
Beyond Napster: Using Antitrust Law to Advance and Enhance Online Music Distribution [article],"Fagin, Matthew (Cited 67 times); Pasquale, Frank (Cited 711 times); Weatherall, Kim (Cited 51 times)",5581,"Boston University Journal of Science & Technology Law, Vol. 8, Issue 2 (2002), pp. 451-573",8 B.U. J. Sci. & Tech. L. 451 (2002),51,na,19,na
"Rankings, Reductionism, and Responsibility [article]","Pasquale, Frank (Cited 711 times)",5581,"Cleveland State Law Review, Vol. 54, Numbers 1 & 2 (2006), pp. 115-140",na,39,na,25,na
Reclaiming Egalitarianism in the Political Theory of Campaign Finance Reform [article],"Pasquale, Frank (Cited 711 times)",5581,"University of Illinois Law Review, Vol. 2008, Issue 2 (2008), pp. 599-660",2008 U. Ill. L. Rev. 599 (2008),34,5,16,na
Internet Nondiscrimination Principles: Commercial Ethics for Carriers and Search Engines [article],"Pasquale, Frank (Cited 711 times)",5581,"University of Chicago Legal Forum, Vol. 2008, pp. 263-300",na,24,na,27,na
Grand Bargains for Big Data: The Emerging Law of Health Information [article],"Pasquale, Frank (Cited 711 times)",5581,"Maryland Law Review, Vol. 72, Issue 3 (2013), pp. 682-772",72 Md. L. Rev. 682 (2013),22,na,58,na
Asterisk Revisited: Debating a Right of Reply on Search Results [article],"Pasquale, Frank (Cited 711 times)",5581,"Journal of Business & Technology Law, Vol. 3, Issue 1 (2008), pp. 61-86",na,17,na,15,na
Breaking the Vicious Circularity: Sony's Contribution to the Fair Use Doctrine [article],"Pasquale, Frank (Cited 711 times)",5581,"Case Western Reserve Law Review, Vol. 55, Issue 4 (Summer 2005), pp. 777-814",na,15,na,3,na
Protecting Health Privacy in an Era of Big Data Processing and Cloud Computing [article],"Pasquale, Frank (Cited 711 times); Ragone, Tara Adams (Cited 28 times)",5581,"Stanford Technology Law Review, Vol. 17, pp. 595-654",17 Stan. Tech. L. Rev. 595 (2013-2014),14,na,43,na
Restoring Transparency to Automated Authority [article],"Pasquale, Frank (Cited 711 times)",5581,"Journal on Telecommunications & High Technology Law, Vol. 9, Issue 1 (2011), pp. 235-254",na,12,na,79,na
Toward an Ecology of Intellectual Property: Lessons from Environmental Economics for Valuing Copyright's Commons [article],"Pasquale, Frank (Cited 711 times)",5581,"Yale Journal of Law and Technology, Vol. 8, pp. 78-135",8 Yale J.L. & Tech. 78 (2005-2006),12,na,10,na
Law's Acceleration of Finance: Redefining the Problem of High-Frequency Trading [article],"Pasquale, Frank (Cited 711 times)",5581,"Cardozo Law Review, Vol. 36, Issue 6 (August 2015), pp. 2085-2128",36 Cardozo L. Rev. 2085 (2014-2015),11,na,39,na
"Privacy, Antitrust, and Power [article]","Pasquale, Frank (Cited 711 times)",5581,"George Mason Law Review, Vol. 20, Issue 4 (Summer 2013), pp. 1009-1024",na,10,na,96,na
Reforming the Law of Reputation [article],"Pasquale, Frank (Cited 711 times)",5581,"Loyola University Chicago Law Journal, Vol. 47, Issue 2 (Winter 2015), pp. 515-540",na,10,na,35,na
Access to Medicine in an Era of Fractal Inequality [article],"Pasquale, Frank (Cited 711 times)",5581,"Annals of Health Law, Vol. 19, Issue 2 (Winter 2010), pp. 269-310",19 Annals Health L. 269 (2009-2010),9,na,16,na
Promoting Innovation While Preventing Discrimination: Policy Goals for the Scored Society [comments],"Pasquale, Frank (Cited 711 times); Citron, Danielle Keats (Cited 1093 times)",5581,"Washington Law Review, Vol. 89, Issue 4 (December 2014), pp. 1413-1424",na,9,na,26,na
The Three Faces of Retainer Care: Crafting a Tailored Regulatory Response [article],"Pasquale, Frank (Cited 711 times)",5581,"Yale Journal of Health Policy, Law, and Ethics, Vol. 7, Issue 1 (2007), pp. 39-98",7 Yale J. Health Pol'y L. & Ethics 39 (2007),9,na,2,na
Two Narratives of Platform Capitalism [comments],"Pasquale, Frank (Cited 711 times)",5581,"Yale Law & Policy Review, Vol. 35, Issue 1 (Fall 2016), pp. 309-320",na,8,na,369,na
Accountable Care Organizations in the Affordable Care Act [notes],"Pasquale, Frank (Cited 711 times)",5581,"Seton Hall Law Review, Vol. 42, Issue 4 (2012), pp. 1371-1392",na,7,na,12,na
Redescribing Health Privacy: The Importance of Information Policy [article],"Pasquale, Frank (Cited 711 times)",5581,"Houston Journal of Health Law & Policy, Vol. 14, pp. 95-128",14 Hous. J. Health L. & Pol'y 95 (2014),6,na,22,na
Platform Neutrality: Enhancing Freedom of Expression in Spheres of Private Power [article],"Pasquale, Frank (Cited 711 times)",5581,"Theoretical Inquiries in Law, Vol. 17, Issue 2 (July 2016), pp. 487-514",na,6,na,64,na
Four Futures of Legal Automation [article],"Pasquale, Frank (Cited 711 times); Cashwell, Glyn (Cited 7 times)",5581,"UCLA Law Review Discourse, Vol. 63, pp. 26-48",63 UCLA L. Rev. Discourse 26 (2015),5,na,113,na
"Technology, Competition, and Values [article]","Pasquale, Frank (Cited 711 times)",5581,"Minnesota Journal of Law, Science & Technology, Vol. 8, pp. 607-622",8 Minn. J.L. Sci. & Tech. 607 (2007),5,na,13,na
