Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Translating Yonnondio by Precedent and Evidence: The Mashpee Indian Case [article],"Torres, Gerald (Cited 729 times); Milun, Kathryn (Cited 106 times)",1915,"Duke Law Journal , Vol. 1990, Issue 4 (September 1990), pp. 625-659",na,105,na,37,na
Introduction: Understanding Environmental Racism [comments],"Torres, Gerald (Cited 729 times)",1915,"University of Colorado Law Review, Vol. 63, Issue 4 (1992), pp. 839-848",na,74,na,100,na
"Local Knowledge, Local Color: Critical Legal Studies and the Law of Race Relations [article]","Torres, Gerald (Cited 729 times)",1915,"San Diego Law Review, Vol. 25, Issue 5 (October 1988), pp. 1043-1070",25 San Diego L. Rev. 1043 (1988),56,na,19,na
Changing the Wind: Notes toward a Demosprudence of Law and Social Movements [article],"Guinier, Lani (Cited 1981 times); Torres, Gerald (Cited 729 times)",1915,"Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 2740-2805",na,53,na,na,na
Critical Race Theory: The Decline of the Universalist Ideal and the Hope of Plural Justice--Some Observations and Questions of an Emerging Phenomenon [article],"Torres, Gerald (Cited 729 times)",1915,"Minnesota Law Review, Vol. 75, Issue 3 (February 1991), pp. 993-1008",na,47,na,15,na
Environmental Burdens and Democratic Justice [article],"Torres, Gerald (Cited 729 times)",1915,"Fordham Urban Law Journal, Vol. 21, Issue 3 (Spring 1994), pp. 431-460",21 Fordham Urb. L.J. 431 (1993-1994),46,na,14,na
Environmental Justice: The Legal Meaning of a Social Movement [article],"Torres, Gerald (Cited 729 times)",1915,"Journal of Law and Commerce, Vol. 15, Issue 2 (1996), pp. 597-622",na,31,na,5,na
"Taking and Giving: Police Power, Public Value, and Private Right [article]","Torres, Gerald (Cited 729 times)",1915,"Environmental Law, Vol. 26, Issue 1 (Spring 1996), pp. 1-26",na,30,na,13,na
Wetlands and Agriculture: Environmental Regulation and the Limits of Private Property [article],"Torres, Gerald (Cited 729 times)",1915,"University of Kansas Law Review, Vol. 34, Issue 3 (Spring 1986), pp. 539-576",na,28,na,5,na
Grutter v. Bollinger/Gratz v. Bollinger: View from a Limestone Ledge [article],"Torres, Gerald (Cited 729 times)",1915,"Columbia Law Review, Vol. 103, Issue 6 (October 2003), pp. 1596-1609",na,27,na,11,na
Translation and Stories [article],"Torres, Gerald (Cited 729 times)",1915,"Harvard Law Review, Vol. 115, Issue 5 (March 2002), pp. 1362-1395",na,21,na,11,na
Who Owns the Sky [comments],"Torres, Gerald (Cited 729 times)",1915,"Pace Environmental Law Review, Vol. 19, Issue 2 (2002), pp. 515-574",na,20,na,5,na
Legal Change [comments],"Torres, Gerald (Cited 729 times)",1915,"Cleveland State Law Review, Vol. 55, Issue 2 (2007), pp. 135-146",na,19,na,36,na
Merit and Diversity after Hopwood [article],"Forbath, William E. (Cited 953 times); Torres, Gerald (Cited 729 times)",1915,"Stanford Law & Policy Review, Vol. 10, Issue 2 (Spring 1999), pp. 185-190",na,18,na,19,na
Social Movements and the Ethical Construction of Law [article],"Torres, Gerald (Cited 729 times)",1915,"Capital University Law Review, Vol. 37, Issue 3 (Spring 2009), pp. 535-582",na,15,na,15,na
