Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"One Share, One Vote and the False Promise of Shareholder Homogeneity [article]","Hayden, Grant M. (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"Cardozo Law Review, Vol. 30, Issue 2 (November 2008), pp. 445-506",30 Cardozo L. Rev. 445 (2008-2009),47,na,na,na
The Uncorporation and the Unraveling of Nexus of Contracts Theory [reviews],"Hayden, Grant M. (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"Michigan Law Review, Vol. 109, Issue 6 (April 2011), pp. 1127-1144",na,32,na,30,na
"The False Promise of One Person, One Vote [article]","Hayden, Grant M. (Cited 283 times)",7360,"Michigan Law Review, Vol. 102, Issue 2 (November 2003), pp. 213-267",102 Mich. L. Rev. 213 (2003-2004),31,2,7,na
Resolving the Dilemma of Minority Representation [article],"Hayden, Grant M. (Cited 283 times)",7360,"California Law Review, Vol. 92, Issue 6 (December 2004), pp. 1589-1638",92 Calif. L. Rev. 1589 (December 2004),28,na,11,na
Shareholder Democracy and the Curious Turn toward Board Primacy [article],"Hayden, Grant (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"William and Mary Law Review, Vol. 51, Issue 6 (May 2010), pp. 2071-2122",51 Wm. & Mary L. Rev. 2071 (2009-2010),28,na,87,na
Law and Economics after Behavioral Economics [article],"Hayden, Grant M. (Cited 283 times); Ellis, Stephen E. (Cited 30 times)",7360,"University of Kansas Law Review, Vol. 55, Issue 3 (April 2007), pp. 629-676",55 U. Kan. L. Rev. 629 (2006-2007),24,na,29,na
The University Works Because We Do: Collective Bargaining Rights for Graduate Assistants [article],"Hayden, Grant M. (Cited 283 times)",7360,"Fordham Law Review, Vol. 69, Issue 4 (March 2001), pp. 1233-1264",69 Fordham L. Rev. 1233 (2000-2001),22,na,21,na
The Bizarre Law and Economics of Business Roundtable v. SEC [article],"Hayden, Grant M. (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"Journal of Corporation Law, Vol. 38, Issue 1 (Fall 2012), pp. 101-138",38 J. Corp. L. 101 (Fall 2012),21,na,7,na
Some Implications of Arrow's Theorem for Voting Rights [notes],"Hayden, Grant M. (Cited 283 times)",7360,"Stanford Law Review, Vol. 47, Issue 2 (January 1995), pp. 295-318",na,13,na,3,na
The Supreme Court and Voting Rights: A More Complete Exit Strategy [article],"Hayden, Grant M. (Cited 283 times)",7360,"North Carolina Law Review, Vol. 83, Issue 4 (May 2005), pp. 949-983",83 N.C. L. Rev. 949 (2004-2005),10,na,3,na
The Cult of Efficiency in Corporate Law [article],"Ellis, Stephen E. (Cited 30 times); Hayden, Grant M. (Cited 283 times)",7360,"Virginia Law and Business Review, Vol. 5, Issue 2 (Fall 2010), pp. 239-266",5 Va. L. & Bus. Rev. 239 (2010-2011),6,na,13,na
Some Keys to the NBA Lockout [comments],"Hayden, Grant M. (Cited 283 times)",7360,"Hofstra Labor and Employment Law Journal, Vol. 16, Issue 2 (Spring 1999), pp. 453-468",na,5,na,11,na
Limits of Social Choice Theory: A Defense of the Voting Rights Act [article],"Hayden, Grant M. (Cited 283 times)",7360,"Tulane Law Review , Vol. 74, Issue 1 (November 1999), pp. 87-132",74 Tul. L. Rev. 87 (1999-2000),4,na,3,na
Refocusing on Race [article],"Hayden, Grant M. (Cited 283 times)",7360,"George Washington Law Review, Vol. 73, Issues 5 and 6 (August 2005), pp. 1254-1273",na,3,na,3,na
Larry from the Left: An Appreciation [article],"Hayden, Grant M. (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"Virginia Law and Business Review, Vol. 8, Issue 2 (Spring 2014), pp. 121-148",8 Va. L. & Bus. Rev. 121 (2014),3,na,5,na
Abstention: The Unexpected Power of Withholding Your Vote [article],"Hayden, Grant M. (Cited 283 times)",7360,"Connecticut Law Review, Vol. 43, Issue 2 (December 2010), pp. 585-616",43 Conn. L. Rev. 585 (2010-2011),2,na,15,na
Arrow's Theorem and the Exclusive Shareholder Franchise [comments],"Hayden, Grant (Cited 283 times); Bodie, Matthew (Cited 21 times)",7360,"Vanderbilt Law Review, Vol. 62, Issue 4 (May 2009), pp. 1215-1244",na,1,na,6,na
A Game Changer for the Political Economy of Economic Development Incentives [article],"Ellis, Stephen (Cited 4 times); Hayden, Grant (Cited 283 times); Rogers, Cynthia (Cited 4 times)",7360,"Arizona Law Review, Vol. 56, Issue 4 (2014), pp. 953-976",56 Ariz. L. Rev. 953 (2014),1,na,17,na
Sins of Omission: Abstention in Democratic Institutions [article],"Hayden, Grant M. (Cited 283 times)",7360,"University of Illinois Law Review, Vol. 2016, Issue 2 (2016), pp. 425-444",2016 U. Ill. L. Rev. 425 (2016),na,na,12,na
Shareholder Voting and the Symbolic Politics of Corporation as Contract [article],"Hayden, Grant M. (Cited 283 times); Bodie, Matthew T. (Cited 385 times)",7360,"Wake Forest Law Review, Vol. 53, Issue 3 (2018), pp. 511-558",53 Wake Forest L. Rev. 511 (2018),na,na,36,na
