Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Can Treasury Overrule the Supreme Court [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Boston University Law Review, Vol. 84, Issue 1 (February 2004), pp. 185-246",84 B.U. L. Rev. 185 (2004),71,2,4,na
Controlling Executive Compensation through the Tax Code [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Washington and Lee Law Review, Vol. 64, Issue 3 (Summer 2007), pp. 877-926",64 Wash. & Lee L. Rev. 877 (2007),42,na,10,na
Reforming the Taxation of Deferred Compensation [article],"Yale, Ethan (Cited 60 times); Polsky, Gregg D. (Cited 361 times)",8549,"North Carolina Law Review, Vol. 85, Issue 2 (January 2007), pp. 571-635",85 N.C. L. Rev. 571 (2006-2007),26,na,5,na
Regulating Section 527 Organizations [article],"Polsky, Gregg D. (Cited 361 times); Charles, Guy-Uriel E. (Cited 367 times)",8549,"George Washington Law Review, Vol. 73, Issues 5 and 6 (August 2005), pp. 1000-1035",na,25,1,7,na
The Diminishing Returns of Incentive Pay in Executive Compensation Contracts [article],"Lund, Andrew C. W. (Cited 75 times); Polsky, Gregg D. (Cited 361 times)",8549,"Notre Dame Law Review, Vol. 87, Issue 2 (December 2011), pp. 677-736",87 Notre Dame L. Rev. 677 (December 2011),21,na,23,na
A Tax Lawyer's Perspective on Section 527 Organizations [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Cardozo Law Review, Vol. 28, Issue 4 (February 2007), pp. 1773-1788",28 Cardozo L. Rev. 1773 (February 2007),20,na,1,na
Acqui-Hiring [article],"Coyle, John F. (Cited 187 times); Polsky, Gregg D. (Cited 361 times)",8549,"Duke Law Journal, Vol. 63, Issue 2 (November 2013), pp. 281-346",63 Duke L.J. 281 (2013-2014),20,na,45,na
Taxing Punitive Damages [article],"Polsky, Gregg D. (Cited 361 times); Markel, Dan (Cited 619 times)",8549,"Virginia Law Review, Vol. 96, Issue 6 (October 2010), pp. 1295-1360",96 Va. L. Rev. 1295 (2010),19,na,8,na
A Correct Analysis of the Tax Treatment of Contingent Attorney's Fee Arrangements: Enough with the Fruits and the Trees [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Georgia Law Review, Vol. 37, Issue 1 (Fall 2002), pp. 57-122",37 Ga. L. Rev. 57 (2002-2003),17,na,1,na
Deterring Tax-Driven Partnership Allocations [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Tax Lawyer, Vol. 64, Issue 1 (Fall 2010), pp. 97-124",64 Tax Law. 97 (2010-2011),15,na,21,na
Employment Discrimination Remedies and Tax Gross Ups [article],"Polsky, Gregg D. (Cited 361 times); Befort, Stephen F. (Cited 795 times)",8549,"Iowa Law Review, Vol. 90, Issue 1 (October 2004), pp. 67-120",90 Iowa L. Rev. 67 (2004-2005),13,1,7,na
Examining the Tax Advantage of Founders Stock [article],"Polsky, Gregg D. (Cited 361 times); Hellwig, Brant J. (Cited 93 times)",8549,"Iowa Law Review, Vol. 97, Issue 4 (May 2012), pp. 1085-1146",97 Iowa L. Rev. 1085 (2011-2012),11,na,6,na
Taxing the Promise to Pay [article],"Polsky, Gregg D. (Cited 361 times); Hellwig, Brant J. (Cited 93 times)",8549,"Minnesota Law Review, Vol. 89, Issue 4 (April 2005), pp. 1092-1152",89 Minn. L. Rev. 1092 (2004-2005),11,na,2,na
Taxing Structured Settlements [article],"Polsky, Gregg D. (Cited 361 times); Hellwig, Brant J. (Cited 93 times)",8549,"Boston College Law Review, Vol. 51, Issue 1 (January 2010), pp. 39-94",51 B.C. L. Rev. 39 (2010),9,na,4,na
Rationally Cutting Tax Expenditures [article],"Polsky, Gregg D. (Cited 361 times)",8549,"University of Louisville Law Review, Vol. 50, Issue 4 (2012), pp. 643-658",na,8,na,6,na
"The Contingent Attorney's Fee Tax Trap: Ethical, Fiduciary Duty, and Malpractice Implications [comments]","Polsky, Gregg D. (Cited 361 times)",8549,"Virginia Tax Review, Vol. 23, Issue 3 (Winter 2004), pp. 615-638",na,8,na,na,na
Litigation Expenses and the Alternative Minimum Tax [article],"Hellwig, Brant J. (Cited 93 times); Polsky, Gregg D. (Cited 361 times)",8549,"Florida Tax Review, Vol. 6, Issue 9 (2004), pp. 899-948",6 Fla. Tax Rev. 899 (2003-2005),7,na,4,na
"The End of Cash, the Income Tax, and the Next 100 Years [article]","Kahn, Jeffrey H. (Cited 192 times); Polsky, Gregg D. (Cited 361 times)",8549,"Florida State University Law Review, Vol. 41, Issue 1 (Fall 2013), pp. 159-172",na,5,na,13,na
Fixing Section 409A: Legislative and Administrative Options [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Villanova Law Review, Vol. 57, Issue 3 (2012), pp. 635-652",na,5,na,4,na
Tax Consequences of Disturbing Equity Compensation Rights in Divorce [article],"Polsky, Gregg D. (Cited 361 times); Fisher, Jeffrey D. (Cited 4 times); Potter, Zachary R. (Cited 2 times)",8549,"Florida Bar Journal, Vol. 88, Issue 1 (January 2014), pp. 18-22",88 Fla. B.J. 18 (2014),2,na,na,na
The Up-C Revolution [article],"Polsky, Gregg D. (Cited 361 times); Rosenzweig, Adam H. (Cited 122 times)",8549,"Tax Law Review, Vol. 71, Issue 2 (Winter 2018), pp. 415-ii",71 Tax L. Rev. 415 (2017-2018),2,na,80,na
The Problem of Abusive Related-Partner Allocations [article],"Cauble, Emily (Cited 47 times); Polsky, Gregg D. (Cited 361 times)",8549,"Florida Tax Review, Vol. 16, Issue 9 (2014), pp. 479-[ii]",16 Fla. Tax Rev. 479 (2014),1,na,5,na
Taxing Litigation: Federal Tax Concerns of Personal Injury Plaintiffs and Their Lawyers [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Florida Tax Review, Vol. 22, Issue 1 (2018), pp. 120-179",22 Fla. Tax Rev. 120 (2018),na,na,6,na
What are the Tax Consequences for Plaintiffs who Hire Their Attorneys on a Contingency Fee Basis (03-892) (03-907) [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Preview of United States Supreme Court Cases, Vol. 2004-2005, Issue 2 (November 1, 2004), pp. 73-75",na,na,na,2,na
Reconstructing the Individual Mandate as an Escrow Account [article],"Polsky, Gregg D. (Cited 361 times)",8549,"Michigan Law Review First Impressions, Vol. 109, pp. 73-77",109 Mich. L. Rev. First Impressions 73 (2010),na,na,2,na
Taxing Compensatory Stock Rights Transferred in Divorce [article],"Polsky, Gregg (Cited 361 times); Thomas, Kathleen DeLaney (Cited 41 times)",8549,"North Carolina Law Review, Vol. 93, Issue 3 (March 2015), pp. 741-782",93 N.C. L. Rev. 741 (March 2015),na,1,4,na
Revisiting the Taxation of Punitive Damages [comments],"Polsky, Gregg D. (Cited 361 times); Markel, Dan (Cited 619 times)",8549,"Virginia Law Review in Brief, Vol. 97, pp. 73-82",na,na,na,1,na
Explaining Choice-of-Entity Decisions by Silicon Valley Start-Ups [article],"Polsky, Gregg (Cited 361 times)",8549,"Hastings Law Journal, Vol. 70, Issue 2 (February 2019), pp. 409-454",70 Hastings L.J. 409 (2018-2019),na,na,na,na
