Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Putting the Financial Stability in Financial Stability Oversight Council [article],"Allen, Hilary J. (Cited 71 times)",163,"Ohio State Law Journal, Vol. 76, Issue 5 (2015), pp. 1087-1152",76 Ohio St. L.J. 1087 (2015),15,na,75,na
A New Philosophy for Financial Stability Regulation [article],"Allen, Hilary J. (Cited 71 times)",163,"Loyola University Chicago Law Journal, Vol. 45, Issue 1 (Fall 2013), pp. 173-232",45 Loy. U. Chi. L.J. 173 (2013-2014),15,na,19,na
"Pathologies of Banking Business as Usual, the [article]","Allen, Hilary J. (Cited 71 times)",163,"University of Pennsylvania Journal of Business Law, Vol. 17, Issue 3 (Spring 2015), pp. 861-924",17 U. Pa. J. Bus. L. 861 (2014-2015),9,na,14,na
Cocos Can Drive Markets Cuckoo [article],"Allen, Hilary J. (Cited 71 times)",163,"Lewis & Clark Law Review, Vol. 16, Issue 1 (Spring 2012), pp. 125-168",16 Lewis & Clark L. Rev. 125 (2012),9,na,8,na
$=Euro=Bitcoin [article],"Allen, Hilary J. (Cited 71 times)",163,"Maryland Law Review, Vol. 76, Issue 4 (2017), pp. 877-939",76 Md. L. Rev. 877 (2016-2017),8,na,138,na
Let's Talk about Tax: Fixing Bank Incentives to Sabotage Stability [article],"Allen, Hilary J. (Cited 71 times)",163,"Fordham Journal of Corporate and Financial Law, Vol. 18, Issue 4 (2013), pp. 821-888",18 Fordham J. Corp. & Fin. L. 821 (2012-2013),5,na,7,na
Money Market Fund Reform Viewed through a Systemic Risk Lens [article],"Allen, Hilary J. (Cited 71 times)",163,"Journal of Business and Securities Law, Vol. 11, Issue 1 (Fall 2010), pp. 87-110",11 J. Bus. & Sec. L. 87 (2010-2011),4,na,2,na
Financial Stability Regulation as Indirect Investor/Consumer Protection Regulation: Implications for Regulatory Mandates and Structure [article],"Allen, Hilary J. (Cited 71 times)",163,"Tulane Law Review, Vol. 90, Issue 5 (June 2016), pp. 1113-1142",na,3,na,21,na
What Is Financial Stability - The Need for Some Common Language in International Financial Regulation [article],"Allen, Hilary J. (Cited 71 times)",163,"Georgetown Journal of International Law, Vol. 45, Issue 4 (2014), pp. 929-952",45 Geo. J. Int'l L. 929 (2013-2014),2,na,24,na
The SEC as Financial Stability Regulator [article],"Allen, Hilary J. (Cited 71 times)",163,"Journal of Corporation Law, Vol. 43, Issue 4 (Summer 2018), pp. 715-774",43 J. Corp. L. 715 (2017-2018),na,na,77,na
