Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Images of the Outsider in American Law and Culture: Can Free Expression Remedy Systemic Social Ills [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Cornell Law Review, Vol. 77, pp. 1258-1297",77 Cornell L. Rev. 1258 (1991-1992),270,na,99,na
Critical Race Theory: An Annotated Bibliography [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Virginia Law Review, Vol. 79, Issue 2 (March 1993), pp. 461-516",na,166,na,102,na
Norms and Narratives: Can Judges Avoid Serious Moral Error [comments],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Texas Law Review, Vol. 69, Issue 7 (June 1991), pp. 1929-1984",na,118,na,21,na
"Why Do We Tell the Same Stories: Law Reform, Critical Librarianship, and the Triple Helix Dilemma [article]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Stanford Law Review, Vol. 42, Issue 1 (November 1989), pp. 207-226",na,80,na,17,na
California's Racial History and Constitutional Rationales for Race-Conscious Decision Making in Higher Education [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"UCLA Law Review, Vol. 47, Issue 6 (August 2000), pp. 1521-1614",na,44,na,39,na
The Social Construction of Brown v. Board of Education: Law Reform and the Reconstructive Paradox [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"William and Mary Law Review, Vol. 36, Issue 2 (January 1995), pp. 547-570",na,42,na,22,na
"Hateful Speech, Loving Communities: Why Our Notion of a Just Balance Changes so Slowly [comments]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"California Law Review, Vol. 82, Issue 4 (July 1994), pp. 851-870",na,35,na,10,na
A Shifting Balance: Freedom of Expression and Hate-Speech Restriction [article],"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)",1375,"Iowa Law Review, Vol. 78, Issue 3 (March 1993), pp. 737-750",na,34,na,257,na
Home-Grown Racism: Colorado's Historic Embrace - And Denial - of Equal Opportunity in Higher Education [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"University of Colorado Law Review, Vol. 70, Issue 3 (Summer 1999), pp. 703-812",70 U. Colo. L. Rev. 703 (Summer 1999),32,na,6,na
Imposition [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"William and Mary Law Review, Vol. 35, Issue 3 (Spring 1994), pp. 1025-1060",35 Wm. & Mary L. Rev. 1025 (1993-1994),31,na,12,na
The Law Review Symposium Issue: Community of Meaning or Re-Inscription of Hierarchy [article],"Stefancic, Jean (Cited 1241 times)",1375,"University of Colorado Law Review, Vol. 63, Issue 3 (1992), pp. 651-682",na,27,na,7,na
"Critical Race Theory: An Annotated Bibliography 1993, A Year of Transition [comments]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"University of Colorado Law Review, Vol. 66, Issue 1 (1995), pp. 159-194",na,24,na,49,na
"The Racial Double Helix: Watson, Crick, and Brown v. Board of Education (Our No-Bell Prize Award Speech) [comments]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Howard Law Journal, Vol. 47, Issue 3 (Spring 2004), pp. 473-498",na,23,na,1,na
Introduction [comments],"Stefancic, Jean (Cited 1241 times); Shapiro, Fred R. (Cited 705 times)",1375,"Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 743-750",na,22,na,16,na
Latino and Latina Critical Theory: An Annotated Bibliography [article],"Stefancic, Jean (Cited 1241 times)",1375,"California Law Review, Vol. 85, Issue 5 (October 1997), pp. 1509-1584",na,20,na,11,na
Ten Arguments against Hate-Speech Regulation: How Valid [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Northern Kentucky Law Review, Vol. 23, Issue 3 (1995-1996), pp. 475-490",na,19,na,na,na
Four Observations about Hate Speech [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Wake Forest Law Review, Vol. 44, Issue 2 (2009), pp. 353-370",na,18,na,102,na
Outsider Jurisprudence and the Electronic Revolution: Will Technology Help or Hinder the Cause of Law Reform [article],"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)",1375,"Ohio State Law Journal, Vol. 52, Issue 3 (1991), pp. 847-858",52 Ohio St. L.J. 847 (1991),18,na,6,na
Pornography and Harm to Women: No Empirical Evidence [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Ohio State Law Journal, Vol. 53, Issue 4 (1992), pp. 1037-1056",53 Ohio St. L.J. 1037 (1992),16,na,34,na
Latino and Latina Critical Theory: An Annotated Bibliography [notes],"Stefancic, Jean (Cited 1241 times)",1375,"La Raza Law Journal, Vol. 10, Issue 1 (Spring 1998), pp. 423-498",na,15,na,25,na
Why Do We Ask the Same Questions - The Triple Helix Dilemma Revisited [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Law Library Journal, Vol. 99, Issue 2 (Spring 2007), pp. 307-328",na,15,na,25,na
Derrick Bell's Chronicle of the Space Traders: Would the U.S. Sacrifice People of Color if the Price were Right [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"University of Colorado Law Review, Vol. 62, Issue 2 (1991), pp. 321-330",62 U. Colo. L. Rev. 321 (1991),14,na,50,na
Multiracialism: A Bibliographic Essay and Critique in Memory of Trina Grillo [article],"Stefancic, Jean (Cited 1241 times)",1375,"Minnesota Law Review, Vol. 81, Issue 6 (June 1997), pp. 1521-1540",na,13,na,9,na
"Critical Perspectives on Police, Policing, and Mass Incarceration [article]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Georgetown Law Journal, Vol. 104, Issue 6 (August 2016), pp. 1531-1558",104 Geo. L.J. 1531 (August 2016),12,na,167,na
"Law Review Symposium: A Hard Party to Crash for Crits, Feminists, and Other Outsiders [article]","Stefancic, Jean (Cited 1241 times)",1375,"Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 989-1000",na,10,na,5,na
Cosmopolitanism Inside Out: International Norms and the Struggle for Civil Rights and Local Justice [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Connecticut Law Review, Vol. 27, Issue 3 (Spring 1995), pp. 773-788",na,9,na,4,na
Outsider Scholars: The Early Stories [article],"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)",1375,"Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 1001-1016",na,8,na,2,na
"Apologize and Move On: Finding a Remedy for Pornography, Insult, and Hate Speech [reviews]","Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"University of Colorado Law Review, Vol. 67, Issue 1 (1996), pp. 93-112",na,8,na,7,na
Can Lawyers Find Happiness [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",1375,"Syracuse Law Review, Vol. 58, Issue 2 (2008), pp. 241-260",na,8,na,15,na
