Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Rethinking the Theory of Legal Rights [article],"Coleman, Jules L. (Cited 1663 times); Kraus, Jody (Cited 400 times)",2654,"Yale Law Journal, Vol. 95, Issue 7 (June 1986), pp. 1335-1372",95 Yale L.J. 1335 (1985-1986),118,na,47,na
The Correspondence of Contract and Promise [article],"Kraus, Jody S. (Cited 400 times)",2654,"Columbia Law Review , Vol. 109, Issue 7 (November 2009), pp. 1603-1649",109 Colum. L. Rev. 1603 (2009),62,na,85,na
Legal Design and the Evolution of Commercial Norms [article],"Kraus, Jody S. (Cited 400 times)",2654,"Journal of Legal Studies, Vol. 26, Issue 2 - Part 1 (June 1997), pp. 377-412",26 J. Legal Stud. 377 (1997),62,na,8,na
Contract Design and the Structure of Contractual Intent [article],"Kraus, Jody S. (Cited 400 times); Scott, Robert E. (Cited 6156 times)",2654,"New York University Law Review , Vol. 84, Issue 4 (October 2009), pp. 1023-1104",84 N.Y.U. L. Rev. 1023 (2009),54,1,38,na
Transparency and Determinacy in Common Law Adjudication: A Philosophical Defense of Explanatory Economic Analysis [article],"Kraus, Jody S. (Cited 400 times)",2654,"Virginia Law Review, Vol. 93, Issue 2 (April 2007), pp. 287-360",93 Va. L. Rev. 287 (2007),50,na,7,na
Decoupling Sales Law from the Acceptance-Rejection Fulcrum [article],"Kraus, Jody S. (Cited 400 times)",2654,"Yale Law Journal, Vol. 104, Issue 1 (October 1994), pp. 129-206",104 Yale L.J. 129 (October 1994),19,na,9,na
Legal Determinacy and Moral Justification [comments],"Kraus, Jody S. (Cited 400 times)",2654,"William and Mary Law Review , Vol. 48, Issue 5 (April 2007), pp. 1773-1788",na,14,na,10,na
Political Liberalism and Truth [article],"Kraus, Jody S. (Cited 400 times)",2654,"Legal Theory, Vol. 5, Issue 1 (March 1999), pp. 45-74",5 LEG 45 (1999),8,na,8,na
From Langdell to Law and Economics: Two Conceptions of Stare Decisis in Contract Law and Theory [article],"Kraus, Jody S. (Cited 400 times)",2654,"Virginia Law Review, Vol. 94, Issue 1 (March 2008), pp. 157-196",na,6,na,5,na
Personal Sovereignty and Normative Power Skepticism [comments],"Kraus, Jody S. (Cited 400 times)",2654,"Columbia Law Review Sidebar, Vol. 109, pp. 126-134",109 Colum. L. Rev. Sidebar 126 (2009),2,na,13,na
A Comparison of Corrective Effects of Probation and Detention on Male Juvenile Offenders [article],"Kraus, J. (Cited 400 times)",2654,"British Journal of Criminology, Vol. 14, Issue 1 (January 1974), pp. 49-62",14 Brit. J. Criminology 49 (1974),1,na,17,na
Remand in Custody as a Deterrent in Juvenile Jurisdiction [article],"Kraus, J. (Cited 400 times)",2654,"British Journal of Criminology, Vol. 18, Issue 3 (July 1978), pp. 285-289",18 Brit. J. Criminology 285 (1978),1,na,29,na
"Critique of the Efficient Performance Hypothesis, A","Kraus, Jody S. (Cited 400 times)",2654,na,"Kraus, Jody S. (Cited 400 times)",na,na,na,na
Judicial Labels as a Typology of Offences Committed by Male Juveniles [article],"Kraus, J. (Cited 400 times)",2654,"British Journal of Criminology, Vol. 13, Issue 3 (July 1973), pp. 269-274",13 Brit. J. Criminology 269 (1973),na,na,2,na
