Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"No-Drop Prosecution of Domestic Violence: Just Good Policy, or Equal Protection Mandate [notes]","Robbins, Kalyani (Cited 97 times)",6732,"Stanford Law Review, Vol. 52, Issue 1 (November 1999), pp. 205-234",na,37,na,24,na
Awakening the Slumbering Giant: How Horizontal Drilling Technology Brought the Endangered Species Act to Bear on Hydraulic Fracturing [article],"Robbins, Kalyani (Cited 97 times)",6732,"Case Western Reserve Law Review, Vol. 63, Issue 4 (Summer 2013), pp. 1143-1166",na,16,na,36,na
Paved with Good Intentions: The Fate of Strict Liability under the Migratory Bird Treaty Act [article],"Robbins, Kalyani (Cited 97 times)",6732,"Environmental Law, Vol. 42, Issue 2 (Spring 2012), pp. 579-608",na,12,na,7,na
Recovery of an Endangered Provision: Untangling and Revising Critical Habitat under the Endangered Species Act [article],"Robbins, Kalyani (Cited 97 times)",6732,"Buffalo Law Review, Vol. 58, Issue 5 (December 2010), pp. 1095-1126",58 Buff. L. Rev. 1095 (2010),11,na,20,na
Framers' Intent and Military Power: Has Supreme Court Deference to the Military Gone too Far [article],"Robbins, Kalyani (Cited 97 times)",6732,"Oregon Law Review, Vol. 78, Issue 3 (Fall 1999), pp. 767-806",78 Or. L. Rev. 767 (1999),7,na,1,na
"Responsible, Renewable, and Redesigned: How the Renewable Energy Movement Can Make Peace with the Endangered Species Act [article]","Robbins, Kalyani (Cited 97 times)",6732,"Minnesota Journal of Law, Science and Technology, Vol. 15, Issue 1 (Winter 2014), pp. 555-584",na,5,na,7,na
Strength in Numbers: Setting Quantitative Criteria for Listing Species under the Endangered Species Act [article],"Robbins, Kalyani (Cited 97 times)",6732,"UCLA Journal of Environmental Law and Policy, Vol. 27, Issue 1 (2009), pp. 1-38",27 UCLA J. Envtl. L. & Pol'y 1 (2009),3,na,8,na
Missing the Link: The Importance of Keeping Ecosystems Intact and What the Endangered Species Act Suggests We Do About It [article],"Robbins, Kalyani (Cited 97 times)",6732,"Environmental Law, Vol. 37, Issue 3 (Summer 2007), pp. 573-594",37 Envtl. L. 573 (2007),2,na,1,na
Allocating Property Interests in Ecosystem Services: From Chaos to Flowing Rivers [article],"Robbins, Kalyani (Cited 97 times)",6732,"Harvard Environmental Law Review, Vol. 42, Issue 1 (2018), pp. 197-230",42 Harv. Envtl. L. Rev. 197 (2018),2,na,41,na
The Biodiversity Paradigm Shift: Adapting the Endangered Species Act to Climate Change [article],"Robbins, Kalyani (Cited 97 times)",6732,"Fordham Environmental Law Review, Vol. 27, Issue 1 (2015), pp. 57-105",27 Fordham Envtl. L. Rev. 57 (2015-2016),1,na,24,na
Governing the Ungovernable: Integrating the Multimodal Approach to Keeping Agricultural Land Use from Swallowing Ecosystems [article],"Robbins, Kalyani (Cited 97 times)",6732,"McGeorge Law Review, Vol. 46, Issue 1 (2014), pp. 67-80",na,1,na,1,na
Symposium: The Next Generation of Environmental and Natural Resources Law: What Has Changed in Forty Years and What Needs to Change as a Result: Introduction [comments],"Robbins, Kalyani (Cited 97 times)",6732,"Akron Law Review, Vol. 46, Issue 4 (2013), pp. 837-840",na,na,na,5,na
"Complementary Authority and the One-Way Ratchet: Ecosystem Services Property, Regulation, and Wildlife Conservation [comments]","Robbins, Kalyani (Cited 97 times)",6732,"Environmental Law, Vol. 48, Issue 2 (Spring 2018), pp. 291-310",na,na,na,20,na
"Lesser Conservation: The U.S. Fish & Wildlife Service Proposes Threatened Listing for the Lesser Prairie-chicken, Then Guts It [article]","Robbins, Kalyani (Cited 97 times)",6732,"Trends, Vol. 45, Issue 2 (November/December 2013), pp. 21-22",na,na,na,na,na
Implications of the Tax Reform Proposals for Fraud or How to Shift to a Consumption Tax without Helping the Cheaters [article],"Robbins, Kalyani (Cited 97 times)",6732,"Taxes - The Tax Magazine, Vol. 77, Issue 6 (June 1999), pp. 41-46",77 Taxes 41 (1999),na,na,na,na
Symposium: Environmental Federalism in the Trump Era: Introduction [comments],"Robbins, Kalyani (Cited 97 times)",6732,"FIU Law Review, Vol. 13, Issue 1 (2018), pp. 1-4",na,na,na,8,na
