Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Bankruptcy or Bailouts [article],"Ayotte, Kenneth (Cited 235 times); Skeel, David A. Jr. (Cited 1921 times)",1878,"Journal of Corporation Law , Vol. 35, Issue 3 (Spring 2010), pp. 469-498",35 J. Corp. L. 469 (Spring 2010),66,na,63,na
Creditor Control and Conflict in Chapter 11 [article],"Ayotte, Kenneth M. (Cited 235 times); Morrison, Edward R. (Cited 367 times)",1878,"Journal of Legal Analysis, Vol. 1, Issue 2 (Summer 2009), pp. 511-[ii]",1 J. Legal Analysis 511 (2009),57,na,109,na
An Efficiency-Based Explanation for Current Corporate Reorganization Practice [reviews],"Ayotte, Kenneth (Cited 235 times); Skeel, David A. Jr. (Cited 1921 times)",1878,"University of Chicago Law Review, Vol. 73, Issue 1 (Winter 2006), pp. 425-468",na,40,na,11,na
Protecting Future Claimants in Mass Tort Bankruptcies [article],"Listokin, Yair (Cited 387 times); Ayotte, Kenneth (Cited 235 times)",1878,"Northwestern University Law Review, Vol. 98, Issue 4 (2004), pp. 1435-1504",98 Nw. U. L. Rev. 1435 (2003-2004),26,na,9,na
Bankruptcy and Entrepreneurship: The Value of a Fresh Start [article],"Ayotte, Kenneth (Cited 235 times)",1878,"Journal of Law, Economics, and Organization , Vol. 23, Issue 1 (April 2007), pp. 161-185",na,14,na,na,na
Bankruptcy Law as a Liquidity Provider [article],"Ayotte, Kenneth (Cited 235 times); Skeel, David A. Jr. (Cited 1921 times)",1878,"University of Chicago Law Review, Vol. 80, Issue 4 (Fall 2013), pp. 1557-1624",80 U. Chi. L. Rev. 1557 (2013),12,na,17,na
Legal Entities as Transferable Bundles of Contracts [article],"Ayotte, Kenneth (Cited 235 times); Hansmann, Henry (Cited 3301 times)",1878,"Michigan Law Review, Vol. 111, Issue 5 (March 2013), pp. 715-758",111 Mich. L. Rev. 715 (2012-2013),9,4,38,na
Bankruptcy on the Side [article],"Ayotte, Kenneth (Cited 235 times); Casey, Anthony J. (Cited 280 times); Skeel, David A. Jr. (Cited 1921 times)",1878,"Northwestern University Law Review, Vol. 112, Issue 2 (2017), pp. 255-312",112 Nw. U. L. Rev. 255 (2017-2018),5,na,54,na
Optimal Trust Design in Mass Tort Bankruptcy [article],"Ayotte, Kenneth (Cited 235 times); Listokin, Yair (Cited 387 times)",1878,"American Law and Economics Review, Vol. 7, Issue 2 (Fall 2005), pp. 403-438",na,2,na,na,na
Valuation Disputes in Corporate Bankruptcy [article],"Ayotte, Kenneth (Cited 235 times); Morrison, Edward R. (Cited 367 times)",1878,"University of Pennsylvania Law Review, Vol. 166, Issue 7 (June 2018), pp. 1819-1852",166 U. Pa. L. Rev. 1819 (2017-2018),1,na,29,na
Leases and Executory Contracts in Chapter 11 [article],"Ayotte, Kenneth (Cited 235 times)",1878,"Journal of Empirical Legal Studies, Vol. 12, Issue 4 ( December 2015), pp. 637-663",12 J. Empirical Legal Stud. 637 (2015),1,na,5,na
Matching Bankruptcy Laws to Legal Environments [article],"Ayotte, Kenneth (Cited 235 times); Yun, Hayong (Cited 1 times)",1878,"Journal of Law, Economics, and Organization , Vol. 25, Issue 1 (May 2009), pp. 2-30",na,1,na,na,na
