Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Rethinking Mental States [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 72, Issue 3 (May 1992), pp. 463-554",72 B.U. L. Rev. 463 (May 1992),133,3,22,na
Assumption of Risk and Consent in the Law of Torts: A Theory of Full Preference [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 67, Issue 2 (March 1987), pp. 213-288",67 B.U. L. Rev. 213 (1987),78,2,32,na
Equality as a Comparative Right [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 65, Issue 3 (May 1985), pp. 387-482",65 B.U. L. Rev. 387 (1985),72,2,13,na
Corrective Justice and Liability for Risk-Creation: A Comment [article],"Simons, Kenneth W. (Cited 961 times)",1030,"UCLA Law Review, Vol. 38, Issue 1 (October 1990), pp. 113-142",38 UCLA L. Rev. 113 (1990-1991),55,na,14,na
When is Strict Criminal Liability Just [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Journal of Criminal Law and Criminology, Vol. 87, Issue 4 (Summer 1997), pp. 1075-1137",na,45,na,49,na
Overinclusion and Underinclusion: A New Model [article],"Simons, Kenneth W. (Cited 961 times)",1030,"UCLA Law Review, Vol. 36, Issue 3 (February 1989), pp. 447-528",36 UCLA L. Rev. 447 (1988-1989),42,1,8,na
The Logic of Egalitarian Norms [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 80, Issue 3 (June 2000), pp. 693-772",80 B.U. L. Rev. 693 (2000),38,na,7,na
The Hand Formula in the Draft Restatement (Third) of Torts: Encompassing Fairness as Well as Efficiency Values [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Vanderbilt Law Review, Vol. 54, Issue 3 (April 2001), pp. 901-940",na,35,na,20,na
A Restatement (Third) of Intentional Torts [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Arizona Law Review, Vol. 48, Issue 4 (2006), pp. 1061-1102",na,35,1,65,na
"Deontology, Negligence, Tort, and Crime [article]","Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 76, Issue 1 & 2 (February & April 1996), pp. 273-300",na,34,na,60,na
"Offers, Threats, and Unconstitutional Conditions [article]","Simons, Kenneth W. (Cited 961 times)",1030,"San Diego Law Review, Vol. 26, Issue 2 (March/April 1989), pp. 289-326",26 San Diego L. Rev. 289 (1989),32,2,6,na
Should the Model Penal Code's Mens Rea Provisions Be Amended [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Ohio State Journal of Criminal Law, Vol. 1, Issue 1 (Fall 2003), pp. 179-206",na,28,na,31,na
Does Punishment for Culpable Indifference Simply Punish for Bad Character - Examining the Requisite Connection between Mens Rea and Actus Reus [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Buffalo Criminal Law Review, Vol. 6, Issue 1 (2002), pp. 219-316",na,27,na,19,na
Reflections on Assumption of Risk [article],"Simons, Kenneth W. (Cited 961 times)",1030,"UCLA Law Review, Vol. 50, Issue 2 (December 2002), pp. 481-530",na,26,3,17,na
Culpability and Retributive Theory: The Problem of Criminal Negligence [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Journal of Contemporary Legal Issues, Vol. 5, pp. 365-398",na,25,na,46,na
The Puzzling Doctrine of Contributory Negligence [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Cardozo Law Review, Vol. 16, Issue 5 (March 1995), pp. 1693-1748",16 Cardozo L. Rev. 1693 (March 1995),24,na,19,na
"Mistake and Impossibility, Law and Fact, and Culpability: A Speculative Essay [article]","Simons, Kenneth W. (Cited 961 times)",1030,"Journal of Criminal Law and Criminology, Vol. 81, Issue 3 (Fall 1990), pp. 447-517",na,24,na,10,na
"The Relevance of Community Values to Just Deserts: Criminal Law, Punishment Rationales, and Democracy [article]","Simons, Kenneth W. (Cited 961 times)",1030,"Hofstra Law Review, Vol. 28, Issue 3 (Spring 2000), pp. 635-668",na,23,na,20,na
Justification in Private Law [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Cornell Law Review, Vol. 81, Issue 3 , pp. 698-743",na,21,na,6,na
"Self-Defense, Mens Rea, and Bernhard Goetz [reviews]","Simons, Kenneth W. (Cited 961 times)",1030,"Columbia Law Review, Vol. 89, Issue 5 (June 1989), pp. 1179-1200",na,16,na,10,na
Dimensions of Negligence in Criminal and Tort Law [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Theoretical Inquiries in Law, Vol. 3, Issue 2 (July 2002), pp. 283-332",na,16,na,26,na
Rescinding a Waiver of a Constitutional Right [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Georgetown Law Journal, Vol. 68, Issue 4 (April 1980), pp. 919-958",68 Geo. L. J. 919 (1979-1980),15,na,8,na
Jules Coleman and Corrective Justice in Tort Law: A Critique and Reformulation [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Harvard Journal of Law & Public Policy, Vol. 15, Issue 3 (Summer 1992), pp. 849-888",na,14,na,31,na
Self-Defense: Reasonable Beliefs or Reasonable Self-Control [article],"Simons, Kenneth W. (Cited 961 times)",1030,"New Criminal Law Review, Vol. 11, Issue 1 (Winter 2008), pp. 51-90",na,13,na,20,na
"The Restatement (Third) of Torts and Traditional Strict Liability: Robust Rationales, Slender Doctrines [article]","Simons, Kenneth W. (Cited 961 times)",1030,"Wake Forest Law Review, Vol. 44, Issue 5 (2009), pp. 1355-1382",na,13,na,26,na
Statistical Knowledge Deconstructed [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 92, Issue 1 (January 2012), pp. 1-88",92 B.U. L. Rev. 1 (2012),12,1,16,na
Retributivists Need Not and Should Not Endorse the Subjectivist Account of Punishment [comments],"Simons, Kenneth W. (Cited 961 times)",1030,"Columbia Law Review Sidebar, Vol. 109, pp. 1-10",na,11,na,32,na
"On Equality, Bias Crimes, and Just Deserts [article]","Simons, Kenneth W. (Cited 961 times)",1030,"Journal of Criminal Law and Criminology, Vol. 91, Issue 1 (Fall 2000), pp. 237-268",na,10,na,11,na
