Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Looking at Communities and Markets [article],"Cao, Lan (Cited 248 times)",5296,"Notre Dame Law Review, Vol. 74, Issue3 (March 1999), pp. 841-924",74 Notre Dame L. Rev. 841 (1998-1999),42,3,2,na
Corporate and Product Identity in the Postnational Economy: Rethinking U.S. Trade Laws [article],"Cao, Lan (Cited 248 times)",5296,"California Law Review, Vol. 90, Issue 2 (March 2002), pp. 401-484",90 Calif. L. Rev. 401 (March 2002),36,na,9,na
Illegal Traffic in Women: A Civil RICO Proposal [notes],"Cao, Lan (Cited 248 times)",5296,"Yale Law Journal, Vol. 96, Issue 6 (May 1987), pp. 1297-1322",na,30,na,5,na
The Cat that Catches Mice: China's Challenge to the Dominant Privatization Model [article],"Cao, Lan (Cited 248 times)",5296,"Brooklyn Journal of International Law, Vol. 21, Issue 1 (1995), pp. 97-178",na,24,na,5,na
Culture Change [article],"Cao, Lan (Cited 248 times)",5296,"Virginia Journal of International Law, Vol. 47, Issue 2 (Winter 2007), pp. 357-412",47 Va. J. Int'l L. 357 (2006-2007),21,na,44,na
Chinese Privatization: Between Plan and Market [article],"Cao, Lan (Cited 248 times)",5296,"Law and Contemporary Problems, Vol. 63, Issue 4 (Autumn 2000), pp. 13-62",na,18,na,5,na
Toward a New Sensibility for International Economic Development [article],"Cao, Lan (Cited 248 times)",5296,"Texas International Law Journal, Vol. 32, Issue 2 (Spring 1997), pp. 209-270",32 Tex. Int'l L. J. 209 (1997),15,na,1,na
The Ethnic Question in Law and Development [notes],"Cao, Lan (Cited 248 times)",5296,"Michigan Law Review, Vol. 102, Issue 6 (May 2004), pp. 1044-1103",na,15,na,2,na
Law and Economic Development: A New Beginning [reviews],"Cao, Lan (Cited 248 times)",5296,"Texas International Law Journal, Vol. 32, Issue 3 (Summer 1997), pp. 545-560",na,14,na,15,na
The Diaspora of Ethnic Economies: Beyond the Pale? [article],"Cao, Lan (Cited 248 times)",5296,"William and Mary Law Review, Vol. 44, Issue 4 (March 2003), pp. 1521-1626",44 Wm. & Mary L. Rev. 1521 (2002-2003),8,na,11,na
The Transnational and Sub-National in Global Crimes [article],"Cao, Lan (Cited 248 times)",5296,"Berkeley Journal of International Law, Vol. 22, Issue 1 (2004), pp. 59-97",na,7,na,16,na
Law Reform in Vietnam: The Uneven Legacy of Doi Moi [article],"Waller, Spencer Weber (Cited 915 times); Cao, Lan (Cited 248 times)",5296,"New York University Journal of International Law and Politics, Vol. 29, Issue 4 (Summer 1997), pp. 555-576",29 N.Y.U. J. Int'l L. & Pol. 555 (1996-1997),6,na,5,na
Rule of Law in China - Introduction [comments],"Cao, Lan (Cited 248 times)",5296,"William & Mary Bill of Rights Journal , Vol. 11, Issue 2 (February 2003), pp. 539-544",na,6,na,10,na
"Reflections on Market Reform in Post-War, Post-Embargo Vietnam [article]","Cao, Lan (Cited 248 times)",5296,"Whittier Law Review, Vol. 22, Issue 4 (Summer 2001), pp. 1029-1058",na,4,na,8,na
Rethinking Microfinance [article],"Cao, Lan (Cited 248 times)",5296,"University of Pennsylvania Journal of International Law, Vol. 33, Issue 4 (Summer 2012), pp. 971-996",33 U. Pa. J. Int'l L. 971 (2011-2012),1,na,14,na
Charter Cities [article],"Cao, Lan (Cited 248 times)",5296,"William & Mary Bill of Rights Journal, Vol. 27, Issue 3 (March 2019), pp. 717-764",na,1,na,na,na
Informal Institutions and Property Rights [article],"Cao, Lan (Cited 248 times)",5296,"Brigham-Kanner Property Rights Conference Journal, Vol. 1, pp. 263-279",na,na,na,7,na
Currency Wars and the Erosion of Dollar Hegemony [article],"Cao, Lan (Cited 248 times)",5296,"Michigan Journal of International Law, Vol. 38, Issue 1 (Fall 2016), pp. 57-118",38 Mich. J. Int'l L. 57 (2016-2017),na,na,35,na
Pride and Prejudice in U.S. Trade [article],"Cao, Lan (Cited 248 times)",5296,"Notre Dame Journal of International & Comparative Law, Vol. 7, Issue 2 (2017), pp. 1-57",7 Notre Dame J. Int'l Comp. L. 1 (2017),na,na,25,na
"Made in the USA: Race, Trade, and Prison Labor [article]","Cao, Lan (Cited 248 times)",5296,"New York University Review of Law & Social Change, Vol. 43, Issue 1 (2019), pp. 1-58",43 N.Y.U. Rev. L. & Soc. Change 1 (2019),na,na,na,na
