Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Relevance of Religion to a Lawyer's Work: Legal Ethics [article],"Griffin, Leslie (Cited 94 times)",9128,"Fordham Law Review, Vol. 66, Issue 4 (March 1998), pp. 1253-1282",na,37,na,12,na
The Lawyer's Dirty Hands [article],"Griffin, Leslie (Cited 94 times)",9128,"Georgetown Journal of Legal Ethics, Vol. 8, Issue 2 (Winter 1995), pp. 219-282",8 Geo. J. Legal Ethics 219 (1994-1995),22,na,9,na
Good Catholics Should be Rawlsian Liberals [article],"Griffin, Leslie (Cited 94 times)",9128,"Southern California Interdisciplinary Law Journal, Vol. 5, Issue 3 (Summer 1997), pp. 297-374",5 S. Cal. Interdisc. L. J. 297 (1996-1997),12,na,4,na
We Do Not Preach - We Teach - Religion Professors and the First Amendment [article],"Griffin, Leslie (Cited 94 times)",9128,"QLR, Vol. 19, Issue 1 (2000), pp. 1-66",19 QLR 1 (2000),6,na,6,na
What Might Have Been: Contraception and Religious Liberty [comments],"Griffin, Leslie (Cited 94 times)",9128,"University of St. Thomas Law Journal, Vol. 1, Issue 1 (Fall 2003), pp. 632-646",na,4,na,9,na
A Clients' Theory of Professionalism [article],"Griffin, Leslie (Cited 94 times)",9128,"Emory Law Journal, Vol. 52, Special Edition (2003), pp. 1087-1102",na,4,na,8,na
The Trivialization of Religion [article],"Griffin, Leslie (Cited 94 times)",9128,"Wisconsin Law Review, Vol. 1994, Issue 5 (1994), pp. 1287-1302",na,3,na,na,na
The Ethical Health Lawyer [article],"Griffin, Leslie (Cited 94 times)",9128,"Journal of Law, Medicine and Ethics, Vol. 33, Issue 1 (Spring 2005), pp. 160-162",na,2,na,1,na
Whose Duties and Liabilities to Third Parties [article],"Griffin, Leslie (Cited 94 times)",9128,"South Texas Law Review, Vol. 37, Issue 4 (October 1996), pp. 1191-1202",na,2,na,3,na
A Modest Relativism [comments],"Griffin, Leslie (Cited 94 times)",9128,"Albany Law Review, Vol. 64, Issue 4 (2001), pp. 1145-1146",na,1,na,na,na
Political Reason [article],"Griffin, Leslie (Cited 94 times)",9128,"St. John's Journal of Legal Commentary, Vol. 22, Issue 2 (Fall 2007), pp. 493-506",na,1,na,na,na
Religion and Politics 2004-2007 [article],"Griffin, Leslie (Cited 94 times)",9128,"Journal of Law and Religion, Vol. 23, Issue 1 (2007-2008), pp. 321-336",na,na,na,2,na
Religion and Politics 2008-2009 [article],"Griffin, Leslie (Cited 94 times)",9128,"Journal of Law and Religion, Vol. 25, Issue 1 (2009-2010), pp. 205-220",na,na,na,3,na
