Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Team Production Theory of Corporate Law, A [article]","Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"Virginia Law Review, Vol. 85, Issue 2 (March 1999), pp. 247-328",85 Va. L. Rev. 247 (March 1999),771,5,252,na
"Trust, Trustworthiness, and the Behavioral Foundations of Corporate Law [article]","Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"University of Pennsylvania Law Review, Vol. 149, Issue 6 (June 2001), pp. 1735-1810",na,277,2,48,na
The Unimportance of Being Efficient: An Economic Analysis of Stock Market Pricing and Securities Regulation [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Michigan Law Review, Vol. 87, Issue 3 (December 1988), pp. 613-709",87 Mich. L. Rev. 613 (1988-1989),216,1,32,na
Bad and Not-so-Bad Arguments for Shareholder Primacy [comments],"Stout, Lynn A. (Cited 3209 times)",3991,"Southern California Law Review, Vol. 75, Issue 5 (July 2002), pp. 1189-1210",na,200,na,719,na
"Are Stock Markets Costly Casinos - Disagreement, Market Failure, and Securities Regulation [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Virginia Law Review, Vol. 81, Issue 3 (April 1995), pp. 611-712",81 Va. L. Rev. 611 (1995),150,4,21,na
Why We Should Stop Teaching Dodge v. Ford [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Virginia Law and Business Review, Vol. 3, Issue 1 (Spring 2008), pp. 163-190",3 Va. L. & Bus. Rev. 163 (2008),121,na,135,na
"Are Takeover Premiums Really Premiums--Market Price, Fair Value, and Corporate Law [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Yale Law Journal , Vol. 99, Issue 6 (April 1990), pp. 1235-1296",99 Yale L.J. 1235 (April 1990),120,11,12,na
The Mechanisms of Market Inefficiency: An Introduction to the New Finance [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 28, Issue 4 (Summer 2003), pp. 635-670",na,119,10,117,na
Director Accountability and the Mediating Role of the Corporate Board [article],"Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"Washington University Law Quarterly, Vol. 79, Issue 2 (2001), pp. 403-448",na,116,na,96,na
The Mythical Benefits of Shareholder Control [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Virginia Law Review, Vol. 93, Issue 3 (May 2007), pp. 789-810",na,108,na,34,na
Why the Law Hates Speculators: Regulation and Private Ordering in the Market for OTC Derivatives [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Duke Law Journal , Vol. 48, Issue 4 (February 1999), pp. 701-786",48 Duke L.J. 701 (February 1999),105,7,32,na
In Praise of Procedure: An Economic and Behavioral Defense of Smith v. Van Gorkom and the Business Judgment Rule [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Northwestern University Law Review, Vol. 96, Issue 2 (Winter 2002), pp. 675-694",na,77,1,56,na
The Shareholder as Ulysses: Some Empirical Evidence on Why Investors in Public Corporations Tolerate Board Governance [article],"Stout, Lynn A. (Cited 3209 times)",3991,"University of Pennsylvania Law Review, Vol. 152, Issue 2 (December 2003), pp. 667-712",na,73,na,9,na
"On the Proper Motives of Corporate Directors(or, Why you Don't Want to Invite Homo Economicus to Join Your Board) [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Delaware Journal of Corporate Law, Vol. 28, Issue 1 (2003), pp. 1-26",28 Del. J. Corp. L. 1 (2003),68,1,31,na
"Type I Error, Type II Error, and the Private Securities Litigation Reform Act [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Arizona Law Review, Vol. 38, Issue 2 (1996), pp. 711-716",na,58,1,20,na
Team Production in Business Organizations: An Introduction [comments],"Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 24, Issue 4 (Summer 1999), pp. 743-750",na,57,na,41,na
Strict Scrutiny and Social Choice: An Economic Inquiry into Fundamental Rights and Suspect Classifications [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Georgetown Law Journal, Vol. 80, Issue 5 (June 1992), pp. 1787-1834",na,52,na,9,na
Derivatives and the Legal Origin of the 2008 Credit Crisis [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Harvard Business Law Review, Vol. 1, Issue 1 (Spring 2011), pp. 1-38",1 Harv. Bus. L. Rev. 1 (Spring 2011),46,na,129,na
Do Antitakeover Defenses Decrease Shareholder Wealth - The Ex Post/Ex Ante Valuation Problem [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Stanford Law Review, Vol. 55, Issue 3 (December 2002), pp. 845-862",na,40,na,16,na
The Investor Confidence Game [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Brooklyn Law Review, Vol. 68, Issue 2 (2002), pp. 407-438",na,39,na,48,na
How Efficient Markets Undervalue Stocks: CAPM and ECMH under Conditions of Uncertainty and Disagreement [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Cardozo Law Review, Vol. 19, Issues 1-2 (September-November 1997), pp. 475-492",na,39,na,79,na
Specific Investment: Explaining Anomalies in Corporate Law [article],"Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 31, Issue 3 (Spring 2006), pp. 719-744",na,36,na,19,na
Betting the Bank: How Derivatives Trading under Conditions of Uncertainty Can Increase Risks and Erode Returns in Financial Markets [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 21, Issue 1 (Fall 1995), pp. 53-68",na,31,na,25,na
On the Nature of Corporations [article],"Stout, Lynn A. (Cited 3209 times)",3991,"University of Illinois Law Review, Vol. 2005, Issue 1 (2005), pp. 253-268",na,27,4,21,na
"Technology, Transactions Costs, and Investor Welfare: Is a Motley Fool Born Every Minute [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Washington University Law Quarterly, Vol. 75, Issue 2 (Summer 1997), pp. 791-814",na,27,na,5,na
Takeovers in the Ivory Tower: How Academics Are Learning Martin Lipton May Be Right [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Business Lawyer (ABA), Vol. 60, Issue 4 (August 2005), pp. 1435-1454",na,26,na,12,na
Judges as Altruistic Hierarchs [comments],"Stout, Lynn A. (Cited 3209 times)",3991,"William and Mary Law Review, Vol. 43, Issue 4 (March 2002), pp. 1605-1628",na,26,na,14,na
"The Corporation as a Time Machine: Intergenerational Equity, Intergenerational Efficiency, and the Corporate Form [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Seattle University Law Review, Vol. 38, Issue 2 (Winter 2015), pp. 685-724",na,24,2,46,na
Some Thoughts on Poverty and Failure in the Market for Children's Human Capital [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Georgetown Law Journal, Vol. 81, Issue 5 (June 1993), pp. 1945-1960",na,23,na,5,na
The Toxic Side Effects of Shareholder Primacy [comments],"Stout, Lynn A. (Cited 3209 times)",3991,"University of Pennsylvania Law Review, Vol. 161, Issue 7 (June 2013), pp. 2003-2024",na,22,na,79,na
"On the Rise of Shareholder Primacy, Signs of its Fall, and the Return of Managerialism (in the Closet) [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Seattle University Law Review, Vol. 36, Issue 2 (Winter 2013), pp. 1169-1186",na,19,na,83,na
A Team Production Theory of Corporate Law [article],"Blair, Margaret M. (Cited 1644 times); Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 24, Issue 4 (Summer 1999), pp. 751-806",na,14,na,78,na
Agreeing to Disagree over Excessive Trading [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Virginia Law Review, Vol. 81, Issue 3 (April 1995), pp. 751-756",81 Va. L. Rev. 751 (1995),13,na,2,na
"Uncertainty, Dangerous Optimism, and Speculation: An Inquiry into Some Limits of Democratic Governance [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Cornell Law Review, Vol. 97, Issue 5 (July 2012), pp. 1177-1212",na,12,na,27,na
Killing Conscience: The Unintended Behavioral Consequences of Pay for Performance [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Journal of Corporation Law, Vol. 39, Issue 3 (Spring 2014), pp. 525-562",39 J. Corp. L. 525 (2013-2014),11,na,37,na
Regulate OTC Derivatives by Deregulating Them [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Regulation, Vol. 32, Issue 3 (Fall 2009), pp. 30-33",na,8,na,34,na
Irrational Expectations [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Legal Theory, Vol. 3, Issue 3 (September 1997), pp. 227-248",na,7,na,6,na
Share Price as a Poor Criterion for Good Corporate Law [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Berkeley Business Law Journal, Vol. 3, Issue 1 (December 2005), pp. 43-58",3 Berkeley Bus. L.J. 43 (2005-2006),6,na,4,na
The Mythical Benefits of Shareholder Control [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Regulation, Vol. 30, Issue 1 (Spring 2007), pp. 42-47",na,1,na,13,na
Banking & Finance: Response [comments],"Stout, Lynn A. (Cited 3209 times)",3991,"Regulation, Vol. 32, Issue 3 (Fall 2009), pp. 41-41",na,1,na,4,na
"Risk, Speculation, and OTC Derivatives: An Inaugural Essay for Convivium [article]","Stout, Lynn A. (Cited 3209 times)",3991,"Accounting, Economics, and Law: A Convivium, Vol. 1, Issue 1 (2011), pp. [iv]-[v]",1 Account. Econ. Law [iv] (2011),na,na,na,na
New Thinking on Shareholder Primacy [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Accounting, Economics, and Law: A Convivium, Vol. 2, Issue 2 (2012), pp. [xix]-[xx]",2 Account. Econ. Law [xix] (2012),na,na,na,na
On the Nature of Corporations [article],"Stout, Lynn A. (Cited 3209 times)",3991,"Deakin Law Review, Vol. 9, Issue 2 (2004), pp. 775-790",na,na,na,4,na
