Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Lasting Legislation [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"University of Pennsylvania Law Review, Vol. 159, Issue 4 (March 2011), pp. 1007-1068",159 U. Pa. L. Rev. 1007 (2010-2011),66,na,26,na
The Sun also Rises: The Political Economy of Sunset Provisions in the Tax Code [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Georgia Law Review, Vol. 40, Issue 2 (Winter 2006), pp. 335-406",40 Ga. L. Rev. 335 (2005-2006),44,na,43,na
Listening to Congress: Earmark Rules and Statutory Interpretation [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Cornell Law Review, Vol. 94, Issue 3 (March 2009), pp. 519-586",94 Cornell L. Rev. 519 (2008-2009),38,na,12,na
The Shell Bill Game: Avoidance and the Origination Clause [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Washington University Law Review, Vol. 91, Issue 3 (2014), pp. 659-720",91 Wash. U. L. Rev. 659 (2013-2014),9,6,7,na
On the Constitutionality of Tax Treaties [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Yale Journal of International Law, Vol. 38, Issue 1 (Winter 2013), pp. 1-56",38 Yale J. Int'l L. 1 (2013),8,3,22,na
Penalty Default Interpretative Canons [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Brooklyn Law Review, Vol. 76, Issue 3 (Spring 2011), pp. 953-966",na,7,na,3,na
Reconciling Congress to Tax Reform [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Notre Dame Law Review, Vol. 88, Issue 5 (June 2013), pp. 2121-2156",na,5,na,16,na
Interpreting Tax Treaties [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Iowa Law Review, Vol. 101, Issue 4 (May 2016), pp. 1387-1446",101 Iowa L. Rev. 1387 (2015-2016),3,na,56,na
Tax Law and the Eroding Budget Process [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Law and Contemporary Problems, Vol. 81, Issue 2 (2018), pp. 61-98",na,1,na,37,na
Critiquing - and Repairing - the New International Tax Regime [article],"Kysar, Rebecca M. (Cited 185 times)",3216,"Yale Law Journal Forum, Vol. 128, pp. 339-361",128 Yale L.J. F. 339 (2018-2019),na,na,na,na
