Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Does Affirmative Action Reduce the Number of Black Lawyers [comments],"Ayres, Ian (Cited 5291 times); Brooks, Richard (Cited 109 times)",4901,"Stanford Law Review, Vol. 57, Issue 6 (May 2005), pp. 1807-1854",na,84,na,66,na
"Law and Civil Society in the United States, Canada, Quebec, and the First Nations [article]","Brooks, Richard (Cited 109 times)",4901,"Arizona Journal of International and Comparative Law, Vol. 15, Issue 1 (Winter 1998), pp. 1-46",na,7,na,4,na
Intellectual Technology: The Dilemma of Environmental Law [comments],"Brooks, Richard (Cited 109 times)",4901,"Rutgers Computer & Technology Law Journal, Vol. 15, Issue 2 (1989), pp. 411-434",na,4,na,1,na
"Aesthetic Theory and Landscape Protection: The Many Meanings of Beauty and Their Implications for the Design, Control and Protection of Vermont's Landscape [article]","Brooks, Richard (Cited 109 times); Lavigne, Peter (Cited 7 times)",4901,"UCLA Journal of Environmental Law and Policy, Vol. 4, Issue 2 (1985), pp. 129-172",4 UCLA J. Envtl. L. & Pol'y 129 (1984-1985),3,na,4,na
Reasonable Grounds Evidence Involving Sexual Violence in Darfur [article],"Hagan, John (Cited 360 times); Brooks, Richard (Cited 109 times); Haugh, Todd (Cited 84 times)",4901,"Law and Social Inquiry , Vol. 35, Issue 4 (Fall 2010), pp. 881-918",na,3,na,7,na
The Emergence of the Hellenic Deliberative Ideal: The Classical Humanist Conception of Comparative Law [article],"Brooks, Richard (Cited 109 times)",4901,"Hastings International and Comparative Law Review, Vol. 30, Issue 1 (Fall 2006), pp. 43-76",30 Hastings Int'l & Comp. L. Rev. 43 (2006-2007),3,na,5,na
"Future of Ethical Humanism, The Re-Introduction of Ethics into the Legal World: Alan Gewirth's Reason and Morality, The [article]","Brooks, Richard (Cited 109 times)",4901,"Journal of Legal Education, Vol. 31, Issues 3, 4 and 5 (1981-1982), pp. 287-305",31 J. Legal Educ. 287 (1981-1982),3,na,5,na
Civil Society Regimes and Ecosystem Management: Selected Problems in Lake Champlain [article],"Drost, Anne (Cited 3 times); Brooks, Richard (Cited 109 times)",4901,"Arizona Journal of International and Comparative Law, Vol. 15, Issue 1 (Winter 1998), pp. 289-318",na,1,na,2,na
"Legal Structures and Policy Implications of New Towns, The [article]","Brooks, Richard (Cited 109 times)",4901,"Connecticut Bar Journal, Vol. 50, Issue 1 (1976), pp. 42-66",50 Conn. B.J. 42 (1976),na,na,na,na
The Cultivation of Cosmopolitan Detachment in Comparative Law: The Hellenistic Contributions [article],"Brooks, Richard (Cited 109 times)",4901,"Global Jurist, Vol. 7, Issue 2 (2007), pp. [i]-19",na,na,na,na,na
