Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Economic Development in Indian Country: Will Capitalism or Socialism Succeed [article],"Miller, Robert J. (Cited 313 times)",3299,"Oregon Law Review, Vol. 80, Issue 3 (Fall 2001), pp. 757-860",80 Or. L. Rev. 757 (2001),50,na,33,na
The Doctrine of Discovery in American Indian Law [article],"Miller, Robert J. (Cited 313 times)",3299,"Idaho Law Review, Vol. 42, Issue 1 (2005), pp. 1-122",42 Idaho L. Rev. 1 (2005-2006),44,na,72,na
"Speaking with Forked Tongues: Indian Treaties, Salmonm, and the Endangered Species Act [comments]","Miller, Robert J. (Cited 313 times)",3299,"Oregon Law Review, Vol. 70, Issue 3 (Fall 1991), pp. 543-584",na,41,na,8,na
Exercising Cultural Self-Determination: The Makah Indian Tribe Goes Whaling [article],"Miller, Robert J. (Cited 313 times)",3299,"American Indian Law Review, Vol. 25, Issue 2 , pp. 165-274",25 Am. Indian L. Rev. 165 (2000-2001),40,na,27,na
American Indian Influence on the United States Constitution and Its Framers [article],"Miller, Robert J. (Cited 313 times)",3299,"American Indian Law Review, Vol. 18, Issue 1 (1993), pp. 133-160",18 Am. Indian L. Rev. 133 (1993),25,na,11,na
Can a Sovereign Protect Investors from Itself - Tribal Institutions to Spur Reservation Investment [article],"Haddock, David D. (Cited 741 times); Miller, Robert J. (Cited 313 times)",3299,"Journal of Small and Emerging Business Law, Vol. 8, Issue 2 (Summer 2004), pp. 173-228",8 J. Small & Emerging Bus. L. 173 (2004),20,na,7,na
The Drunken Indian: Myth Distilled into Reality through Federal Indian Alcohol Policy [article],"Miller, Robert J. (Cited 313 times); Hazlett, Maril (Cited 15 times)",3299,"Arizona State Law Journal, Vol. 28, Issue 1 (Spring 1996), pp. 223-298",28 Ariz. St. L.J. 223 (1996),15,na,20,na
"American Indian Entrepreneurs: Unique Challenges, Unlimited Potential [article]","Miller, Robert J. (Cited 313 times)",3299,"Arizona State Law Journal, Vol. 40, Issue 4 (Winter 2008), pp. 1297-1342",40 Ariz. St. L.J. 1297 (Winter 2008),12,na,14,na
Innocent Misrepresentation As the Basis of an Action for Deceit [article],"Miller, Robert (Cited 23 times)",3299,"Texas Law Review, Vol. 6, Issue 2 (February 1928), pp. 151-164",6 Tex. L. Rev. 151 (1927-1928),12,na,3,na
"The International Law of Discovery, Indigenous Peoples, and Chile [article]","Miller, Robert J. (Cited 313 times); LeSage, Lisa (Cited 9 times); Escarcena, Sebastian Lopez (Cited 10 times)",3299,"Nebraska Law Review, Vol. 89, Issue 4 (2011), pp. 819-884",89 Neb. L. Rev. 819 (2010-2011),9,na,14,na
"American Indians, the Doctrine of Discovery, and Manifest Destiny [article]","Miller, Robert J. (Cited 313 times)",3299,"Wyoming Law Review, Vol. 11, Issue 2 (2011), pp. 329-350",na,9,na,140,na
Consultation or Consent: The United States' Duty to Confer with American Indian Governments [article],"Miller, Robert J. (Cited 313 times)",3299,"North Dakota Law Review, Vol. 91, Issue 1 (2015), pp. 37-98",91 N.D. L. Rev. 37 (2015),8,na,35,na
The International Law of Colonialism: A Comparative Analysis [article],"Miller, Robert J. (Cited 313 times)",3299,"Lewis & Clark Law Review, Vol. 15, Issue 4 (Winter 2011), pp. 847-922",na,8,na,73,na
Correcting Supreme Court Errors American Indian Response to Lyng v. Northwest Indian Cemetery Protective Association [notes],"Miller, Robert J. (Cited 313 times)",3299,"Environmental Law, Vol. 20, Issue 4 (1990), pp. 1037-1064",na,7,na,5,na
Inter-Tribal and International Treaties for American Indian Economic Development [article],"Miller, Robert J. (Cited 313 times)",3299,"Lewis & Clark Law Review, Vol. 12, Issue 4 (Winter 2008), pp. 1103-1134",na,7,na,11,na
Charting the Future of Historic Shipwreck Legislation in California: Application of the English Model in the Salvage of the Brother Jonathan [notes],"Miller, Robert (Cited 23 times)",3299,"Hastings International and Comparative Law Review, Vol. 17, Issue 4 (Summer 1994), pp. 793-818",na,4,na,4,na
Hospice Care as an Alternative to Euthanasia [article],"Miller, Robert J. (Cited 313 times)",3299,"Law, Medicine and Health Care, Vol. 20, Issues 1 - 2 (Spring-Summer 1992), pp. 127-132",na,4,na,28,na
Are You a Lobbyist [article],"Miller, Robert J. (Cited 313 times)",3299,"Oregon State Bar Bulletin, Vol. 56, Issue 6 (April 1996), pp. 19-24",56 Or. St. B. Bull. 19 (1995-1996),4,na,na,na
American Indian and Tribal Intellectual Property Rights [comments],"Miller, Robert J. (Cited 313 times)",3299,"Tulane Journal of Technology and Intellectual Property, Vol. 13, Issue 1 (Fall 2010), pp. 179-184",na,4,na,11,na
Fleshing out the Skeleton: Defining the Prongs of Stern v. Marshall [article],"Miller, Robert (Cited 23 times)",3299,"DePaul Business & Commercial Law Journal, Vol. 11, Issue 1 (Fall 2012), pp. 1-74",11 DePaul Bus. & Comm. L.J. 1 (2012-2013),3,na,3,na
"Brazil, Indigenous Peoples, and the International Law of Discovery [article]","Miller, Robert J. (Cited 313 times); D'Angelis, Micheline (Cited 2 times)",3299,"Brooklyn Journal of International Law, Vol. 37, Issue 1 (2011), pp. 1-64",37 Brook. J. Int'l L. 1 (2011-2012),2,na,27,na
"Noting New: Consent, Forfeiture, and Bankruptcy Court Final Judgments [article]","Miller, Robert (Cited 23 times)",3299,"Drake Law Review, Vol. 65, Issue 1 (2017), pp. 89-178",65 Drake L. Rev. 89 (2017),1,na,4,na
American Indian Nations and the International Law of Colonialism [notes],"Miller, Robert J. (Cited 313 times)",3299,"Federal Lawyer, Vol. 63, Issue 1 (January/February 2016), pp. 8-11",63 Fed. Law. 8 (2016),1,na,3,na
Taxation - Assessing Property for Tax Purposes - Interpretation of True Cash Value under Oregon Revised Statutes. Potland Canning Co. v. States Tax Comm'n [case],"Miller, Robert (Cited 23 times)",3299,"Oregon Law Review, Vol. 45, Issue 2 (February 1966), pp. 149-153",na,1,na,na,na
Sovereign Resilience: Reviving Private-Sector Economic Institutions in Indian Country [article] *new*,"Miller, Robert J. (Cited 313 times)",3299,"Brigham Young University Law Review, Vol. 2018, Issue 6 (2018), pp. 1331-1406",2018 BYU L. Rev. 1331 (2018),na,na,3,na
Creditor's Right to Communicate with Debtor's Employer in Pursuing Collection [comments],"Grilliot, Harold J. (Cited 15 times); Miller, Robert J. (Cited 313 times)",3299,"American Business Law Journal, Vol. 12, Issue 2 (Fall 1974), pp. 197-200",na,na,na,na,na
Creating Sustainable Economic Development on Indian Reservations Is an Access to Justice Issue [notes] *new*,"Miller, Robert J. (Cited 313 times)",3299,"Journal of Affordable Housing and Community Development Law, Vol. 27, Issue 3 (2019), pp. 493-496",na,na,na,na,na
27 ALI-ABA Bus. L. Course Materials J. 5 (2003),"Hausman, Alan; Miller, Robert (Cited 23 times)",3299,na,na,na,na,na,na
United Nations Fact-Finding Missions in the Field of Human Rights [article],"Miller, Robert (Cited 23 times)",3299,"Australian Year Book of International Law, Vol. 1970-1973, pp. 40-50",1970-1973 Aust. YBIL 40 (1970-1973),na,na,5,na
The Future of the Federal Income Tax [article],"Miller, Robert (Cited 23 times)",3299,"Central Law Journal, Vol. 92, Issue - May 20, 1921 (May 20, 1921), pp. 354-361",92 Cent. L.J. 354 (1921),na,na,na,na
Sixth Amendment Exclusionary Rule: Stepchild of the Right to Counsel [comments],"Miller, Robert (Cited 23 times)",3299,"Houston Law Review, Vol. 24, Issue 4 (July 1987), pp. 765-800",na,na,2,11,na
Court Awareded Attorney's Fees in Title VII Actions and the Public Defendant [notes],"Miller, Robert (Cited 23 times)",3299,"Law and Inequality: A Journal of Theory and Practice, Vol. 1, Issue 2 (November 1983), pp. 355-388",na,na,na,na,na
Some Factors Affecting the Role of the Public Employment Service [article],"Miller, Glenn; Zeller, Frederick A. (Cited 5 times); Miller, Robert (Cited 23 times)",3299,"Labor Law Journal, Vol. 16, Issue 4 (April 1965), pp. 203-211",na,na,na,na,na
Equitable Mootness: Ignorance Is Bliss and Unconstitutional [article] *new*,"Miller, Robert (Cited 23 times)",3299,"Kentucky Law Journal, Vol. 107, Issue 2 (2018-2019), pp. 269-314",107 Ky. L.J. 269 (2018-2019),na,na,na,na
Native American Cultural and Religious Freedoms [reviews],"Miller, Robert J. (Cited 313 times)",3299,"Journal of Law and Religion, Vol. 16, Issue 2 (2001), pp. 739-742",na,na,na,na,na
In the Legislative Arena - A Governor's View of Lawmaking [article],"Miller, Robert J. (Cited 313 times)",3299,"Nevada Lawyer, Vol. 2, Issue 11 (November 1994), pp. 11-12",2 Nev. Law. 11 (1994),na,na,na,na
