Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"The Calculus of Accommodation: Contraception, Abortion, Same-Sex Marriage, and other Clashes between Religion and the State [article]","Wilson, Robin Fretwell (Cited 542 times)",7867,"Boston College Law Review, Vol. 53, Issue 4 (September 2012), pp. 1417-1514",53 B.C. L. Rev. 1417 (2012),66,na,67,na
Children at Risk: The Sexual Exploitation of Female Children after Divorce [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Cornell Law Review, Vol. 86, Issue 2 (January 2001), pp. 251-327",86 Cornell L. Rev. 251 (January 2001),44,na,18,na
Essay: The Limits of Conscience: Moral Clashes over Deeply Divisive Healthcare Procedures [comments],"Wilson, Robin Fretwell (Cited 542 times)",7867,"American Journal of Law & Medicine, Vol. 34, Issue 1 (2008), pp. 41-64",na,36,na,11,na
"American Law Institute's Principles of the Law and Family Dissolution, Eight Years after Adoption: Guiding Principles or Obligatory Footnote [article]","Clisham, Michael R. (Cited 31 times); Wilson, Robin Fretwell (Cited 542 times)",7867,"Family Law Quarterly, Vol. 42, Issue 3 (Fall 2008), pp. 573-618",na,31,5,10,na
Insubstantial Burdens: The Case for Government Employee Exemptions to Same-Sex Marriage Laws [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Northwestern Journal of Law and Social Policy, Vol. 5, Issue 2 (Fall 2010), pp. 318-368",5 Nw. J. L. & Soc. Pol'y 318 (2010),26,na,10,na
Evaluating Marriage: Does Marriage Matter to the Nurturing of Children [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"San Diego Law Review, Vol. 42, Issue 3 (2005), pp. 847-880",na,25,na,13,na
"Bringing up Baby: Adoption, Marriage, and the Best Interests of the Child [article]","Wilcox, W. Bradford (Cited 25 times); Wilson, Robin Fretwell (Cited 542 times)",7867,"William & Mary Bill of Rights Journal, Vol. 14, Issue 3 (February 2006), pp. 883-908",na,25,na,20,na
Marriage of Necessity: Same-Sex Marriage and Religious Liberty Protections [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Case Western Reserve Law Review, Vol. 64, Issue 3 (Spring 2014), pp. 1161-1268",na,23,na,35,na
Trusting Mothers: A Critique of the American Law Institute's Treatment of De Facto Parents [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Hofstra Law Review , Vol. 38, Issue 4 (Summer 2010), pp. 1103-1190",38 Hofstra L. Rev. 1103 (2009-2010),23,5,11,na
A Matter of Conviction: Moral Clashes over Same-Sex Adoption [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"BYU Journal of Public Law , Vol. 22, Issue 2 (2008), pp. 475-498",22 BYU J. Pub. L. 475 (2007-2008),22,na,109,na
The Cradle of Abuse: Evaluating the Danger Posed by a Sexually Predatory Parent to the Victim's Siblings [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Emory Law Journal, Vol. 51, Issue 1 (Winter 2002), pp. 241-308",51 Emory L.J. 241 (2002),21,17,1,na
Hospital Ethics Committees as the Forum of Last Resort: An Idea Whose Time Has Not Come [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"North Carolina Law Review, Vol. 76, Issue 2 (January 1998), pp. 353-406",76 N.C. L. Rev. 353 (1997-1998),20,na,5,na
Uncovering the Rationale for Requiring Infertility in Surrogacy Arrangements [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"American Journal of Law & Medicine, Vol. 29, Issues 2 & 3 (2003), pp. 337-362",na,14,na,7,na
Privatizing Family Law in the Name of Religion [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"William & Mary Bill of Rights Journal, Vol. 18, Issue 4 (May 2010), pp. 925-952",na,14,na,19,na
Sex Play in Virtual Worlds [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Washington and Lee Law Review, Vol. 66, Issue 3 (Summer 2009), pp. 1127-1174",na,12,na,35,na
When Governments Insulate Dissenters from Social Change: What Hobby Lobby and Abortion Conscience Clauses Teach about Specific Exemptions [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"U.C. Davis Law Review, Vol. 48, Issue 2 (December 2014), pp. 703-790",na,11,na,21,na
Nanotechnology: The Challenge of Regulating Known Unknowns [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Journal of Law, Medicine and Ethics, Vol. 34, Issue 4 (Winter 2006), pp. 704-713",na,11,na,9,na
The Death of Jesse Gelsinger: New Evidence of the Influence of Money and Prestige in Human Research [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"American Journal of Law & Medicine, Vol. 36, Issues 2 and 3 (2010), pp. 295-325",36 Am. J.L. & Med. 295 (2010),10,na,39,na
The Overlooked Costs of Religious Deference [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Washington and Lee Law Review, Vol. 64, Issue 4 (Fall 2007), pp. 1363-1384",na,10,na,3,na
Bargaining for Civil Rights: Lessons from Mrs. Murphy for Same-Sex Marriage and LGBT Rights [comments],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Boston University Law Review, Vol. 95, Issue 3 (May 2015), pp. 951-994",na,9,na,26,na
Limiting the Prerogatives of Legal Parents: Judicial Skepticism of the American Law Institute's Treatment of De Facto Parents [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Journal of the American Academy of Matrimonial Lawyers, Vol. 25, Issue 2 (2013), pp. 477-532",na,9,na,9,na
Same-Sex Marriage and Religious Liberty: Life after Prop 8 [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"Nexus - Chapman's Journal of Law & Policy, Vol. 14, Issue 1 (2009), pp. 101-112",14 NEXUS 101 (2009),9,na,6,na
"Fractured Families, Fragile Children - The Sexual Vulnerability of Girls in the Aftermath of Divorce [article]","Wilson, Robin Fretwell (Cited 542 times)",7867,"Child and Family Law Quarterly, Vol. 14, Issue 1 (2002), pp. 1-24",14 Child & Fam. L. Q. 1 (2002),8,na,2,na
Getting the Government out of Marriage Post Obergefell: The Ill-Considered Consequences of Transforming the State's Relationship to Marriage [article],"Wilson, Robin Fretwell (Cited 542 times)",7867,"University of Illinois Law Review, Vol. 2016, Issue 4 (2016), pp. 1445-1504",na,7,na,19,na
Embracing Compromise: Marriage Equality and Religious Liberty in the Political Process [article],"Wilson, Robin Fretwell (Cited 542 times); Kreis, Anthony Michael (Cited 26 times)",7867,"Georgetown Journal of Gender and the Law, Vol. 15, Issue 2 (2014), pp. 485-542",na,7,na,14,na
