Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Striving for Equality, but Settling for the Status Quo in Health Care: Is Title VI More Illusory than Real [article]","Yearby, Ruqaiijah (Cited 54 times)",1634,"Rutgers Law Review, Vol. 59, Issue 3 (Spring 2007), pp. 429-496",59 Rutgers L. Rev. 429 (2006-2007),12,na,4,na
Racial Inequities in Mortality and Access to Health Care: The Untold Peril of Rationing Health Care in the United States [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"Journal of Legal Medicine, Vol. 32, Issue 1 (January-March 2011), pp. 77-92",32 J. Legal Med. 77 (2011),9,na,9,na
Does Twenty-Five Years Make a Difference in Unequal Treatment: The Persistence of Racial Disparities in Health Care Then and Now [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"Annals of Health Law, Vol. 19, Issue 1 (2009-2010), pp. 57-62",na,8,na,10,na
Sick and Tired of Being Sick and Tired: Putting an End to Separate and Unequal Health Care in the United States 50 Years after the Civil Rights Act of 1964 [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"Health Matrix: Journal of Law-Medicine, Vol. 25, pp. 1-32",na,8,na,24,na
"Good Enough to Use for Research, but Not Good Enough to Benefit from the Results of That Research: Are the Clinical HIV Vaccine Trials in Africa Unjust [article]","Yearby, Ruqaiijah (Cited 54 times)",1634,"DePaul Law Review, Vol. 53, Issue 3 (Spring 2004), pp. 1127-1154",na,7,na,11,na
"African Americans Can't Win, Break Even, or Get out of the System: The Persistence of Unequal Treatment in Nursing Home Care [article]","Yearby, Ruqaiijah (Cited 54 times)",1634,"Temple Law Review, Vol. 82, Issue 5 (Spring-Summer 2010), pp. 1177-1204",82 Temp. L. Rev. 1177 (2009-2010),5,na,6,na
Is It Too Late for Title VI Enforcement? - Seeking Redemption of the Unequal United States' Long Term Care System through International Means [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"DePaul Journal of Health Care Law, Vol. 9, Issue 2 (2005), pp. 971-1004",na,4,na,na,na
Missing the Target: Preventing the Unjust Inclusion of Vulnerable Children for Medical Research Studies [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"American Journal of Law & Medicine, Vol. 42, Issue 4 (November 2016), pp. 797-834",na,na,na,na,na
From the Mayflower to Border Patrols: Who Deserves Access to Health Care in the United States [comments],"Yearby, Ruqaiijah (Cited 54 times)",1634,"Annals of Health Law, Vol. 17, Issue 2 (Summer 2008), pp. i-x",na,na,na,na,na
The Impact of Structural Racism in Employment and Wages on Minority Women's Health [article],"Yearby, Ruqaiijah (Cited 54 times)",1634,"Human Rights, Vol. 43, Issue 3 (2018), pp. 75-77",43 Hum. Rts. 75 (2017-2018),na,na,1,na
