Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Persuasion Route of the Law: Advertising and Legal Persuasion [notes],"Haan, Sarah C. (Cited 67 times)",9437,"Columbia Law Review, Vol. 100, Issue 5 (June 2000), pp. 1281-1326",na,28,na,28,na
Shareholder Proposal Settlements and the Private Ordering of Public Elections [article],"Haan, Sarah C. (Cited 67 times)",9437,"Yale Law Journal, Vol. 126, Issue 2 (2016), pp. 262-345",126 Yale L. J. 262 (2016-2017),15,na,57,na
The CEO and the Hydraulics of Campaign Finance Deregulation [article],"Haan, Sarah C. (Cited 67 times)",9437,"Northwestern University Law Review, Vol. 109, Issue 1 (Fall 2014), pp. 269-284",na,7,na,14,na
Voter Primacy [article],"Haan, Sarah C. (Cited 67 times)",9437,"Fordham Law Review, Vol. 83, Issue 5 (April 2015), pp. 2655-2704",83 Fordham L. Rev. 2655 (2014-2015),4,na,12,na
The CEO and the Hydraulics of Campaign Finance Deregulation [article],"Haan, Sarah C. (Cited 67 times)",9437,"Northwestern University Law Review Online , Vol. 109, pp. 27-40",109 Nw. U. L. Rev. Online 27 (2014-2015),4,na,1,na
Federalizing the Foreign Corporate Form [article],"Haan, Sarah C. (Cited 67 times)",9437,"St. John's Law Review, Vol. 85, Issue 3 (Summer 2011), pp. 925-1010",85 St. John's L. Rev. 925 (2011),4,3,12,na
Opaque Transparency: Outside Spending and Disclosure by Privately-Held Business Entities in 2012 and beyond [article],"Haan, Sarah C. (Cited 67 times)",9437,"University of Cincinnati Law Review, Vol. 82, Issue 4 (Summer 2014), pp. 1149-1200",82 U. Cin. L. Rev. 1149 (2013-2014),2,na,9,na
"Eliminating Bias, Harassment, and Discrimination in the Legal Profession: Proposed Changes to Model Rule 8.4 [article]","Haan, Sarah C. (Cited 67 times); Lovotti, Dominic (Cited 1 times)",9437,"Advocate (Idaho State Bar), Vol. 59, Issue 8 (August 2016), pp. 23-25",59 Advocate 23 (2016),1,na,11,na
Board Governance for the Twenty-First Century [notes] *new*,"Stevelman, Faith (Cited 115 times); Haan, Sarah C. (Cited 67 times)",9437,"Business Lawyer, Vol. 74, Issue 2 (Spring 2019), pp. 329-350",na,na,na,na,na
Comment on Whistling Loud and Clear: Applying Chevron to Subsection 21F of Dodd-Frank [notes],"Haan, Sarah C. (Cited 67 times)",9437,"Washington and Lee Law Review, Vol. 75, Issue 1 (Winter 2018), pp. 565-576",na,na,na,18,na
Facebook's Alternative Facts [comments],"Haan, Sarah C. (Cited 67 times)",9437,"Virginia Law Review Online, Vol. 105, pp. 18-36",na,na,na,na,na
