Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Justice from the Ground Up: Distributive Inequities, Grassroots Resistance, and the Transformative Politics of the Environmental Justice Movement [article]","Foster, Sheila (Cited 369 times)",2244,"California Law Review, Vol. 86, Issue 4 (July 1998), pp. 775-842",86 Calif. L. Rev. 775 (July 1998),123,na,130,na
Difference and Equality: A Critical Assessment of the Concept of Diversity [article],"Foster, Sheila (Cited 369 times)",2244,"Wisconsin Law Review, Vol. 1993, Issue 1 (1993), pp. 105-162",1993 Wis. L. Rev. 105 (1993),82,na,65,na
Intent and Incoherence [article],"Foster, Sheila (Cited 369 times)",2244,"Tulane Law Review , Vol. 72, Issue 4 (March 1998), pp. 1065-1176",72 Tul. L. Rev. 1065 (1997-1998),54,1,8,na
Race(ial)Matters: The Quest for Environmental Justice [comments],"Foster, Sheila (Cited 369 times)",2244,"Ecology Law Quarterly, Vol. 20, Issue 4 (1993), pp. 721-754",na,43,na,14,na
Environmental Justice in an Era of Devolved Collaboration [article],"Foster, Sheila (Cited 369 times)",2244,"Harvard Environmental Law Review, Vol. 26, Issue 2 (2002), pp. 459-498",26 Harv. Envtl. L. Rev. 459 (2002),33,na,26,na
"Environmental Justice: Stakes, Stakeholders, Strategies [article]","Gauna, Eileen (Cited 129 times); Foster, Sheila (Cited 369 times)",2244,"Human Rights, Vol. 30, Issue 4 (Fall 2003), pp. 2-4",30 Hum. Rts. 2 (2003),14,2,4,na
"World Trade Organization's Anti-Discrimination Jurisprudence: Free Trade, National Sovereignty, and Environmental Health in the Balance, The [article]","Afilalo, Ari (Cited 80 times); Foster, Sheila (Cited 369 times)",2244,"Georgetown International Environmental Law Review, Vol. 15, Issue 4 (2003), pp. 633-676",15 Geo. Int'l Envtl. L. Rev. 633 (2002-2003),8,na,13,na
Piercing the Veil of Economic Arguments against Title VI Enforcement [comments],"Foster, Sheila (Cited 369 times)",2244,"Fordham Environmental Law Journal, Vol. 10, Issue 3 (1999), pp. 331-346",na,4,na,3,na
Foreword [comments],"Foster, Sheila (Cited 369 times)",2244,"Rutgers Law Journal, Vol. 30, Issue 3 (Spring 1999), pp. 569-574",na,3,na,na,na
The Challenge of Environmental Justice [article],"Foster, Sheila (Cited 369 times)",2244,"Rutgers Journal of Law and Urban Policy, Vol. 1, pp. 1-12",1 Rutgers J. L. & Urb. Pol'y 1 (2004),3,na,7,na
Comparative Urban Governance for Lawyers [notes],"Nicola, Fernanda G. (Cited 54 times); Foster, Sheila (Cited 369 times)",2244,"Fordham Urban Law Journal, Vol. 42, Issue 1 (November 2014), pp. 1-24",na,1,na,20,na
"Rawls, Race, and Reason [article]","Foster, Sheila (Cited 369 times)",2244,"Fordham Law Review, Vol. 72, Issue 5 (April 2004), pp. 1715-1720",na,1,na,26,na
