Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Integrative Lawyering: Navigating the Political Economy of Urban Redevelopment [article],"Foster, Sheila R. (Cited 259 times); Glick, Brian (Cited 108 times)",2244,"California Law Review, Vol. 95, Issue 5 (October 2007), pp. 1999-2072",na,57,na,52,na
The City as an Ecological Space: Social Capital and Urban Land Use [article],"Foster, Sheila R. (Cited 259 times)",2244,"Notre Dame Law Review , Vol. 82, Issue 2 (December 2006), pp. 527-582",82 Notre Dame L. Rev. 527 (2006-2007),46,na,55,na
Causation in Antidiscrimination Law: Beyond Intent versus Impact [article],"Foster, Sheila R. (Cited 259 times)",2244,"Houston Law Review, Vol. 41, Issue 5 (Spring 2005), pp. 1469-1548",41 Hous. L. Rev. 1469 (2004-2005),30,na,19,na
Collective Action and the Urban Commons [article],"Foster, Sheila R. (Cited 259 times)",2244,"Notre Dame Law Review, Vol. 87, Issue 1 (November 2011), pp. 57-134",87 Notre Dame L. Rev. 57 (November 2011),24,na,189,na
The Mobility Case for Regionalism [article],"Davidson, Nestor M. (Cited 511 times); Foster, Sheila R. (Cited 259 times)",2244,"U.C. Davis Law Review, Vol. 47, Issue 1 (November 2013), pp. 63-120",47 U.C.D. L. Rev. 63 (2013-2014),20,na,12,na
Symposium: The Social Function of Property: A Comparative Perspective: Introduction [comments],"Foster, Sheila R. (Cited 259 times); Bonilla, Daniel (Cited 39 times)",2244,"Fordham Law Review, Vol. 80, Issue 3 (December 2011), pp. 1003-1016",na,14,na,17,na
Foreword [comments],"Foster, Sheila R. (Cited 259 times)",2244,"Fordham Law Review, Vol. 73, Issue 5 (April 2005), pp. 2027-2040",na,13,na,31,na
Urban Informality as a Commons Dilemma [article],"Foster, Sheila R. (Cited 259 times)",2244,"University of Miami Inter-American Law Review, Vol. 40, Issue 2 (Winter 2009), pp. 261-284",na,13,na,39,na
Introduction [comments],"Lenhardt, R. A. (Cited 391 times); Cooper, Elizabeth B. (Cited 107 times); Foster, Sheila R. (Cited 259 times); Katyal, Sonia K. (Cited 521 times)",2244,"Fordham Law Review , Vol. 76, Issue 6 (May 2008), pp. 2669-2684",na,11,na,6,na
The City as a Commons [article],"Foster, Sheila R. (Cited 259 times); Iaione, Christian (Cited 26 times)",2244,"Yale Law & Policy Review, Vol. 34, Issue 2 (2016), pp. 281-350",34 Yale L. & Pol'y Rev. 281 (2015-2016),11,na,107,na
From Harlem to Havana: Sustainable Urban Development [article],"Foster, Sheila R. (Cited 259 times)",2244,"Tulane Environmental Law Journal, Vol. 16, Special Issue (Summer 2003), pp. 783-806",na,8,na,16,na
Breaking up Payday: Anti-Agglomeration Zoning and Consumer Welfare [article],"Foster, Sheila R. (Cited 259 times)",2244,"Ohio State Law Journal, Vol. 75, Issue 1 (2014), pp. 57-102",75 Ohio St. L.J. 57 (2014),7,na,13,na
"Stasis and Change in Environmental Law: The Past, Present and Future of the Fordham Environmental Law Review [comments]","Dickinson, Gerald S. (Cited 16 times); Foster, Sheila R. (Cited 259 times)",2244,"Fordham Environmental Law Review, Vol. 24, Issue 1 (2012-2013), pp. 1-24",na,2,na,12,na
The Limits of Mobility and the Persistence of Urban Inequality [article],"Foster, Sheila R. (Cited 259 times)",2244,"Yale Law Journal Forum, Vol. 127, pp. 480-497",127 Yale L.J. F. 480 (2017-2018),2,na,7,na
