Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Airspace in an Age of Drones [article],"Rule, Troy A. (Cited 173 times)",7935,"Boston University Law Review, Vol. 95, Issue 1 (January 2015), pp. 155-208",95 B.U. L. Rev. 155 (2015),41,na,123,na
A Downwind View of the Cathedral: Using Rule Four to Allocate Wind Rights [article],"Rule, Troy (Cited 173 times)",7935,"San Diego Law Review, Vol. 46, Issue 1 (February-March 2009), pp. 207-246",46 San Diego L. Rev. 207 (February-March 2009),26,na,6,na
Shadows on the Cathedral: Solar Access Laws in a Different Light [article],"Rule, Troy A. (Cited 173 times)",7935,"University of Illinois Law Review, Vol. 2010, Issue 3 (2010), pp. 851-896",2010 U. Ill. L. Rev. 851 (2010),24,na,14,na
Property Rights and Modern Energy [article],"Rule, Troy A. (Cited 173 times)",7935,"George Mason Law Review, Vol. 20, Issue 3 (Spring 2013), pp. 803-836",20 Geo. Mason L. Rev. 803 (2012-2013),18,na,26,na
Renewable Energy and the Neighbors [article],"Rule, Troy A. (Cited 173 times)",7935,"Utah Law Review, Vol. 2010, Issue 4 (2010), pp. 1223-1276",2010 Utah L. Rev. 1223 (2010),16,na,11,na
"Solar Energy, Utilities, and Fairness [article]","Rule, Troy A. (Cited 173 times)",7935,"San Diego Journal of Climate & Energy Law, Vol. 6, pp. 115-148",6 San Diego J. Climate & Energy L. 115 (2014-2015),16,na,10,na
Drone Zoning [article],"Rule, Troy A. (Cited 173 times)",7935,"North Carolina Law Review, Vol. 95, Issue 1 (December 2016), pp. 133-200",95 N.C. L. Rev. 133 (2016-2017),10,na,70,na
Airspace and the Takings Clause [article],"Rule, Troy A. (Cited 173 times)",7935,"Washington University Law Review, Vol. 90, Issue 2 (2012), pp. 421-472",90 Wash. U. L. Rev. 421 (2012-2013),9,na,5,na
Using Norms to Change International Law: UN Human Rights Laws Sneaking in through the Back Door [notes],"Rule, Troy (Cited 173 times)",7935,"Chicago Journal of International Law, Vol. 5, Issue 1 (Summer 2004), pp. 325-334",na,8,na,17,na
Transmission and Transport of Energy in the Western U.S. and Canada: A Law and Policy Road Map [article],"DuVivier, K. K. (Cited 333 times); Larsen, Nate (Cited 2 times); Lawton, Nick (Cited 11 times); Kalen, Sam (Cited 208 times); Miller, Stephen R. (Cited 110 times); Powers, Melissa (Cited 70 times); Righetti, Tara (Cited 1 times); Rule, Troy A. (Cited 173 times); Schlusser, Amelia (Cited 2 times)",7935,"Idaho Law Review, Vol. 52, Issue 1 (2016), pp. 387-[xii]",na,2,na,12,na
Wind Rights under Property Law: Answers Still Blowing in the Wind [article],"Rule, Troy A. (Cited 173 times)",7935,"Probate and Property, Vol. 26, Issue 6 (November/December 2012), pp. 56-59",26 Prob. & Prop. 56 (2012),2,na,10,na
Airspace in a Green Economy [article],"Rule, Troy A. (Cited 173 times)",7935,"UCLA Law Review, Vol. 59, Issue 2 (December 2011), pp. 270-321",59 UCLA L. Rev. [iv] (2011-2012),na,na,na,na
Buying Power: Utility Dark Money and the Battle over Rooftop Solar [article],"Rule, Troy A. (Cited 173 times)",7935,"LSU Journal of Energy Law and Resources, Vol. 5, Issue 1 (Spring 2017), pp. 1-20",5 LSU J. Energy L. & Resources 1 (2017),na,na,9,na
