Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Public Utility and the Low-Carbon Future [article],"Boyd, William (Cited 152 times)",8527,"UCLA Law Review, Vol. 61, Issue 6 (August 2014), pp. 1614-1711",61 UCLA L. Rev. 1614 (August 2014),49,na,57,na
Accidents of Federalism: ratemaking and Policy Innovation in Public Utility Law [article],"Boyd, William (Cited 152 times); Carlson, Ann E. (Cited 525 times)",8527,"UCLA Law Review, Vol. 63, Issue 4 (May 2016), pp. 810-893",63 UCLA L. Rev. 810 (May 2016),24,na,60,na
"Climate Change, Fragmentation, and the Challenges of Global Environmental Law: Elements of a Post-Copenhagen Assemblage [article]","Boyd, William (Cited 152 times)",8527,"University of Pennsylvania Journal of International Law, Vol. 32, Issue 2 (Winter 2010), pp. 457-550",32 U. Pa. J. Int'l L. 457 (2010-2011),24,na,56,na
Ways of Seeing in Environmental Law: How Deforestation Became an Object of Climate Governance [article],"Boyd, William (Cited 152 times)",8527,"Ecology Law Quarterly, Vol. 37, Issue 3 (2010), pp. 843-916",37 Ecology L.Q. 843 (2010),22,na,42,na
Blood-Grouping as a Test of Non-Paternity [article],"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 31 times)",8527,"Journal of the American Institute of Criminal Law and Criminology , Vol. 25, Issue 2 (July-August 1934), pp. 187-204",25 Am. Inst. Crim. L. & Criminology 187 (1934-1935),14,1,na,na
Protecting the Evidentiary Value of Blood Group Determinations [article],"Boyd, William C. (Cited 31 times)",8527,"Southern California Law Review, Vol. 16, Issue 3 (March 1943), pp. 193-212",na,14,na,na,na
"Genealogies of Risk: Searching for Safety, 1930s-1970s [article]","Boyd, William (Cited 152 times)",8527,"Ecology Law Quarterly, Vol. 39, Issue 4 (2012), pp. 895-988",39 Ecology L.Q. 895 (2012),11,na,11,na
Controlling Toxic Harms: The Struggle Over Dioxin Contamination in the Pulp and Paper Industry [notes],"Boyd, William (Cited 152 times)",8527,"Stanford Environmental Law Journal, Vol. 21, Issue 2 (2002), pp. 345-420",na,9,na,4,na
The Curious Case of Greening in Carbon Markets [article],"Boyd, William (Cited 152 times); Salzman, James (Cited 1306 times)",8527,"Environmental Law, Vol. 41, Issue 1 (Winter 2011), pp. 73-94",41 Envtl. L. 73 (2011),4,na,12,na
"Just Price, Public Utility, and the Long History of Economic Regulation in America [comments]","Boyd, William (Cited 152 times)",8527,"Yale Journal on Regulation, Vol. 35, Issue 3 (2018), pp. 721-778",na,3,na,43,na
"Environmental Law, Big Data, and the Torrent of Sigularities [article]","Boyd, William (Cited 152 times)",8527,"UCLA Law Review Discourse, Vol. 64, pp. 544-570",na,1,na,23,na
The Chances of Establishing Non-Paternity by Blood-Grouping Tests [article],"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 31 times)",8527,"American Journal of Police Science, Vol. 1, Issue 2 (March-April 1930), pp. 121-124",1 Am. J. Police Sci. 121 (1930),1,na,na,na
"Chances of Establishing Non-Paternity by Blood-Grouping Tests, The [article]","Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 31 times)",8527,"Journal of the American Institute of Criminal Law and Criminology , Vol. 20, Issue 3 (November 1929), pp. 360-363",20 Am. Inst. Crim. L. & Criminology 360 (1929-1930),1,na,1,na
Introduction [comments],"Boyd, William (Cited 152 times); Butkin, Robert",8527,"Environment, Energy, and Resources Law: The Year in Review, Vol. 2017, pp. xvii-xvii",na,na,na,na,na
Festschirift in Honor of Professor Lesley McAllister [notes],"Frank, Richard (Cited 2 times); Lin, Albert (Cited 5 times); Sunder, Madhavi (Cited 802 times); Lobel, Orly (Cited 1231 times); Boyd, William (Cited 152 times); van Rooij, Benjamin (Cited 23 times); Proenca, Luis Roberto; Short, Jodi; Rodriguez, Daniel B. (Cited 737 times); Kagan, Robert A. (Cited 809 times)",8527,"Environs: Environmental Law and Policy Journal, Vol. 41, Issue 2 (Spring 2018), pp. 157-194",na,na,na,10,na
Forensic Immunology [article],"Boyd, William C. (Cited 31 times)",8527,"Journal of Criminal Law and Criminology, Vol. 36, Issue 6 , pp. 455-472",36 J. Crim. L. & Criminology 455 (1945-1946),na,na,na,na
International Institutional Arrangements for Environment and Development: A Post-Rio Assessment [article],"Kimball, Lee A. (Cited 15 times); Boyd, William C. (Cited 31 times)",8527,"Review of European, Comparative & International Environmental Law, Vol. 1, Issue 3 (1992), pp. 295-306",1 Rev. Eur. Comp. & Int'l Envtl. L. 295 (1992),na,na,na,na
